"","Field","Block","Planted","Variety","Acres","Lag.Phase.G.Vine","Pick.Weight.Grams","X","Year","Plants","Row.Spacing","Av.Bunch.Weight.Grams","Clust.per.Vine","Spurs.per.Block","Berries.per.Cluster","Row","Av.Berry.Weight.Grams","Av.Berry.Weight.Grams.1","Av.Bunch.Weight.Grams.1","Lag.Estimate.t","Berry.Veraison.Estimate.Kg","Bunch.Veraison.Estimate.Kg","Bunch.Veraison.Estimate.Kg.1","X2007.Actual","Percentage","Notes","Veraison.Estimate","X2008.Actual","CommentsPlanted","CommentsFlowering","CommentsVerasion","CommentsBudburst","phenologyEvent","phenologyDate"
"736","F1","B1",1994,"Cabernet Franc",0.28,850,NA,NA,"2002",375,"2.4 x 1.2","47.2g",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 20-21","original verasion date is Aug 21-22","original budburst date is May 03-04","Lag.Phase.Date",2002-07-25
"737","F1","B1",1994,"Merlot",0.91,1475,NA,NA,"2002",1515,"2.4 x 1.2","47.5g",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  1994/97","original flowering date was Jun 20-21","original verasion date is Aug 22-23","original budburst date is May 03-04","Lag.Phase.Date",2002-07-22
"738","F1","B2",1996,"Chardonnay",1.98,1350,NA,NA,"2002",4000,"2.0 x 1.0","30g",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun-22","original verasion date is ","original budburst date is Apr-29","Lag.Phase.Date",2002-07-22
"739","F1","B3",1982,"Optima",4.48,1400,NA,NA,"2002",4833,"2.7 x 1.3","25.4g",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 24-25","original verasion date is ","original budburst date is Apr30May1","Lag.Phase.Date",2002-07-25
"740","F1","B4",1982,"Riesling",5.13,1925,NA,NA,"2002",5536,"2.7 x 1.3","31.5g",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 24-25","original verasion date is ","original budburst date is May 05-06","Lag.Phase.Date",2002-07-25
"741","F1","B5",1997,"Pinot Blanc",4.5,1150,NA,NA,"2002",6191,"2.1 x 1.4","39.6g",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  1997/98","original flowering date was Jun 20-21","original verasion date is ","original budburst date is Apr-30","Lag.Phase.Date",2002-07-25
"742","F1","B6",1997,"Sauvignon Blanc",1.82,875,NA,NA,"2002",2500,"2.1 x 1.4","23.0g",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun-23","original verasion date is ","original budburst date is Apr-30","Lag.Phase.Date",2002-07-25
"743","F1","B7",1975,"Chasselas",2.86,5325,NA,NA,"2002",2114,"3.0 x 2.1","75g",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  1975/83","original flowering date was Jun 24-25","original verasion date is ","original budburst date is May 02-04","Lag.Phase.Date",2002-07-25
"744","","",NA,"Vertical",NA,3650,NA,NA,"2002",NA,"","48.0g",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was ","original verasion date is ","original budburst date is ","Lag.Phase.Date",2002-07-25
"745","F2","B1",1987,"Riesling",2.86,1800,NA,NA,"2002",3078,"2.7 x 1.3","31.5g",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 24-25","original verasion date is ","original budburst date is May 05-06","Lag.Phase.Date",2002-07-25
