"company","vineyard","block","variety","year","month","day","event"
"Arterra","Bearcub","A","Shiraz","2018","Apr","28","budburst"
"Arterra","Bearcub","B","Cabernet Sauvignon","2018","May","02","budburst"
"Arterra","Bearcub","C","Cabernet Sauvignon","2018","May","02","budburst"
"Arterra","Bearcub","D","Cabernet Sauvignon","2018","May","01","budburst"
"Arterra","Bearcub","E","Cabernet Sauvignon","2018","May","02","budburst"
"Arterra","Bearcub","F","Shiraz","2018","Apr","28","budburst"
"Arterra","Bearcub","G","Merlot","2018","May","05","budburst"
"Arterra","Bearcub","H","Merlot","2018","May","02","budburst"
"Arterra","Bearcub","I","Cabernet Franc","2018","Apr","27","budburst"
"Arterra","Bearcub","J","Shiraz","2018","Apr","28","budburst"
"Arterra","Bearcub","K","Zinfandel","2018","May","04","budburst"
"Arterra","Bearcub","L","Pinot Noir","2018","May","02","budburst"
"Arterra","Bearcub","M","Sauvignon Blanc","2018","Apr","28","budburst"
"Arterra","Bearcub","N","Sauvignon Blanc","2018","Apr","28","budburst"
"Arterra","Bearcub","O","Shiraz","2018","Apr","28","budburst"
"Arterra","Bearcub","P","Pinot Noir","2018","May","01","budburst"
"Arterra","Bearcub","Q","Cabernet Sauvignon","2018","Apr","30","budburst"
"Arterra","Bearcub","R","Sauvignon Blanc","2018","Apr","27","budburst"
"Arterra","BSV1","4C","Merlot","2018","Apr","27","budburst"
"Arterra","BSV1","4D","Chardonnay","2018","Apr","25","budburst"
"Arterra","BSV1","4G","Cabernet Franc","2018","Apr","24","budburst"
"Arterra","BSV1","5A","Merlot","2018","Apr","27","budburst"
"Arterra","BSV1","5B1","Malbec","2018","Apr","27","budburst"
"Arterra","BSV1","5B2","Zinfandel","2018","Apr","29","budburst"
"Arterra","BSV1","5B3","Tempranillo","2018","Apr","26","budburst"
"Arterra","BSV1","5C","Chardonnay","2018","Apr","25","budburst"
"Arterra","BSV2","A","Shiraz","2018","Apr","23","budburst"
"Arterra","BSV2","A2","Cabernet Franc","2018","Apr","23","budburst"
"Arterra","BSV2","B","Merlot","2018","Apr","27","budburst"
"Arterra","BSV2","C","Shiraz","2018","Apr","23","budburst"
"Arterra","BSV2","D","Cabernet Sauvignon","2018","Apr","28","budburst"
"Arterra","BSV2","E","Merlot","2018","Apr","27","budburst"
"Arterra","Bullpine","A","Merlot","2018","Apr","30","budburst"
"Arterra","Bullpine","B","Merlot","2018","Apr","28","budburst"
"Arterra","Bullpine","C","Merlot","2018","May","01","budburst"
"Arterra","Bullpine","D","Merlot","2018","May","01","budburst"
"Arterra","Bullpine","F","Merlot","2018","May","01","budburst"
"Arterra","Bullpine","G","Merlot","2018","Apr","30","budburst"
"Arterra","Bullpine","H","Shiraz","2018","May","01","budburst"
"Arterra","Bullpine","I","Viognier","2018","Apr","29","budburst"
"Arterra","Bullpine","J","Merlot","2018","Apr","29","budburst"
"Arterra","Bullpine","L","Shiraz","2018","Apr","30","budburst"
"Arterra","Bullpine","M","Cabernet Sauvignon","2018","Apr","27","budburst"
"Arterra","Bullpine","N","Pinot Noir","2018","May","01","budburst"
