"","company","vineyard","block","variety","year","month","day","event","notes"
"1","Arterra","Bearcub","A","Shiraz",2001,"Apr","25","Budbreak","Own"
"2","Arterra","Bearcub","B","Cabernet Sauvignon",2001,"Apr","28","Budbreak","Own"
"3","Arterra","Bearcub","C","Cabernet Sauvignon",2001,"May","4","Budbreak","Own"
"4","Arterra","Bearcub","D","Cabernet Sauvignon",2001,"Apr","27","Budbreak","Own"
"5","Arterra","Bearcub","E","Cabernet Sauvignon",2001,"May","3","Budbreak","Own"
"6","Arterra","Bearcub","F","Chardonnay",2001,"Apr","25","Budbreak","Own"
"9","Arterra","Bearcub","I","Cabernet Franc",2001,"Apr","27","Budbreak","Own"
"10","Arterra","Bearcub","J","Chardonnay",2001,"Apr","25","Budbreak","Own"
"11","Arterra","Bearcub","K","Zinfandel",2001,"Apr","26","Budbreak","Own"
"12","Arterra","Bearcub","L","Pinot Noir",2001,"Apr","30","Budbreak","Own"
"13","Arterra","Bearcub","M","Sauvignon Blanc",2001,"Apr","26","Budbreak","Own"
"14","Arterra","Bearcub","N","Sauvignon Blanc",2001,"Apr","28","Budbreak","Own"
"15","Arterra","Bearcub","O","Chardonnay",2001,"Apr","25","Budbreak","Own"
"16","Arterra","Bearcub","P","Pinot Noir",2001,"Apr","27","Budbreak","Own"
"17","Arterra","Bearcub","Q","Cabernet Sauvignon",2001,"Apr","27","Budbreak","Own"
"18","Arterra","Bearcub","R","Sauvignon Blanc",2001,"Apr","26","Budbreak","Own"
"43","Arterra","Bearcub","G","Merlot",2001,"Apr","28","Budbreak","Own"
"45","Arterra","Bearcub","H","Merlot",2001,"Apr","28","Budbreak","Own"
"49","Arterra","Bullpine","E","Pinot Noir",2001,"Apr","28","Budbreak","Own"
"52","Arterra","Bullpine","H","Pinot Noir",2001,"Apr","30","Budbreak","Own"
"53","Arterra","Bullpine","I","Viognier",2001,"Apr","27","Budbreak","Own"
"54","Arterra","Bullpine","J","Chardonnay",2001,"Apr","25","Budbreak","Own"
"55","Arterra","Bullpine","A","Merlot",2001,"May","1","Budbreak","Own"
"56","Arterra","Bullpine","L","Pinot Noir",2001,"Apr","28","Budbreak","Own"
"57","Arterra","Bullpine","M","Chardonnay",2001,"Apr","25","Budbreak","Own"
"58","Arterra","Bullpine","N","Pinot Noir",2001,"Apr","28","Budbreak","Own"
"59","Arterra","Bullpine","B","Merlot",2001,"Apr","28","Budbreak","Own"
