"","YearPlanted","Variety","acres","Lag.Phase.G.Vine","Pick.Weight.Grams","Year","VineyardCode","Vineyard","Plants","Row.Spacing","Av.Bunch.Weight.Grams","Clust.per.Vine","Spurs.per.Block","Berries.per.Cluster","Row","Av.Berry.Weight.Grams","Av.Berry.Weight.Grams.1","Av.Bunch.Weight.Grams.1","Lag.Estimate.t","Berry.Veraison.Estimate.Kg","Bunch.Veraison.Estimate.Kg","Bunch.Veraison.Estimate.Kg.1","X2007.Actual","Percentage","Notes","Veraison.Estimate","X2008.Actual","PhenoEvent","phenologyDate","BlockID","rootstock","clone","OriginalVineyardBlocks","OriginalBlockName","vineyard"
"1",1994,"Cabernet franc",0.28,72.7,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-07-01,"F1B1",NA,NA,NA,NA,NA
"2",1993,"Merlot",1.19,106.7,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-07-01,"F1B1",NA,NA,NA,NA,NA
"3",1996,"Chardonnay",1.98,69.3,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-06-25,"F1B2",NA,NA,NA,NA,NA
"4",1982,"Optima",4.48,58.3,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-07-01,"F1B3",NA,NA,NA,NA,NA
"5",1982,"Riesling",5.13,121,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-07-02,"F1B4",NA,NA,NA,NA,NA
"6",1997,"Pinot Blanc",4.5,80,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-07-01,"F1B5",NA,NA,NA,NA,NA
"7",1997,"Sauvignon Blanc",1.82,35.2,152,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-07-01,"F1B6",NA,NA,NA,NA,NA
"8",1975,"Chasselas",2.86,91.6,192,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-07-04,"F1B7",NA,NA,NA,NA,NA
"9",1987,"Riesling",2.86,64.6,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-07-02,"F2B1",NA,NA,NA,NA,NA
"10",1998,"Merlot",3.27,70.4,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-06-30,"F2B2",NA,NA,NA,NA,NA
"11",1975,"Chasselas",2.45,81.7,212,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-07-04,"F2B3",NA,NA,NA,NA,NA
"12",1987,"Chardonnay",1.42,79.66,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-06-27,"F2B4",NA,NA,NA,NA,NA
"13",1993,"Chardonnay",0.48,79.66,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-06-27,"F2B5",NA,NA,NA,NA,NA
"14",1997,"Chenin Blanc",4.72,93.2,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-07-01,"F2B6",NA,NA,NA,NA,NA
"15",1998,"Merlot",4.43,57.1,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-06-30,"F2B8",NA,NA,NA,NA,NA
"16",1998,"Gamay",0.91,159.9,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-06-30,"F2B9",NA,NA,NA,NA,NA
"17",1975,"Chenin",1.93,115.9,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-07-02,"F3B1",NA,NA,NA,NA,NA
"18",1965,"Foch",1.25,38.2,44,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-06-22,"F3B2",NA,NA,NA,NA,NA
"19",1996,"Pinot Noir",2.47,83.9,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-06-29,"F3B3",NA,NA,NA,NA,NA
"20",1996,"Chardonnay",2.47,59.8,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-06-29,"F3B4",NA,NA,NA,NA,NA
"21",1990,"Pinot Noir",0.91,65.5,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-06-30,"F3B5",NA,NA,NA,NA,NA
"22",1987,"Pinot Noir",0.5,93.4,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-06-30,"F3B6",NA,NA,NA,NA,NA
"23",1987,"Pinot Noir",0.96,160.4,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-06-30,"F3B7",NA,NA,NA,NA,NA
"24",1975,"Pinot Noir",0.54,60.2,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-06-30,"F3B8",NA,NA,NA,NA,NA
"25",1982,"Riesling",2.23,54.8,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-07-01,"F4B1",NA,NA,NA,NA,NA
"26",1975,"Riesling",1.01,75,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-07-01,"F4B2",NA,NA,NA,NA,NA
"27",1990,"Pinot Noir",2.71,93.9,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-06-26,"F4B3",NA,NA,NA,NA,NA
"28",NA,"Foch",1.6,58.8,88,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-06-22,"F4B4",NA,NA,NA,NA,NA
"29",1997,"Foch",1.83,32,105,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-06-22,"F4B5",NA,NA,NA,NA,NA
"30",1997,"Cabernet Sauvignon",1.38,70.8,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-07-01,"F4B6",NA,NA,NA,NA,NA
"31",1993,"Gamay",0.46,126.6,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-07-01,"F4B7",NA,NA,NA,NA,NA
"32",1993,"Gamay",0.46,126.6,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-07-01,"F4B8",NA,NA,NA,NA,NA
"33",1993,"Gamay",2.22,133,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-07-01,"F4B9",NA,NA,NA,NA,NA
"34",1990,"Pinot Noir",1.73,95.1,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-06-29,"F4B10",NA,NA,NA,NA,NA
"35",1997,"Chardonnay",2.18,88.4,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-06-29,"F5B1",NA,NA,NA,NA,NA
"36",1997,"Chardonnay",2.18,72.2,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-06-29,"F5B2",NA,NA,NA,NA,NA
"37",1997,"Chardonnay",2.18,68,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-06-29,"F5B3",NA,NA,NA,NA,NA
"38",1997,"Chardonnay",0.73,60.6,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-06-29,"F5B4",NA,NA,NA,NA,NA
"39",1997,"Pinot Noir",1.43,81.2,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-06-29,"F5B5",NA,NA,NA,NA,NA
"40",1997,"Pinot Noir",1.87,77,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-06-29,"F5B6",NA,NA,NA,NA,NA
"41",1997,"Cabernet Sauvignon",1.25,65.3,NA,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-07-01,"F5B7",NA,NA,NA,NA,NA
"42",1994,"Gewurtz",0.52,60.2,120,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-07-04,"F5B8",NA,NA,NA,NA,NA
"43",1989,"Gewurtz",1.26,62,140,"2001","QGV","Quails Gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2001-07-04,"F5B9",NA,NA,NA,NA,NA
"44",1994,"Cabernet Franc",0.28,850,NA,"2002","QGV","Quails Gate",375,"2.4 x 1.2","47.2g",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-20,"F1B1",NA,NA,NA,NA,NA
"45",1994,"Merlot",0.91,1475,NA,"2002","QGV","Quails Gate",1515,"2.4 x 1.2","47.5g",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-20,"F1B1",NA,NA,NA,NA,NA
"46",1996,"Chardonnay",1.98,1350,NA,"2002","QGV","Quails Gate",4000,"2.0 x 1.0","30g",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-22,"F1B2",NA,NA,NA,NA,NA
"47",1982,"Optima",4.48,1400,NA,"2002","QGV","Quails Gate",4833,"2.7 x 1.3","25.4g",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-24,"F1B3",NA,NA,NA,NA,NA
"48",1982,"Riesling",5.13,1925,NA,"2002","QGV","Quails Gate",5536,"2.7 x 1.3","31.5g",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-24,"F1B4",NA,NA,NA,NA,NA
"49",1997,"Pinot Blanc",4.5,1150,NA,"2002","QGV","Quails Gate",6191,"2.1 x 1.4","39.6g",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-20,"F1B5",NA,NA,NA,NA,NA
"50",1997,"Sauvignon Blanc",1.82,875,NA,"2002","QGV","Quails Gate",2500,"2.1 x 1.4","23.0g",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-23,"F1B6",NA,NA,NA,NA,NA
