"","company","vineyard","block","variety","event","year","month","day","notes"
"1","SebastianFarms","MH01","F","Cabernet Franc","3. Woolly Bud",2011,4,19,"(Retired Apr. 1St  2015)"
"2","SebastianFarms","SF16","Ga","Cabernet Franc","3. Woolly Bud",2011,4,21,NA
"3","SebastianFarms","SF16","Gb","Cabernet Franc","3. Woolly Bud",2011,4,21,NA
"4","SebastianFarms","SF10","AB","Viognier","3. Woolly Bud",2011,4,21,NA
"5","SebastianFarms","SF10","R","Pinot Gris","3. Woolly Bud",2011,4,25,"(Retired Mar. 16  2016)"
"6","SebastianFarms","SF10","Y","Shiraz","3. Woolly Bud",2011,4,25,NA
"7","SebastianFarms","SF10","W","Pinot Blanc","3. Woolly Bud",2011,4,25,NA
"8","SebastianFarms","SF16","Gb","Cabernet Franc","3. Woolly Bud",2011,4,25,NA
"9","SebastianFarms","SF10","Q","Chardonnay","3. Woolly Bud",2011,4,25,"(Retired Apr. 1St  2015)"
"10","SebastianFarms","SF10","O","Sauvignon Blanc","3. Woolly Bud",2011,4,25,NA
"11","SebastianFarms","SF10","L","Syrah","3. Woolly Bud",2011,4,25,"(Retired Apr 2  2013)"
"12","SebastianFarms","SF10","X","Pinot Blanc","3. Woolly Bud",2011,4,25,NA
"13","SebastianFarms","SF10","N","Cabernet Sauvignon","3. Woolly Bud",2011,4,25,"(Retired Mar.16  2016)"
"14","SebastianFarms","SF10","V","Pinot Gris","3. Woolly Bud",2011,4,25,NA
"15","SebastianFarms","SF16","CA","Sauvignon Blanc","3. Woolly Bud",2011,4,26,NA
"16","SebastianFarms","SF16","K","Shiraz","3. Woolly Bud",2011,4,26,"(Retired Apr. 1St  2015)"
"17","SebastianFarms","SF16","CB","Sauvignon Blanc","3. Woolly Bud",2011,4,26,NA
"18","SebastianFarms","SF16","Db","Riesling","3. Woolly Bud",2011,4,26,NA
"19","SebastianFarms","SF16","CC","Sauvignon Blanc","3. Woolly Bud",2011,4,26,NA
"20","SebastianFarms","SF16","Da","Riesling","3. Woolly Bud",2011,4,26,NA
"21","SebastianFarms","SF16","CD","Sauvignon Blanc","3. Woolly Bud",2011,4,26,NA
"22","SebastianFarms","SF16","L","Shiraz","3. Woolly Bud",2011,4,26,NA
"23","SebastianFarms","SF16","CE","Sauvignon Blanc","3. Woolly Bud",2011,4,26,NA
"24","SebastianFarms","SF16","F","Semillon","3. Woolly Bud",2011,4,26,NA
"25","SebastianFarms","SF16","E","Semillon","3. Woolly Bud",2011,4,26,NA
"26","SebastianFarms","SF16","Df","Riesling","3. Woolly Bud",2011,4,26,NA
"27","SebastianFarms","SF16","H","Merlot","3. Woolly Bud",2011,4,26,NA
