Historical Bloom Data,,,04-Jun,14-Jun,29-May,01-Jun,13-Jun,11-Jun,23-Jun,28-Jun,23-Jun,12-Jun,18-Jun,10-Jun,16-Jun,11-Jun,10-Jun,15-Jun,23-Jun,17-Jun,13-Jun,**All dates are entered with the year 2018 to allow for calculation of a day-month average
Vineyard,Block,Variety,Bloom    2018,Bloom    2017,Bloom    2016,Bloom    2015,Bloom    2014,Bloom    2013,Bloom    2012,Bloom    2011,Bloom    2010,Bloom    2009,Bloom     2008,Bloom     2007,Bloom     2006,Bloom     2005,Bloom     2004,Bloom     2003,Bloom     2002,Bloom     2001,Average Bloom,
Bearcub,A,Shiraz,04-Jun,15-Jun,01-Jun,30-May,10-Jun,10-Jun,23-Jun,29-Jun,23-Jun,11-Jun,22-Jun,11-Jun,15-Jun,,10-Jun,15-Jun,19-Jun,18-Jun,13-Jun,
Bearcub,B,Cabernet Sauvignon,04-Jun,12-Jun,25-May,04-Jun,08-Jun,09-Jun,23-Jun,26-Jun,25-Jun,10-Jun,19-Jun,12-Jun,12-Jun,,08-Jun,18-Jun,17-Jun,15-Jun,12-Jun,
Bearcub,C,Cabernet Sauvignon,04-Jun,12-Jun,25-May,05-Jun,10-Jun,09-Jun,20-Jun,26-Jun,19-Jun,10-Jun,17-Jun,10-Jun,11-Jun,,07-Jun,18-Jun,18-Jun,15-Jun,12-Jun,
Bearcub,D,Cabernet Sauvignon,04-Jun,12-Jun,26-May,06-Jun,08-Jun,09-Jun,21-Jun,26-Jun,21-Jun,10-Jun,18-Jun,12-Jun,12-Jun,,08-Jun,18-Jun,18-Jun,15-Jun,12-Jun,
Bearcub,E,Cabernet Sauvignon,04-Jun,12-Jun,25-May,06-Jun,08-Jun,09-Jun,22-Jun,26-Jun,23-Jun,11-Jun,18-Jun,12-Jun,12-Jun,,08-Jun,18-Jun,17-Jun,17-Jun,12-Jun,
Bearcub,F,Shiraz,04-Jun,16-Jun,26-May,30-May,10-Jun,12-Jun,23-Jun,29-Jun,,08-Jun,16-Jun,06-Jun,09-Jun,,07-Jun,12-Jun,20-Jun,09-Jun,10-Jun,
Bearcub,G,Merlot,04-Jun,16-Jun,26-May,03-Jun,10-Jun,10-Jun,23-Jun,24-Jun,19-Jun,10-Jun,19-Jun,11-Jun,10-Jun,,09-Jun,16-Jun,19-Jun,17-Jun,12-Jun,
Bearcub,H,Merlot,04-Jun,18-Jun,26-May,05-Jun,12-Jun,11-Jun,23-Jun,28-Jun,24-Jun,14-Jun,19-Jun,17-Jun,11-Jun,,06-Jun,16-Jun,19-Jun,17-Jun,14-Jun,
Bearcub,I,Cabernet Franc,04-Jun,12-Jun,24-May,01-Jun,09-Jun,09-Jun,21-Jun,27-Jun,20-Jun,10-Jun,16-Jun,12-Jun,11-Jun,,08-Jun,16-Jun,18-Jun,16-Jun,11-Jun,
Bearcub,J,Shiraz,04-Jun,,,,08-Jun,09-Jun,18-Jun,22-Jun,24-Jun,08-Jun,14-Jun,07-Jun,08-Jun,,07-Jun,12-Jun,18-Jun,09-Jun,12-Jun,
Bearcub,K,Zinfandel,04-Jun,10-Jun,23-May,02-Jun,11-Jun,09-Jun,22-Jun,25-Jun,23-Jun,10-Jun,15-Jun,11-Jun,15-Jun,,08-Jun,15-Jun,18-Jun,,11-Jun,
Bearcub,L,Pinot Noir,04-Jun,08-Jun,24-May,30-May,11-Jun,09-Jun,21-Jun,26-Jun,18-Jun,10-Jun,15-Jun,07-Jun,10-Jun,,07-Jun,14-Jun,18-Jun,13-Jun,10-Jun,
Bearcub,M,Sauvignon Blanc,04-Jun,18-Jun,24-May,04-Jun,,10-Jun,22-Jun,29-Jun,27-Jun,12-Jun,20-Jun,10-Jun,12-Jun,,07-Jun,13-Jun,20-Jun,16-Jun,13-Jun,
Bearcub,N,Sauvignon Blanc,04-Jun,18-Jun,28-May,04-Jun,12-Jun,11-Jun,22-Jun,29-Jun,27-Jun,12-Jun,18-Jun,10-Jun,12-Jun,,09-Jun,13-Jun,18-Jun,16-Jun,13-Jun,
Bearcub,O,Shiraz,04-Jun,20-Jun,24-May,30-May,10-Jun,12-Jun,23-Jun,29-Jun,,07-Jun,16-Jun,05-Jun,09-Jun,,07-Jun,12-Jun,17-Jun,09-Jun,10-Jun,
Bearcub,P,Pinot Noir,29-May,08-Jun,22-May,30-May,09-Jun,05-Jun,22-Jun,25-Jun,17-Jun,09-Jun,14-Jun,07-Jun,09-Jun,,06-Jun,14-Jun,17-Jun,12-Jun,09-Jun,
Bearcub,Q,Cabernet Sauvignon,04-Jun,08-Jun,24-May,01-Jun,08-Jun,09-Jun,22-Jun,26-Jun,26-Jun,11-Jun,17-Jun,12-Jun,12-Jun,,06-Jun,18-Jun,17-Jun,14-Jun,12-Jun,
Bearcub,R,Sauvignon Blanc,04-Jun,,24-May,03-Jun,,11-Jun,23-Jun,27-Jun,27-Jun,12-Jun,20-Jun,10-Jun,11-Jun,,06-Jun,13-Jun,18-Jun,16-Jun,12-Jun,
