Q G ~ Q   u   a   i   l   s       G   a   t   e       E   s   t   a   t   e       W   i   n   e   r   y   .,,,,,,,,
Agricultural Summary,,,,,,Page 1 of 10,,
Location / Sub,Type,,Date,,Note                                     Acres,,,
"QGV - Quails Gate Vineyard / F1B7,F2B3",,Phenological,2016-06-07,Full bloom,,,6.2,
"BFV - Blue Fox Vineyard / B1, B3",,Phenological,2016-06-07,Full bloom,,,7.6,
"QGV - Quails Gate Vineyard / F3B5,F3B6,F3B7,F3",,Phenological,2016-06-06,Full bloom,,,2.8,
WPV - West Point Vineyard / B6,,Phenological,2016-06-06,Full bloom,,,3.,
"WPV - West Point Vineyard / B7,B7-8,B8",,Phenological,2016-06-06,Full bloom,,,7.5,
"WPV - West Point Vineyard / B1,B2,B3,B4",,Phenological,2016-06-06,Full bloom,,,10.,
"PAT - Patricia Vineyard / B1,B2,B3,B4",,Phenological,2016-06-06,Full bloom,,,9.1,
"MRT - Martyna Vineyard / B3,B5",,Phenological,2016-06-06,Full bloom,,,7.8,
"MRT - Martyna Vineyard / B1,B2,B4",,Phenological,2016-06-06,Full bloom,,,7.8,
"ILV - Illig Vineyard / B1,B2",,Phenological,2016-06-06,Full bloom,,,5.5,
"QGV - Quails Gate Vineyard /   F3B3,F4B3,F4B11,",,Phenological,2016-06-06,Full bloom,,,9.1,
"QGV - Quails Gate Vineyard / F2B6,F2B7,F2B8,F2",,Phenological,2016-06-06,Full bloom,,,8.4,
"QGV - Quails Gate Vineyard / F5B8/9,F2B4,F2B5",,Phenological,2016-06-06,Full bloom,,,4.,
"QGV - Quails Gate Vineyard / ,F4B7,F4B8,F4B9,F6",,Phenological,2016-06-06,Full bloom,,,11.1,
"MAN - Mannhardt / Sunnyside / F2B3,F2B4",,Phenological,2016-06-06,Full bloom,,,0.8,
"MAN - Mannhardt / Sunnyside / F2B1,F2B2,F2B9",,Phenological,2016-06-06,Full bloom,,,8.8,
"MAN - Mannhardt / Sunnyside / F1B1,F1B2,F1B3",,Phenological,2016-06-06,Full bloom,,,15.9,
"QGV - Quails Gate Vineyard /   F1B3,F1B4,F1B5,F",,Phenological,2016-06-05,Full bloom,,,17.2,
"MAN - Mannhardt / Sunnyside / F2B5,F2B6,F2B7",,Phenological,2016-06-05,Full bloom,,,5.8,
"QGV - Quails Gate Vineyard / F5B1,F5B2,F5B3,F5",,Phenological,2016-06-04,Full bloom,,,8.7,
"QGV - Quails Gate Vineyard /   F3B1,F3B3,F4B2",,Phenological,2016-06-04,Full bloom,,,5.2,
"BFV - Blue Fox Vineyard / B2,B4",,Phenological,2016-06-03,Full bloom,,,1.1,
MAN - Mannhardt / Sunnyside / F2B10,,Phenological,2016-06-01,Full bloom,,,.,
"OSO - Osoyoos Vineyard / B2,B3",,Phenological,2016-05-30,"Full Bloom
SYRAH-Full Bloom June-02",,,3.3,
,,,,,,,,
"QGV - Quails Gate Vineyard / F3B2,F4B4",,Phenological,2016-05-20,Full Bloom,,,1.9,
"OSO - Osoyoos Vineyard / B1,B4,B5,B6",,Phenological,2016-05-16,Full bloom-Foch,,,11.5,
QGV - Quails Gate Vineyard / F1B4,,Phenological,2016-04-18,Budbreak,,,5.1,
"MAN - Mannhardt / Sunnyside / F1B1,F1B2,F3B4",,Phenological,2016-04-18,Budbreak,,,12.2,
"QGV - Quails Gate Vineyard /   F4B5,F4B6,F5B7",,Phenological,2016-04-17,Budbreak,,,4.5,
"QGV - Quails Gate Vineyard / F1B7,F2B3,F2B4,F2",,Phenological,2016-04-17,Budbreak,,,8.4,
"QGV - Quails Gate Vineyard / F2B2,F2B7,F2B8,F2",,Phenological,2016-04-16,Budbreak,,,12.,
QGV - Quails Gate Vineyard / F5B8/9,,Phenological,2016-04-15,Budbreak,,,1.9,
"QGV - Quails Gate Vineyard / F1B5,F1B6",,Phenological,2016-04-15,Budbreak,,,5.,
QGV - Quails Gate Vineyard / F1B3,,Phenological,2016-04-15,Budbreak,,,4.4,
"WPV - West Point Vineyard / B7,B7-8,B8",,Phenological,2016-04-15,Budbreak,,,7.5,
"MRT - Martyna Vineyard / B3,B5",,Phenological,2016-04-15,Budbreak,,,7.8,
"MRT - Martyna Vineyard / B1,B2,B4",,Phenological,2016-04-14,Budbreak,,,7.8,
MAN - Mannhardt / Sunnyside / F1B3,,Phenological,2016-04-14,Budbreak,,,5.1,
"MAN - Mannhardt / Sunnyside /   F2B1,F2B2,F2B",,Phenological,2016-04-14,Budbreak,,,5.6,
"BFV - Blue Fox Vineyard / B1,B2,B3,B4",,Phenological,2016-04-14,Budbreak,,,8.7,
"MAN - Mannhardt / Sunnyside / F1B4,F1B5,F2B5",,Phenological,2016-04-13,Budbreak,,,9.1,
"QGV - Quails Gate Vineyard / F3B5,F3B6,F3B7,F3",,Phenological,2016-04-13,Budbreak,,,5.3,
Q G ~ Q   u   a   i   l   s       G   a   t   e       E   s   t   a   t   e       W   i   n   e   r   y   .,,,,,,,,
Agricultural Summary,,,,,,Page 2 of 10,,
Location / Sub,Type,,Date,,Note                                     Acres,,,
"QGV - Quails Gate Vineyard /   F3B1,F3B3,F4B2,F",,Phenological,2016-04-13,Budbreak,,,7.8,
"QGV - Quails Gate Vineyard /   F4B7,F4B8,F4B9,F",,Phenological,2016-04-13,Budbreak,,,6.7,
QGV - Quails Gate Vineyard / F2B6,,Phenological,2016-04-13,Budbreak,,,4.,
"WPV - West Point Vineyard / B1,B2,B3,B4",,Phenological,2016-04-13,,,,10.,
"ILV - Illig Vineyard / B1,B2",,Phenological,2016-04-13,,,,5.5,
"QGV - Quails Gate Vineyard / F5B1,F5B2,F5B3,F5",,Phenological,2016-04-12,Budbreak,,,6.2,
OSO - Osoyoos Vineyard / B2,,Phenological,2016-04-11,Budbreak,,,1.,
"QGV - Quails Gate Vineyard / F3B4,F4B1",,Phenological,2016-04-08,Budbreak,,,4.7,
MAN - Mannhardt / Sunnyside / F2B10,,Phenological,2016-04-07,Budbreak,,,.,
OSO - Osoyoos Vineyard / B3,,Phenological,2016-04-07,Budbreak,,,2.3,
"OSO - Osoyoos Vineyard / B1,B4,B5,B6",,Phenological,2016-04-05,Budbreak,,,11.5,
"PAT - Patricia Vineyard / B1,B2,B3,B4",,Phenological,2015-06-11,Full Bloom,,,9.1,
"QGV - Quails Gate Vineyard / F1B7,F2B3",,Phenological,2015-06-10,Full Bloom,,,6.2,
"MAN - Mannhardt / Sunnyside / F1B1,F1B2,F3B4",,Phenological,2015-06-10,Full Bloom,,,7.6,
"MRT - Martyna Vineyard / B1,B2,B3,B4,B5",,Phenological,2015-06-10,Full Bloom,,,15.6,
"BFV - Blue Fox Vineyard / B1,B2",,Phenological,2015-06-09,Full Bloom,,,5.5,
"MAN - Mannhardt / Sunnyside / F2B1,F2B2,F2B9",,Phenological,2015-06-08,Full Bloom,,,8.8,
"QGV - Quails Gate Vineyard /   F1B3,F1B4,F1B5,F",,Phenological,2015-06-08,Full Bloom,,,14.5,
"QGV - Quails Gate Vineyard / F4B5,F4B6,F5B7",,Phenological,2015-06-08,Full Bloom,,,4.5,
MAN - Mannhardt / Sunnyside / F1B3,,Phenological,2015-06-07,Full Bloom,,,5.1,
"QGV - Quails Gate Vineyard / F5B8,F5B9,F6B1,F6",,Phenological,2015-06-07,Full Bloom,,,4.9,
"QGV - Quails Gate Vineyard / F2B2,F2B6,F2B7,F2",,Phenological,2015-06-07,Full Bloom,,,11.2,
"QGV - Quails Gate Vineyard / F4B1,F2B4,F2B5",,Phenological,2015-06-07,"Full Bloom
F4B1 Chardonnay Full Bloom June 04",,,4.5,
,,,,,,,,
"MAN - Mannhardt / Sunnyside / F1B4,F1B5,F2B5",,Phenological,2015-06-06,Full Bloom,,,9.1,
"QGV - Quails Gate Vineyard / F3B1,F3B3,F3B5,F3",,Phenological,2015-06-06,Full Bloom,,,6.1,
"QGV - Quails Gate Vineyard / F3B1,F4B2,F4B7,F4",,Phenological,2015-06-06,"Full Bloom
F3B4 Chardonnay Full Bloom June 04",,,8.5,
,,,,,,,,
MAN - Mannhardt / Sunnyside / F2B10,,Phenological,2015-06-05,E-L 24,,,.,
"MAN - Mannhardt / Sunnyside / F3B4,F3B5",,Phenological,2015-06-05,E-L 19,,,.,
"MAN - Mannhardt / Sunnyside / F3B1,F3B2,F3B3",,Phenological,2015-06-05,E-L 19,,,.,
MAN - Mannhardt / Sunnyside / F2B9,,Phenological,2015-06-05,E-L 19,,,.,
"MAN - Mannhardt / Sunnyside / F2B5,F2B6,F2B7",,Phenological,2015-06-05,E-L 21,,,.,
MAN - Mannhardt / Sunnyside / F2B4,,Phenological,2015-06-05,E-L 21,,,.,
MAN - Mannhardt / Sunnyside / F2B3,,Phenological,2015-06-05,E-L 19,,,.,
"MAN - Mannhardt / Sunnyside / F2B1, F2B2",,Phenological,2015-06-05,E-L 19,,,.,
"MAN - Mannhardt / Sunnyside / F1B4, F1B5",,Phenological,2015-06-05,E-L 23,,,.,
MAN - Mannhardt / Sunnyside / F1B3,,Phenological,2015-06-05,E-L 20,,,.,
MAN - Mannhardt / Sunnyside / F1B3,,Phenological,2015-06-05,E-L 20,,,.,
"MAN - Mannhardt / Sunnyside / F1B1, F2B2",,Phenological,2015-06-05,E-L 20,,,.,
"BFV - Blue Fox Vineyard / B2,B4",,Phenological,2015-06-05,E-L 24,,,.,
"BFV - Blue Fox Vineyard / B1, B3",,Phenological,2015-06-05,E-L 19,,,.,
BFV - Blue Fox Vineyard / B2,,Phenological,2015-06-05,E-L 24,,,.,
Q G ~ Q   u   a   i   l   s       G   a   t   e       E   s   t   a   t   e       W   i   n   e   r   y   .,,,,,,,,
Agricultural Summary,,,,,,Page 3 of 10,,
Location / Sub,Type,,Date,,Note                                     Acres,,,
BFV - Blue Fox Vineyard / B1,,Phenological,2015-06-05,E-L 19,,,.,
"QGV - Quails Gate Vineyard / F6B1,F6B2",,Phenological,2015-06-05,E-L 21,,,.,
QGV - Quails Gate Vineyard / F5B8/9,,Phenological,2015-06-05,E-L 19,,,.,
QGV - Quails Gate Vineyard / F5B7,,Phenological,2015-06-05,E-L 22,,,.,
"QGV - Quails Gate Vineyard / F5B5, F5B6",,Phenological,2015-06-05,E-L 22,,,.,
"QGV - Quails Gate Vineyard / F5B1,F5B2,F5B3,F5",,Phenological,2015-06-05,E-L 24,,,.,
"QGV - Quails Gate Vineyard / F4B7,F4B8,F4B9",,Phenological,2015-06-05,E-L 23,,,.,
"QGV - Quails Gate Vineyard / F4B5,F4B6",,Phenological,2015-06-05,E-L 22,,,.,
QGV - Quails Gate Vineyard / F4B4,,Phenological,2015-06-05,E-L 27,,,.,
"QGV - Quails Gate Vineyard / F4B2,F4B3",,Phenological,2015-06-05,E-L 23,,,.,
