VYears,Source,Vineyard,Block,Variety,Acres,Tier,Budbreak,Bloom,Veraison,BunchesPerVine,BunchWt(kg),BerryMass(g),Brix,pH,TA,GDDtoHarvest,HarvestDate,Yield (Tonnes),ActualT/A,
2001,Own,Bearcub,A,Shiraz,14.09,,25-Apr-01,18-Jun-01,10-Aug-01,12.0,0.2014,,25.1,3.40,6.00,,24-Oct-01,20.4818,1.45,
2001,Own,Bearcub,B,Cabernet Sauvignon,11.72,,28-Apr-01,15-Jun-01,10-Aug-01,8.8,0.1514,,25.3,3.16,8.60,,3-Oct-01,16.2886,1.39,
2001,Own,Bearcub,C,Cabernet Sauvignon,9.95,,4-May-01,15-Jun-01,8-Aug-01,4.7,0.1787,,25.1,3.25,8.90,,7-Oct-01,7.3341,0.74,
2001,Own,Bearcub,D,Cabernet Sauvignon,10.95,,27-Apr-01,15-Jun-01,8-Aug-01,4.6,0.1727,,25.1,3.19,8.60,,7-Oct-01,12.4727,1.14,
2001,Own,Bearcub,E,Cabernet Sauvignon,10.92,,3-May-01,17-Jun-01,12-Aug-01,6.5,0.1457,,24.6,3.24,7.50,,13-Oct-01,12.0045,1.10,
2001,Own,Bearcub,F,Chardonnay,10.36,,25-Apr-01,9-Jun-01,7-Aug-01,11.9,0.1852,,21.8,3.15,7.90,,10-Sep-01,19.5818,1.89,
2000,Grower,Chobotar,,Merlot,,,,,,,,,,,,,,0.22,,
2000,Grower,Dan Prpich,,Merlot,,,,,,,,,,,,,,3.69,,
2001,Own,Bearcub,I,Cabernet Franc,10.56,,27-Apr-01,16-Jun-01,15-Aug-01,12.5,0.1759,,25.0,3.21,8.00,,7-Oct-01,28.8773,2.73,
2001,Own,Bearcub,J,Chardonnay,10.25,,25-Apr-01,9-Jun-01,7-Aug-01,11.0,0.1611,,22.4,3.20,7.80,,12-Sep-01,19.9659,1.95,
2001,Own,Bearcub,K,Zinfandel,5.11,,26-Apr-01,,,,,,,,,,,,,
2001,Own,Bearcub,L,Pinot Noir,9.03,,30-Apr-01,13-Jun-01,7-Aug-01,11.2,0.1443,,23.1,3.17,8.00,,12-Sep-01,16.4182,1.82,
