Historical Harvest Data,,,12-Oct,10-Oct,05-Oct,30-Sep,14-Oct,08-Oct,13-Oct,17-Oct,12-Oct,05-Oct,15-Oct,08-Oct,13-Oct,09-Oct,10-Oct,05-Oct,01-Oct,01-Oct,10-Oct,**All dates are entered with the year 2018 to allow for calculation of a day-month average
Vineyard,Block,Variety,Harvest 2018,Harvest 2017,Harvest 2016,Harvest 2015,Harvest 2014,Harvest 2013,Harvest 2012,Harvest 2011,Harvest 2010,Harvest 2009,Harvest 2008,Harvest 2007,Harvest 2006,Harvest 2005,Harvest 2004,Harvest 2003,Harvest 2002,Harvest 2001,Average Harvest,
Aujla,A,Sauvignon Blanc,10-Oct,01-Nov,02-Nov,20-Oct,31-Oct,04-Nov,28-Oct,30-Oct,29-Oct,15-Oct,29-Oct,25-Oct,29-Oct,19-Oct,29-Oct,23-Oct,18-Oct,24-Oct,25-Oct,
Aujla,B,Merlot,01-Nov,02-Nov,12-Oct,16-Oct,03-Nov,06-Nov,04-Nov,01-Nov,01-Nov,11-Oct,02-Nov,28-Oct,30-Oct,30-Oct,28-Oct,24-Oct,17-Oct,03-Oct,25-Oct,
Avila,A,Chardonnay,13-Nov,01-Nov,18-Nov,23-Oct,02-Nov,05-Nov,06-Nov,31-Oct,27-Oct,11-Oct,01-Nov,27-Oct,26-Oct,27-Oct,28-Oct,25-Oct,21-Oct,07-Oct,28-Oct,
Bajwa,A,Merlot,06-Nov,15-Oct,01-Nov,16-Oct,03-Nov,30-Oct,05-Nov,30-Oct,19-Oct,16-Oct,30-Oct,16-Oct,29-Oct,02-Nov,30-Oct,23-Oct,16-Oct,07-Oct,24-Oct,
Bajwa,B,Pinot Gris,25-Oct,18-Oct,12-Oct,19-Oct,26-Oct,06-Nov,03-Nov,29-Oct,25-Oct,16-Oct,09-Oct,26-Oct,30-Oct,31-Oct,31-Oct,29-Oct,21-Oct,13-Oct,23-Oct,
Barnay,A,Schonburger,10-Nov,31-Oct,10-Oct,20-Oct,30-Oct,15-Oct,22-Oct,02-Nov,,21-Sep,28-Sep,22-Sep,27-Sep,23-Sep,27-Sep,24-Sep,17-Sep,10-Sep,07-Oct,
Bearcub,A,Shiraz,10-Oct,20-Oct,01-Oct,04-Oct,15-Oct,18-Oct,19-Oct,20-Oct,17-Oct,05-Oct,05-Oct,09-Oct,08-Oct,05-Oct,09-Oct,05-Oct,25-Sep,21-Sep,08-Oct,
Bearcub,B,Cabernet Sauvignon,30-Sep,13-Sep,14-Oct,05-Oct,13-Oct,21-Oct,25-Oct,18-Oct,18-Oct,09-Oct,25-Oct,16-Oct,06-Oct,05-Oct,10-Oct,02-Oct,27-Sep,15-Sep,08-Oct,
Bearcub,C,Cabernet Sauvignon,22-Oct,02-Nov,03-Nov,19-Oct,06-Nov,31-Oct,29-Oct,31-Oct,03-Nov,12-Oct,22-Oct,23-Oct,26-Oct,29-Oct,19-Oct,09-Oct,15-Oct,07-Oct,24-Oct,
Bearcub,D,Cabernet Sauvignon,01-Oct,,,,27-Sep,17-Sep,30-Sep,01-Oct,04-Oct,16-Sep,05-Oct,22-Sep,27-Sep,22-Sep,01-Oct,27-Sep,16-Sep,12-Sep,25-Sep,
Bearcub,E,Cabernet Sauvignon,05-Nov,28-Oct,14-Oct,08-Oct,28-Oct,29-Sep,17-Oct,30-Oct,20-Oct,26-Sep,16-Oct,09-Oct,05-Oct,05-Oct,07-Oct,08-Oct,09-Oct,,13-Oct,
Bearcub,F,Shiraz,23-Sep,11-Oct,14-Sep,20-Sep,23-Sep,16-Sep,26-Sep,18-Oct,05-Oct,04-Oct,30-Sep,24-Oct,20-Oct,30-Sep,01-Oct,29-Sep,07-Oct,12-Sep,30-Sep,
Bearcub,G,Merlot,15-Sep,10-Sep,24-Aug,08-Sep,08-Sep,04-Sep,08-Sep,25-Sep,24-Sep,19-Sep,15-Sep,12-Sep,13-Sep,21-Sep,24-Sep,25-Sep,25-Sep,11-Sep,14-Sep,
Bearcub,H,Merlot,16-Sep,07-Sep,29-Aug,09-Sep,09-Sep,27-Aug,09-Sep,21-Sep,20-Sep,18-Sep,16-Sep,11-Sep,21-Sep,14-Sep,16-Sep,15-Sep,18-Sep,09-Sep,12-Sep,
Bearcub,I,Cabernet Franc,10-Nov,30-Oct,12-Oct,14-Oct,01-Nov,04-Nov,23-Oct,03-Nov,,23-Sep,02-Oct,19-Sep,22-Sep,12-Sep,02-Oct,13-Sep,14-Sep,10-Sep,07-Oct,
Bearcub,J,Shiraz,27-Sep,24-Sep,13-Sep,14-Sep,22-Sep,14-Sep,01-Oct,17-Oct,13-Oct,29-Sep,09-Oct,04-Oct,12-Oct,27-Sep,30-Sep,25-Sep,24-Sep,12-Sep,27-Sep,
Bearcub,K,Zinfandel,25-Oct,16-Oct,10-Oct,16-Oct,27-Oct,03-Nov,03-Nov,28-Oct,01-Nov,11-Oct,30-Oct,21-Oct,28-Oct,03-Nov,31-Oct,22-Oct,04-Oct,13-Oct,23-Oct,
Bearcub,L,Pinot Noir,11-Sep,06-Sep,30-Aug,10-Sep,09-Sep,28-Aug,13-Sep,22-Sep,22-Sep,10-Sep,18-Sep,10-Sep,18-Sep,14-Sep,08-Oct,26-Sep,18-Sep,19-Sep,14-Sep,
Bearcub,M,Sauvignon Blanc,09-Oct,11-Oct,01-Oct,02-Oct,09-Oct,17-Oct,12-Oct,02-Nov,06-Oct,02-Oct,,,,,,,,,10-Oct,
Bearcub,N,Sauvignon Blanc,26-Sep,19-Sep,21-Sep,14-Sep,29-Sep,12-Sep,01-Oct,20-Sep,28-Sep,22-Sep,,,,,,,,,22-Sep,
Bearcub,O,Shiraz,12-Oct,25-Sep,21-Sep,21-Sep,29-Sep,12-Sep,12-Oct,27-Oct,28-Sep,20-Sep,,,,,,,,,29-Sep,
