date_sampled,date_brix,vineyard,block,row,plantID,brix,labMember,notes
2020/8/25,2020/9/2,Dark Horse,E,3,957,15.8,fj,
2020/8/25,2020/9/2,NKMIP,G,44,333,17.1,fj,
2020/8/25,2020/9/2,McIntyre,E,43,560,15.4,fj,
2020/8/25,2020/9/2,McIntyre,E,43,561,16.2,fj,
2020/8/25,2020/9/2,McIntyre,E,43,562,17.7,fj,
2020/8/25,2020/9/2,McIntyre,E,44,555,15.1,fj,
2020/8/25,2020/9/2,McIntyre,E,44,556,16,fj,
2020/8/25,2020/9/2,McIntyre,J,109,273,14,fj,
2020/8/25,2020/9/2,McIntyre,J,109,272,14.7,fj,
2020/8/25,2020/9/2,McIntyre,J,109,271,12.6,fj,
2020/8/25,2020/9/2,McIntyre,J,110,270,15,fj,
2020/8/25,2020/9/2,McIntyre,J,110,269,15.8,fj,
