date_sampled,date_brix,vineyard,block,row,plantID,brix,labMember,notes
2020/8/25,2020/8/31,NKMIP,F,5,398,17.5,PA,
2020/8/25,2020/8/31,NKMIP,F,5,399,17.1,PA,
2020/8/25,2020/8/31,NKMIP,G,21,352,18,PA,
2020/8/25,2020/8/31,NKMIP,C,28,300,16,PA,
2020/8/25,2020/8/31,NKMIP,F,5,402,18,PA,
2020/8/25,2020/8/31,NKMIP,G,21,353,16.3,PA,
2020/8/25,2020/8/31,NKMIP,C,28,299,13.2,PA,
2020/8/25,2020/8/31,NKMIP,F,5,401,17.4,PA,
2020/8/25,2020/8/31,NKMIP,F,6,408,18.5,PA,
2020/8/25,2020/8/31,NKMIP,F,6,406,17.2,PA,
2020/8/25,2020/8/31,NKMIP,F,6,405,19.5,PA,
2020/8/25,2020/8/31,NKMIP,F,6,403,19.2,PA,
2020/8/25,2020/8/31,McIntyre,E,11,547,12.7,PA,
2020/8/25,2020/8/31,McIntyre,C,38,492,15.1,PA,
2020/8/25,2020/8/31,McIntyre,E,11,548,12.2,PA,
2020/8/25,2020/8/31,McIntyre,C,39,485,15.1,PA,
2020/8/25,2020/8/31,McIntyre,C,38,491,14.9,PA,cluster 1 small
2020/8/25,2020/8/31,McIntyre,C,39,486,15.2,PA,
2020/8/25,2020/8/31,McIntyre,C,38,489,16.5,PA,
2020/8/25,2020/8/31,McIntyre,C,38,490,16.5,PA,
2020/8/25,2020/8/31,NKMIP,G,22,355,14.3,PA,
2020/8/25,2020/8/31,NKMIP,G,22,356,13.1,PA,
2020/8/25,2020/8/31,NKMIP,G,22,357,16.5,PA,
2020/8/25,2020/8/31,NKMIP,G,22,358,17.1,PA,
2020/8/25,2020/8/31,NKMIP,G,22,360,17.5,PA,
2020/8/25,2020/8/31,McIntyre,E,11,551,13.8,PA,
2020/8/25,2020/8/31,McIntyre,E,11,550,11.1,PA,
2020/8/25,2020/8/31,McIntyre,E,11,552,12.6,PA,
2020/8/25,2020/8/31,McIntyre,E,11,549,14.7,PA,
2020/8/25,2020/8/31,McIntyre,E,12,542,14.1,PA,
2020/8/25,2020/8/31,McIntyre,E,12,543,15.6,PA,
2020/8/25,2020/8/31,McIntyre,C,39,484,16.9,PA,
2020/8/25,2020/8/31,McIntyre,C,39,483,15.6,PA,
2020/8/25,2020/8/31,McIntyre,E,12,545,15.6,PA,
2020/8/25,2020/8/31,McIntyre,E,12,544,12.2,PA,
2020/8/25,2020/8/31,McIntyre,C,38,473,16.8,PA,
2020/8/25,2020/8/31,McIntyre,E,12,546,12.5,PA,
2020/8/25,2020/8/31,NKMIP,F,6,404,18,PA,
2020/8/26,2020/8/31,Quails Gate Estate,2-1,14,615,12.2,PA,
2020/8/26,2020/8/31,Quails Gate Estate,1-6,54,581,12.6,PA,
2020/8/26,2020/8/31,Quails Gate Estate,1-6,54,582,14.5,PA,
2020/8/26,2020/8/31,Quails Gate Estate,2-1,13,624,10.9,PA,
2020/8/26,2020/8/31,Quails Gate Estate,1-6,55,588,12.6,PA,
2020/8/26,2020/8/31,Quails Gate Estate,2-1,13,619,6.3,PA,
2020/8/26,2020/8/31,Quails Gate Estate,2-1,14,614,13.4,PA,
2020/8/26,2020/8/31,Quails Gate Estate,2-1,13,622,10,PA,
2020/8/26,2020/8/31,Quails Gate Estate,2-1,13,623,8.1,PA,
2020/8/26,2020/8/31,Quails Gate Estate,2-1,14,618,9.7,PA,
2020/8/26,2020/8/31,Quails Gate Estate,2-1,13,621,12.6,PA,
2020/8/26,2020/8/31,Quails Gate Estate,2-1,14,617,13.3,PA,
2020/8/26,2020/8/31,Quails Gate Estate,2-1,14,616,10.6,PA,
2020/8/25,2020/8/31,NKMIP,G,21,350,18.8,PA,
2020/8/25,2020/8/31,NKMIP,C,29,294,12.7,PA,
2020/8/25,2020/8/31,NKMIP,F,5,397,19.1,PA,position 1 moved flag to adjacent cluster on opposite arm
2020/8/25,2020/8/31,Dark Horse,1,27,976,13.6,PA,
2020/8/25,2020/8/31,NKMIP,G,45,330,17.5,PA,
2020/8/25,2020/8/31,NKMIP,G,44,335,15.1,PA,
2020/8/25,2020/8/31,NKMIP,G,44,334,17.9,PA,
