date_sampled,date_brix,vineyard,block,row,plantID,brix,labMember,notes
2020/08/26,2020/09/02,Quails Gate Estate,6-1,40,679,9.4,Geoff,
2020/08/26,2020/09/02,Quails Gate Estate,6-1,40,680,10.2,Geoff,
2020/08/26,2020/09/02,Quails Gate Estate,4-6,10,775,9.6,Geoff,
2020/08/26,2020/09/02,Quails Gate Estate,4-6,11,772,6.9,Geoff,
2020/08/25,2020/09/02,NKMIP,C,28,310,16.7,Geoff,
2020/08/25,2020/09/02,NKMIP,C,28,311,16.8,Geoff,
2020/08/25,2020/09/02,NKMIP,C,28,312,17.1,Geoff,
2020/08/26,2020/09/02,Quails Gate Estate,5-4,34,653,10.4,Geoff,
2020/08/25,2020/09/02,Dark Horse,G,10,454,22,Geoff,
2020/08/25,2020/09/02,Dark Horse,E,3,958,19.8,Geoff,
2020/08/25,2020/09/02,Dark Horse,J,7,907,14.6,Geoff,
2020/08/25,2020/09/02,Dark Horse,J,7,908,12.4,Geoff,
2020/08/25,2020/09/02,Dark Horse,J,7,909,16,Geoff,
2020/08/25,2020/09/02,Dark Horse,J,7,910,14,Geoff,
2020/08/25,2020/09/02,Dark Horse,J,8,901,14,Geoff,
2020/08/25,2020/09/02,Dark Horse,J,8,902,14.3,Geoff,
2020/08/25,2020/09/02,Dark Horse,J,8,903,14.5,Geoff,
2020/08/25,2020/09/02,Dark Horse,G,11,446,18.3,Geoff,
2020/08/25,2020/09/02,Dark Horse,G,11,449,16.4,Geoff,
2020/08/25,2020/09/02,Dark Horse,G,11,450,20.9,Geoff,
2020/08/26,2020/09/02,Quails Gate Estate,6-1,54,697,8.9,Geoff,
2020/08/26,2020/09/02,Quails Gate Estate,5-4,33,663,4.7,Geoff,
2020/08/26,2020/09/02,Quails Gate Estate,6-1,41,677,11.3,Geoff,
2020/08/26,2020/09/02,Quails Gate Estate,6-1,41,676,10.6,Geoff,
2020/08/26,2020/09/02,Quails Gate Estate,4-8,15,717,11.9,Geoff,
2020/08/25,2020/09/02,Dark Horse,E,3,957,15.8,fj,
2020/08/25,2020/09/02,NKMIP,G,44,333,17.1,fj,
2020/08/25,2020/09/02,McIntyre,E,43,560,15.4,fj,
2020/08/25,2020/09/02,McIntyre,E,43,561,16.2,fj,
2020/08/25,2020/09/02,McIntyre,E,43,562,17.7,fj,
2020/08/25,2020/09/02,McIntyre,E,44,555,15.1,fj,
2020/08/25,2020/09/02,McIntyre,E,44,556,16,fj,
2020/08/25,2020/09/02,McIntyre,J,109,273,14,fj,
2020/08/25,2020/09/02,McIntyre,J,109,272,14.7,fj,
2020/08/25,2020/09/02,McIntyre,J,109,271,12.6,fj,
2020/08/25,2020/09/02,McIntyre,J,110,270,15,fj,
2020/08/25,2020/09/02,McIntyre,J,110,269,15.8,fj,
