Field,Block,Yr.Planted,Variety,Acres,80%BloomDate,Lag date,LagWeight.Grams,50%Veraison.Date,Pick.Weight.Grams,
F1,B1,1994,Cabernet franc,0.28,Jul-01,Aug-01,72.70,Aug-31,,
F1,B1,1993,Merlot,1.19,Jul-01,Jul-30,106.70,Aug-31,,
F1,B2,1996,Chardonnay,1.98,Jun-25,Jul-26,69.30,Aug-21,,
F1,B3,1982,Optima,4.48,Jul-01,Jul-26,58.30,Aug-19,,
F1,B4,1982,Riesling,5.13,Jul-02,Aug-06,121.00,Aug-27,,
F1,B5,1997/98,Pinot Blanc,4.5,Jul-01,Jul-26,80.00,Aug-27,,
F1,B6,1997,Sauvignon Blanc,1.82,Jul-01,Aug-09,35.20,Aug-25,152,
F1,B7,1975/83,Chasselas,2.86,Jul-04,Aug-07,91.60,Aug-20,192,
F2,B1,1987,Riesling,2.86,Jul-02,Aug-03,64.60,Sep-02,,
F2,B2,1998,Merlot,3.27,Jun-30,Jul-30,70.40,Aug-31,,
F2,B3,1975/83,Chasselas,2.45,Jul-04,Aug-07,81.70,Aug-20,212,
F2,B4,1987,Chardonnay,1.42,Jun-27,Jul-26,79.66,Aug-24,,
F2,B5,1993,Chardonnay,0.48,Jun-27,Jul-26,79.66,Aug-24,,
F2,B6,1997,Chenin Blanc,4.72,Jul-01,Aug-07,93.20,Sep-02,,
F2,B7,1998,Merlot,,,,,,,
F2,B8,1998,Merlot,4.43,Jun-30,Jul-30,57.10,Sep-02,,
F2,B9,1998,Gamay,0.91,Jun-30,Aug-03,159.90,Aug-21,,
F3,B1,1975/97,Chenin,1.93,Jul-02,Aug-03,115.90,Sep-02,,
F3,B2,1965,Foch,1.25,Jun-22,Jul-27,38.20,Aug-15,44,
F3,B3,1996,Pinot Noir,2.47,Jun-29,Aug-07,83.90,Aug-29,,
F3,B4,1996,Chardonnay,2.47,Jun-29,Jul-26,59.80,Aug-24,,
F3,B5,1990,Pinot Noir,0.91,Jun-30,Aug-07,65.50,Aug-27,,
F3,B6,1987,Pinot Noir,0.5,Jun-30,Aug-08,93.40,Aug-31,,
F3,B7,1987,Pinot Noir,0.96,Jun-30,Aug-01,160.40,Aug-31,,
F3,B8,1975/90,Pinot Noir,0.54,Jun-30,Aug-07,60.20,Aug-25,,
F4,B1,1982,Riesling,2.23,Jul-01,Aug-09,54.80,Aug-28,,
F4,B2,1975/90,Riesling,1.01,Jul-01,Aug-07,75.00,Aug-31,,
F4,B3,1990,Pinot Noir,2.71,Jun-26,Aug-03,93.90,Aug-23,,
F4,B4,1965-1998,Foch,1.6,Jun-22,Jul-27,58.80,Aug-15,88,
F4,B5,1997,Foch,1.83,Jun-22,Jul-27,32.00,Aug-15,105,
F4,B6,1997,Cabernet Sauvignon,1.38,Jul-01,Aug-01,70.80,Aug-31,,
F4,B7,1993,Gamay,0.46,Jul-01,Aug-02,126.60,Aug-21,,
F4,B8,1993,Gamay,0.46,Jul-01,Aug-02,126.60,Aug-21,,
F4,B9,1993,Gamay,2.22,Jul-01,Aug-01,133.00,Aug-21,,
F4,B10,1990,Pinot Noir,1.73,Jun-29,Aug-01,95.10,Aug-27,,
F5,B1,1997,Chardonnay,2.18,Jun-29,Jul-31,88.40,Aug-23,,
F5,B2,1997,Chardonnay,2.18,Jun-29,Jul-31,72.20,Aug-27,,
F5,B3,1997,Chardonnay,2.18,Jun-29,Jul-31,68.00,Aug-27,,
F5,B4,1997,Chardonnay,0.73,Jun-29,Jul-31,60.60,Aug-27,,
F5,B5,1997,Pinot Noir,1.43,Jun-29,Aug-09,81.20,Aug-31,,
F5,B6,1997,Pinot Noir,1.87,Jun-29,Aug-09,77.00,Aug-31,,
F5,B7,1997,Cabernet Sauvignon,1.25,Jul-01,Aug-09,65.30,Aug-30,,
F5,B8,1994,Gewurtz,0.52,Jul-04,Aug-07,60.20,Aug-31,120,
F5,B9,1989,Gewurtz,1.26,Jul-04,Aug-10,62.00,Aug-31,140,
,,,,83.04,,,,,,
