Field,Block,Variety,Planted,Plants,Acres,Row.Spacing,Budburst,80%Flowering.Date,Lag.Phase.G/2vines,Av.BunchWeight.Grams,Clust.per.2Vines,Lag.Phase.Date,50%Veraison.Date
F1,B1,Cabernet Franc,1994,375,0.28,2.4 x 1.2,May 03-04,Jun 20-21,850g,47.2g,18,25-Jul,Aug 21-22
F1,B1,Merlot,1994/97,1515,0.91,2.4 x 1.2,May 03-04,Jun 20-21,1475g,47.5g,31,22-Jul,Aug 22-23
F1,B2,Chardonnay,1996,4000,1.98,2.0 x 1.0,Apr-29,Jun-22,1350g,30g,45,22-Jul,
F1,B3,Optima,1982,4833,4.48,2.7 x 1.3,Apr30May1,Jun 24-25,1400g,25.4g,55,25-Jul,
F1,B4,Riesling,1982,5536,5.13,2.7 x 1.3,May 05-06,Jun 24-25,1925g,31.5g,61,25-Jul,
F1,B5,Pinot Blanc,1997/98,6191,4.50,2.1 x 1.4,Apr-30,Jun 20-21,1150g,39.6g,29,25-Jul,
F1,B6,Sauvignon Blanc,1997,2500,1.82,2.1 x 1.4,Apr-30,Jun-23,875g,23.0g,38,25-Jul,
F1,B7,Chasselas,1975/83,2114,2.86,3.0 x 2.1,May 02-04,Jun 24-25,5325g,75g,71,25-Jul,
,,Vertical,,,,,,,3650g,48.0g,76,25-Jul,
F2,B1,Riesling,1987,3078,2.86,2.7 x 1.3,May 05-06,Jun 24-25,1800g,31.5g,57,25-Jul,
F2,B2,Merlot,1998,4500,3.27,2.1 x 1.4,May 02-04,Jun-21-22,1000g,43.5g,23,23-Jul,Aug 22-23
F2,B3,Chasselas,1975/83,1590,2.45,3.0 x 2.1,May 02-04,Jun 24-25,3225g,44.1g,73,25-Jul,
,,Vertical,,,,,,,3450g,26.3g,131,25-Jul,
F2,B4,Chardonnay,1987,1532,1.42,2.7 x 1.3,May 01-02,Jun-21,2050g,29.5g,69,22-Jul,
F2,B5,Chardonnay,1993,800,0.48,2.4 x 1.2,May 01-02,Jun-21,2250g,33.5g,67,22-Jul,
F2,B6,Chenin Blanc,1997,6500,4.72,2.1 x 1.4,Apr-29,Jun 22-23,1375g,41.6g,33,25-Jul,
F2,B7,Merlot,1998,4500,3.27,2.1 x 1.4,May 02-04,Jun 22-23,1050g,41.6g,24,23-Jul,Aug 22-23
F2,B8,Merlot,1998,1600,1.16,2.1 x 1.4,May 02-04,Jun 22-23,875g,43.7,21,23-Jul,Aug 22-23
F2,B9,Gamay Noir,1998,1257,0.91,2.1 x 1.4,Apr-30,Jun 20-21,1850g,47.4g,39,25-Jul,Aug 22-23
F3,B1,Chenin Blanc,19975/97,1373,1.93,3.0 x 2.1,Apr-29,Jun 22-23,2100g,41.1g,51,25-Jul,
F3,B2,Foch,1965,780,1.25,3.1 x 2.1,Apr 28-29,Jun 13-14,2525g,19.1g,132,25-Jul,Aug 05-06
F3,B3,Pinot Noir,1996,5000,2.47,2.0 x 1.0,May 02-03,Jun 22-23,1275g,34.4g,37,23-Jul,Aug 18-19
F3,B4,Chardonnay,1996,5000,2.47,2.0 x 1.0,Apr-29,Jun-22,975g,28.6g,34,22-Jul,
F3,B5,Pinot Noir,1990,1103,0.91,2.4 x 1.3,May 02-03,Jun 22-23,1550g,37.8g,41,23-Jul,Aug 21-22
F3,B6,Pinot Noir,1987,600,0.50,2.4 x 1.3,May 02-03,Jun 22-23,1125g,27.4g,41,23-Jul,Aug 21-22
F3,B7,Pinot Noir,1987,1160,0.96,2.4 x 1.3,May 02-03,Jun 22-23,1700g,38.6g,44,23-Jul,Aug 21-22
F3,B8,Pinot Noir,1975/90,631,0.54,2.4 x 1.3,May 02-03,Jun 22-23,1100g,30.5g,36,23-Jul,Aug 21-22
F4,B1,Riesling,1982,2614,2.23,2.4 x 1.3,May 04-05,Jun 24-25,1800g,33.9g,53,25-Jul,
F4,B2,Riesling,1975/90,711,1.01,3.0 x 2.1,May 04-05,Jun 24-25,1900g,28.3g,67,25-Jul,
