Field,Block,Variety,Planted,Plants,Acres,Row.Spacing,Budburst,80%Flowering.Date,Lag.Phase.G/2vines,Av.BunchWeight.Grams,Clust.per.2Vines,Lag.Phase.Date,Pick.Date
F1,B1,Cabernet Franc,1994,275,0.28,2.4 x 1.2,2-May,15-16 June,5550g,100g,48,24-Jul,
F1,B1,Merlot,1994/97,1515,0.91,2.4 x 1.2,2-May,17-18 June,4100g,98g,36,24-Jul,
F1,B2,Chardonnay,1996,4000,1.98,2.0 x 1.0,23-Apr,14-15 June,2600g,82g,48,22-Jul,
F1,B3,Optima,1982,4833,4.48,2.7 x 1.3,1-May,21-22 June,4600g,94g,64,24-Jul,
F1,B4,Riesling,1982,5536,5.13,2.7 x 1.3,2-3-May,20-21 June,5950g,102g,80,24-Jul,
F1,B5,Pinot Blanc,1997/98,6191,4.50,2.1 x 1.4,27-28 Apr,17-18 June,2700g,94g,30,24-Jul,
F1,B6,Sauvignon Blanc,1997,2500,1.82,2.1 x 1.4,27-Apr,17-18 June,5100g,86g,58,24-Jul,
F1,B7,Chasselas,1975/83,2114,2.86,3.0 x 2.1,03-04 May,22-23 June,13150g,76g,238,24-Jul,
F2,B1,Riesling,1987,3078,2.86,2.7 x 1.3,2-3-May,18-19 June,7100g,90g,84,25-Jul,
F2,B2,Merlot,1998,4500,3.27,2.1 x 1.4,2-May,17-18 June,4200g,88g,48,24-Jul,
F2,B3,Chasselas,1975/83,1590,2.45,3.0 x 2.1,03-04 May,22-23 June,14500g,80g,220,25-Jul,
,,Vertical,,,,,02-03 May,22-23 June,,,,,
F2,B4,Chardonnay,1987,1532,1.42,2.7 x 1.3,24-25 Apr,16-17 June,8800g,132g,91,22-Jul,
F2,B5,Chardonnay,1993,800,0.48,2.4 x 1.2,24-25 Apr,16-17 June,8250g,124g,87,22-Jul,
F2,B6,Chenin Blanc,1997,6500,4.72,2.1 x 1.4,28-29 Apr,21-22 June,2500g,54g,54,28-Jul,
F2,B7,Merlot,1998,4500,3.27,2.1 x 1.4,2-May,19-20 June,5500g,94g,60,24-Jul,
F2,B8,Merlot,1998,1600,1.16,2.1 x 1.4,2-May,19-20 June,4200g,93g,56,24-Jul,
F2,B9,Gamay Noir,1998,1257,0.91,2.1 x 1.4,27-28 Apr,15-16 June,4600g,92g,62,28-Jul,
F3,B1,Chenin Blanc,19975/97,1373,1.93,3.0 x 2.1,28-29 Apr,18-19 June,3500g,82g,56,28-Jul,
