Field,Block,Variety,Planted,Plants,Acres,Row.Spacing,Budburst,Flowering,Lag.Phase.G/Vine,Av.BunchWeight.Grams,Clust.per.Vine,Lag.Phase.Date,50%Veraison,Pick.Date
F1,B1,Cabernet Franc,1994,275,0.28,2.4 x 1.2,23-24 Apr,15-Jun,1345,44.8,30,12-Jul,,
F1,B1,Merlot,1994/97,1515,0.91,2.4 x 1.2,23-24 Apr,14-15 Jun,2172,80.4,27,12-Jul,,26-Oct
F1,B2,Chardonnay,1996,4000,1.98,2.0 x 1.0,19-20 Apr,12-Jun,684,36,19,14-Jul,,08-Oct
F1,B3,Optima,1982,4833,4.48,2.7 x 1.3,26-27 Apr,19-20 Jun,2400,68.5,35,19-Jul,,20-Oct
F1,B4,Riesling,1982,5536,5.13,2.7 x 1.3,25-26 Apr,18-19 Jun,4302,102.4,42,19-Jul,,01-Nov
F1,B5,Pinot Blanc,1997/98,6191,4.50,2.1 x 1.4,22-Apr,16-Jun,2420,86.4,28,19-Jul,,22-Oct
F1,B6,Sauvignon Blanc,1997,2500,1.82,2.1 x 1.4,26-27 Apr,18-19 Jun,1995,73.8,27,19-Jul,,12-Oct
F1,B7,Chasselas,1975/83,2114,2.86,3.0 x 2.1,,19-20 Jun,2655,75.8,35,19-Jul,,26-Oct
F2,B1,Riesling,1987,3078,2.86,2.7 x 1.3,23-24 Apr,18-19 Jun,3830,95.7,40,19-Jul,,29-Oct
F2,B2,Merlot,1998,4500,3.27,2.1 x 1.4,25-26 Apr,15-Jun,1970,78.8,25,12-Jul,,21-Oct
F2,B3,Chasselas,1975/83,1590,2.45,3.0 x 2.1,,19-20 Jun,4575,86.3,53,19-Jul,,27-Oct
,,Vertical,,,,,,18-19 Jun,,,,,,
F2,B4,Chardonnay,1987,1532,1.42,2.7 x 1.3,24-25 Apr,16-17 Jun,3140,87.2,36,14-Jul,,25-Oct
F2,B5,Chardonnay,1993,800,0.48,2.4 x 1.2,24-25 Apr,16-17 Jun,3986,97.2,41,14-Jul,,25-Oct
F2,B6,Chenin Blanc,1997,6500,4.72,2.1 x 1.4,19-20 Apr,17-18 Jun,3225,119.4,27,19-Jul,,28-Oct
F2,B7,Merlot,1998,4500,3.27,2.1 x 1.4,25-26 Apr,16-17 Jun,2630,84.8,31,14-Jul,,25-Oct
F2,B8,Merlot,1998,1600,1.16,2.1 x 1.4,,16-17 Jun,1740,82.8,21,14-Jul,,25-Oct
F2,B9,Gamay Noir,1998,1257,0.91,2.1 x 1.4,15-16 Apr,16-Jun,2804,103,27,12-Jul,,25-Oct
F3,B1,Chenin Blanc,19975/97,1373,1.93,3.0 x 2.1,19-Apr,17-Jun,2314,121.7,19,19-Jul,,28-Oct
F3,B2,Foch,1965,780,1.25,3.1 x 2.1,13-14 Apr,4-Jun,,,,,06-Aug,28-Sep
F3,B3,Pinot Noir,1996,5000,2.47,2.0 x 1.0,26-27 Apr,14-15 Jun,1765,63,28,14-Jul,18-Aug,30-Sep
F3,B4,Chardonnay,1996,5000,2.47,2.0 x 1.0,19-20 Apr,10-Jun,2651,106,25,12-Jul,,04-Oct
F3,B5,Pinot Noir,1990,1103,0.91,2.4 x 1.3,25-Apr,16-17 Jun,4473,111.8,40,19-Jul,18-Aug,05-Oct
F3,B6,Pinot Noir,1987,600,0.50,2.4 x 1.3,25-Apr,16-17 Jun,2197,91.5,24,19-Jul,18-Aug,07-Oct
F3,B7,Pinot Noir,1987,1160,0.96,2.4 x 1.3,25-Apr,16-17 Jun,5100,110.8,46,19-Jul,18-Aug,05-Oct
F3,B8,Pinot Noir,1975/90,631,0.54,2.4 x 1.3,25-Apr,16-17 Jun,3385,130.1,26,19-Jul,18-Aug,05-Oct
F4,B1,Riesling,1982,2614,2.23,2.4 x 1.3,24-25 Apr,18-19 Jun,3340,74.2,45,19-Jul,,03-Nov
F4,B2,Riesling,1975/90,711,1.01,3.0 x 2.1,24-25 Apr,18-19 Jun,,,,,,03-Nov
F4,B3,Pinot Noir,1990,3279,2.71,2.4 x 1.3,25-Apr,15-Jun,3245,69,47,12-Jul,16-Aug,04-Sep
