Vineyard,Field,Block,Variety,Planted,Plants,Acres,Row.Spacing,Budburst,Flowering,Lag.Phase.G/Vine,Av.BunchWeight.Grams,Clust.per.Vine,Spurs.per.Block,Lag.Phase.Date,Pick.Date
,F1,B1,Merlot,1994/97,1515,0.91,2.4 x 1.2,25-Apr,17-Jun,4000,166.6,24,9-12 spurs,24-Jul,21-Oct
,F1,B2,Chardonnay,1996,4000,1.98,2.0 x 1.0,25-Apr,14-15 June,1050,58.3,18,9-12 spurs,20-Jul,03-Oct
,F1,B3,Optima,1982,4833,4.48,2.7 x 1.3,3-May,22-24 Jun,2550,72.8,35,8-11 spurs,25-Jul,26-Oct
,F1,B4,Riesling,1982,5536,5.13,2.7 x 1.3,2-May,18-20 June,2350,73.4,32,10-12 spurs,25-Jul,28-Oct
,F1,B5,Pinot Blanc,1997/98,6191,4.50,2.1 x 1.4,29-Apr,18-20 June,3500,87.5,40,8-10 spurs,25-Jul,11-Oct
,F1,B6,Sauvig. Blanc,1997,2500,1.82,2.1 x 1.4,29-Apr,18-20 June,800,47,17,8-10 spurs,25-Jul,29-Sep
,F1,B7,Chasselas,1975/83,2114,2.86,3.0 x 2.1,2-May,22-24 Jun,92,9850,107,8-10 spurs,27-Jul,24-Oct
,F2,B1,Riesling,1987,3078,2.86,2.7 x 1.3,2-May,18-20 June,2500,100,25,9-11 spurs,25-Jul,27-Oct
,F2,B2,Merlot,1998,4500,3.27,2.1 x 1.4,3-May,18-20 June,2550,121.4,21,8-10 spurs,24-Jul,18-Oct
,F2,B3,Chasselas,1975/83,1590,2.45,3.0 x 2.1,2-May,22-24 Jun,5800,89.2,65,12-14 spurs,27-Jul,25-Oct
,,,T-bar,,,,,3-May,22-24 Jun,8700,74.3,117,40 spurs,27-Jul,
,F2,B4,Chardonnay,1987,1532,1.42,2.7 x 1.3,28-Apr,18-20 June,4700,95.9,49,12bud10 spur,21-Jul,17-Oct
,F2,B5,Chardonnay,1993,800,0.48,2.4 x 1.2,,18-20 June,4650,110.7,42,,21-Jul,
,F2,B6,Chenin Blanc,1997,6500,4.72,2.1 x 1.4,28-Apr,18-20 June,2350,102.1,23,8-10 spurs,25-Jul,13-Oct
,F2,B7,Merlot,1998,4500,3.27,2.1 x 1.4,3-May,18-20 June,2100,87.5,24,8-10 spurs,24-Jul,21-Oct
,F2,B8,Merlot,1998,1600,1.16,2.1 x 1.4,,18-20 June,2950,109.2,27,,24-Jul,20-Oct
,F2,B9,Gamay Noir,1998,1257,0.91,2.1 x 1.4,26-Apr,12-13 Jun,4550,122.9,37,8-11 spurs,21-Jul,20-Oct
,F3,B1,Pinot Noir,2005,2895,1.79,2.1 x 1.1,18-Apr,15-Jun,,,,2-4-6-10 buds,21-Jul,
,F3,B2,Foch,1965,780,1.25,3.1 x 2.1,22-Apr,12-Jun,3450,35.9,96,24-28-32,20-Jul,27-Sep
,F3,B3,Pinot Noir,1996,5000,2.47,2.0 x 1.0,,18-20 June,1600,84.2,19,8-10 spurs,21-Jul,30-Sep
,F3,B4,Chardonnay,1996,5000,2.47,2.0 x 1.0,25-Apr,14-15 June,2250,107.1,21,7-10 spurs,20-Jul,05-Oct
,F3,B5,Pinot Noir,1990,1103,0.91,2.4 x 1.3,29-Apr,18-20 June,3500,120.6,29,8-12 spurs,21-Jul,29-Sep
,F3,B6,Pinot Noir,1987,600,0.50,2.4 x 1.3,1-May,18-20 June,3000,111.1,27,,21-Jul,
,F3,B7,Pinot Noir,1987,1160,0.96,2.4 x 1.3,,18-20 June,4200,140,30,,21-Jul,13-Oct
,F3,B8,Pinot Noir,1975/90,631,0.54,2.4 x 1.3,,18-20 June,2900,93.5,28,,21-Jul,
,F4,B1,Riesling,1982,2614,2.23,2.4 x 1.3,2-May,18-20 June,2400,93.5,28,10-14 spurs,25-Jul,31-Oct
,F4,B2,Pinot Noir,2005,1240,1.00,2.1 x 1.1,18-Apr,15-Jun,,,,2-4-6-10 buds,21-Jul,
,F4,B3,Pinot Noir,1990,3279,2.71,2.4 x 1.3,29-Apr,18-20 June,3750,104.1,36,10-12 spurs,21-Jul,30-Sep
,F4,B4,Foch,1965/98,1339,1.60,3.0 x 2.1,22-Apr,12-Jun,4050,40.9,99,28-34-38,20-Jul,27-Sep
,F4,B5,Cab Sauvignon,2003,3920,2.46,2.1 x 1.2,5-May,18-20 June,1750,76,23,6-8-10 spurs,26-Jul,02-Nov
,F4,B6,Cab Sauvignon,1997,1900,1.38,2.0 x 1.4,5-May,18-20 June,1750,72.9,24,6-8-10 spurs,26-Jul,02-Nov
,F4,B7,Pinot Noir,2005,965,0.53,2.1 x 1.1,18-Apr,15-Jun,,,,2-4-6-8 buds,21-Jul,
,F4,B8,Pinot Noir,2005,1990,1.25,2.1 x 1.1,18-Apr,15-Jun,,,,2-4-6-8 buds,21-Jul,
,F4,B9,Pinot Noir,2005,2600,1.63,2.1 x 1.1,18-Apr,15-Jun,,,,2-4-6-8 buds,21-Jul,
,F4,B10,Pinot Noir,1990,2093,1.73,2.4 x 1.3,30-Apr,18-20 June,2700,93.1,29,10-12 spurs,21-Jul,28-Sep
,F4,B11,Pinot Noir,2003,2600,1.46,2.1 x 1.1,30-Apr,18-20 June,1000,71.4,14,6-8-10 spurs,21-Jul,28-Sep
