Vineyard,Field,Block,Variety,Planted,Plants,Acres,Row.Spacing,Budburst,Flowering,Clust.per.Vine,Berries.per.Clust,Row#,Av.BerryWeight.Grams,Av.BunchWeight.Grams,Lag.Phase.G/Vine,Lag.Phase.Date,80%Veraison.Date,Av.BerryWeight.Grams,Av.BunchWeight.Grams,Lag.Estimate.t,Berry.Veraison.Estimate.Kg,Bunch.Veraison.Estimate.Kg,Bunch.Veraison.Estimate,2007.Actual,Percentage,Notes
,F1,B1,Merlot,1994/97,1515,0.91,2.4 x 1.2,25-Apr,16-Jun,8,187,17,0.86,142,700,25-Jul,31-Aug,1.56,273,2.3,3535.6,3308.8,3.3,1.7,49,
,F1,B2,Chardonnay,1996,4000,1.98,2.0 x 1.0,26-Apr,11-Jun,17,95,20,0.66,59,500,23-Jul,30-Aug,1.18,159,4.4,7622.8,10812.0,10.8,5.6,48,# of plants different
,F1,B3,Optima,1982,4833,4.48,2.7 x 1.3,3-May,21-Jun,26,164,12,0.64,95,2100,27-Jul,31-Aug,1.34,184,22.3,27614.6,23121.1,23.1,14.1,39,botrytis???
,F1,B4,Riesling,1982,5536,5.13,2.7 x 1.3,2-May,22-23-Jun,29,180,14,0.82,129,2500,26-Jul,31-Aug,1.04,199,30.4,30053.8,31948.3,31.9,30.9,3,
,F1,B5,Pinot Blanc,1997/98,6191,4.50,2.1 x 1.4,29-Apr,16-17-Jun,11,189,26,0.91,117,1200,26-Jul,31-Aug,1.18,221,16.3,15187.9,15050.3,15.1,4.1,73,# of plants different
,F1,B6,Sauvig. Blanc,1997,2500,1.82,2.1 x 1.4,29-Apr,20-Jun,23,161,54,0.62,104,1950,26-Jul,31-Aug,1.26,185,10.7,11664.5,10637.5,10.6,4.3,60,into chenin
,F1,B7,Chasselas,1975/83,2114,2.86,3.0 x 2.1,2-May,21-Jun,89,169,22,0.97,131,11300,26-Jul,31-Aug,2.02,262,52.6,64229.3,49294.3,49.3,58.7,-19,
,F2,B1,Riesling,1987,3078,2.86,2.7 x 1.3,2-May,22-23-Jun,21,214,18,0.84,125,2550,26-Jul,31-Aug,1.18,207,17.3,16322.38776,13380.066,13.4,11.9,11,
,F2,B2,Merlot,1998,4500,3.27,2.1 x 1.4,3-May,20-Jun,11,93,19,0.84,51,850,25-Jul,31-Aug,1.35,172,8.4,6214.725,8514,8.5,8.9,-5,
,F2,B3,Chasselas,1975/83,1590,2.45,3.0 x 2.1,2-May,21-Jun,41,154,30,0.88,156,5650,26-Jul,31-Aug,2.4,252,19.8,24094.224,16427.88,16.4,23.9,-45,adjusted for this year
,,,T-bar,,,,,3-May,,94,153,8,0.84,126,13400,26-Jul,31-Aug,2.12,243,0.0,0,0,0.0,,,
,F2,B4,Chardonnay,1987,1532,1.42,2.7 x 1.3,29-Apr,14-15-Jun,35,139,14,0.69,101,2750,23-Jul,30-Aug,1.23,204,9.3,9167.4114,10938.48,10.9,10.3,6,
,F2,B5,Chardonnay,1993,800,0.48,2.4 x 1.2,,,,,,,,,,,,,,,,,,,
,F2,B6,Chenin Blanc,1997,6500,4.72,2.1 x 1.4,29-Apr,16-17-Jun,22,234,44,0.77,143,2300,26-Jul,31-Aug,1.04,274,32.89,34800.48,39182,39.2,35.6,9,
,F2,B7,Merlot,1998,4500,3.27,2.1 x 1.4,3-May,20-Jun,12,115,95,0.74,86,1350,25-Jul,31-Aug,0.97,214,13.365,6023.7,11556,11.6,10.1,13,
,F2,B8,Merlot,1998,1600,1.16,2.1 x 1.4,,20-Jun,6,247,100,0.79,126,700,25-Jul,31-Aug,1.24,155,2.464,2940.288,1488,1.5,1.1,26,
,F2,B9,Gamay Noir,1998,1257,0.91,2.1 x 1.4,26-Apr,11-Jun,29,154,120,0.88,76,2325,25-Jul,31-Aug,1.28,154,6.429555,7185.61536,5613.762,5.6,4.2,25,
,F3,B1,Pinot Noir,2005,2895,1.79,2.1 x 1.1,20-Apr,11-Jun,,,,,,,,,,,0,0,0,,2.4,,
,F3,B2,Foch,1965,780,1.25,3.1 x 2.1,23-Apr,6-Jun,91,85,6,0.60,47,3700,23-Jul,31-Aug,1.14,123,6.3492,6877.962,8730.54,8.7,3.9,55.3,did we cut off fruit?
,F3,B3,Pinot Noir,1996,5000,2.47,2.0 x 1.0,,15-Jun,19,184,22,0.46,67,1000,25-Jul,30-Aug,1.37,155,11,23947.6,14725,14.7,13.3,9.7,
,F3,B4,Chardonnay,1996,5000,2.47,2.0 x 1.0,25-Apr,11-Jun,22,176,16,0.54,68,1800,23-Jul,30-Aug,1.14,198,19.8,22070.4,21780,21.8,22.9,-5.1,
,F3,B5,Pinot Noir,1990,1103,0.91,2.4 x 1.3,29-Apr,12-13 Jun,28,,,,,,,,,,0,0,0,,,,
,F3,B6,Pinot Noir,1987,600,0.50,2.4 x 1.3,1-May,,23,,,,,,,,,,0,0,0,,,,
