Vineyard,Field,Block,Variety,Planted,Plants,Acres,Row.Spacing,Budburst,Flowering,Clust.per.Vine,Berries.per.Clust,Row#,Av.BerryWeight.Grams,Av.BunchWeight.Grams,Lag.Phase.G/Vine,Lag.Phase.Date,80%Veraison.Date,Av.BerryWeight.Grams,Av.BunchWeight.Grams,Lag estimate ,Veraison Estimate (Berry),Veraison Estimate (Bunch),Veraison Estimate,2008 Actual
,F1,B1,Merlot,1994/97,996,0.91,2.4 x 1.2,6-May,23-Jun,26,335,17,0.53,165,3862,31-Jul,01-Sep,0.8,211.2,8.5,6940.128,5469.2352,5.5,3.9
,F1,B1,Cab. Sauvignon,1994,130,0.19,2.4 x 1.2,,,,,,,,,,,,,,,,,
,F1,B2,Chardonnay,1996,2213,1.82,2.0 x 1.0,4-May,24-Jun,26,116,14,0.4,68,1596,24-Jul,01-Sep,1.4,150.2,7.8,9344.1712,8642.2076,8.6,9.8
,F1,B3,Optima,1982,4833,4.43,2.7 x 1.3,8-May,28-Jun,25,139,5,0.6,99,1840,1-Aug,02-Sep,1,159,19.6,16794.675,19211.175,19.2,15.1
,F1,B4,Riesling,1982,5536,5.07,2.7 x 1.3,8-May,28-Jun,44,161,24,0.8,91.3,2770,1-Aug,02-Sep,1,143.2,33.7,39217.024,34881.2288,34.9,32.4
,F1,B5,Pinot Blanc,1997/98,5341,3.38,2.1 x 1.4,6-May,25-Jun,25,225,26,0.23,94,1770,1-Aug,02-Sep,1,195.4,20.8,30043.125,26090.785,26.1,28.8
,F1,B6,Sauvig. Blanc,1997,2213,1.49,2.1 x 1.4,6-May,27-Jun,29,117,54,0.5,72,1340,1-Aug,02-Sep,1,134.2,6.5,7508.709,8612.5534,8.6,5.3
,F1,B7,Chasselas,1975/83,2114,4.32,3.0 x 2.1,9-May,30-Jun,76,202,,0.6,125.3,3760,1-Aug,02-Sep,1.8,226.6,17.5,58417.4304,36406.4624,36.4,38
,F2,B1,Riesling,1987,3078,2.69,2.7 x 1.3,8-May,28-Jun,44,185,14,0.8,130.6,3240,1-Aug,02-Sep,1,158.6,21.9,25054.92,21480,21.5,5.1
,F2,B2,Merlot,1998,4500,2.79,2.1 x 1.4,7-May,25-Jun,22,147,19,0.6,80.5,2338,31-Jul,01-Sep,1,171.8,23.1,14553,17008,17.0,12.9
,F2,B3,Chasselas,1975/83,1590,1.92,3.0 x 2.1,9-May,29-Jun,37,177,,1,191,4550,1-Aug,02-Sep,2,269.2,15.9,20825.82,15837,15.8,19.7
,,,T-bar,,,,,9-May,29-Jun,93,126,,1,110.3,4240,1-Aug,02-Sep,2,269.2,0.0,0,0,0.0,
,F2,B4,Chardonnay,1987,1532,1.42,2.7 x 1.3,6-May,26-Jun,43,140,14,0.53,62,2026,24-Jul,01-Sep,1.2,158.6,6.8,11067.168,10448,10.4,15.9
,F2,B5,Chardonnay,1993,800,0.72,2.4 x 1.2,6-May,26-Jun,,,,,,,,,,,,,,,6.9
,F2,B6,Chenin Blanc,1997,6500,4.04,2.1 x 1.4,6-May,28-Jun,24,305,44,0.6,160.6,2540,1-Aug,02-Sep,1,211.2,36.3,47580,32947.2,32.9,35.8
,F2,B7,Merlot,1998,4500,2.70,2.1 x 1.4,7-May,26-Jun,23,290,95,0.4,103,1750,31-Jul,01-Sep,1.2,153.8,17.3,36018,15918.3,15.9,9.9
,F2,B8,Merlot,1998,1600,0.85,2.1 x 1.4,7-May,26-Jun,20,256,100,0.4,89,1540,31-Jul,01-Sep,1,155,5.4,8192,4960,5.0,4
,F2,B9,Grefted Merlot,1998,1257,0.78,2.1 x 1.4,7-May,n/a,,,,,,,,,,,,,,,
,F3,B1,Pinot Noir,2005,2895,1.79,2.1 x 1.1,4-May,23-Jun,24,155,6,0.38,56,1365,28-Jul,1-Sep,1.2,182,8.7,12923.28,12645.36,12.6,8.4
,F3,B2,Foch,1965,780,1.09,3.1 x 2.1,28-Apr,18-Jun,183,134,6,0.58,75,5962,28-Jul,01-Sep,1.2,133,10.2,22952.592,18984.42,19.0,8.4
,F3,B3,Pinot Noir,1996,5000,2.47,2.0 x 1.0,6-May,26-Jun,19,172,22,0.5,84,1756,29-Jul,01-Sep,1,161.8,19.3,16340,15371,15.4,13
,F3,B4,Chardonnay,1996,5000,2.57,2.0 x 1.0,3-May,24-Jun,27,141,20,0.53,73,1942,24-Jul,01-Sep,1.4,181.4,21.4,26649,24489,24.5,22.6
,F3,B5,Pinot Noir,1990,1103,0.92,2.4 x 1.3,6-May,26-Jun,32,168,6,0.68,101,3044,28-Jul,01-Sep,1.2,196.4,7.4,7115.6736,6932.1344,6.9,4.4
,F3,B6,Pinot Noir,1987,600,0.55,2.4 x 1.3,6-May,26-Jun,35,167,8,0.6,96,3262,28-Jul,01-Sep,1.2,198.6,4.3,4208.4,4170.6,4.2,2.3
,F3,B7,Pinot Noir,1987,1160,0.96,2.4 x 1.3,6-May,26-Jun,35,148,6,0.56,80,2744,28-Jul,01-Sep,1.00,187.4,7.0,6008.8,7608.44,7.6,3.9
,F3,B8,Pinot Noir,1975/90,631,0.47,2.4 x 1.3,6-May,26-Jun,36,153,8,0.67,96,3732,29-Jul,01-Sep,1.2,184,5.2,4170.6576,4179.744,4.2,2.2
,F4,B1,Grafted Chard.,1982,2614,2.35,2.4 x 1.3,,n/a,,,,,,,,,,,,,,,
,F4,B2,Pinot Noir,2005,1240,0.90,2.1 x 1.1,3-May,23-Jun,33,150,9,0.34,68,1780,29-Jul,1-Sep,1,186.6,4.9,6138,7635.672,7.6,4.9
,F4,B3,Pinot Noir,1990,3279,2.68,2.4 x 1.3,6-May,26-Jun,33,152,20,0.51,79,2338,29-Jul,01-Sep,1.6,221,16.9,26315.9424,23913.747,23.9,16
,F4,B4,Foch,1965/98,1339,0.83,3.0 x 2.1,28-Apr,18-Jun,83,139,5,0.48,67,12454,25-Jul,01-Sep,1.20,112.6,36.7,18537.6516,12514.0262,12.5,10.9
,F4,B5,Cab Sauvignon,2003,3920,2.36,2.1 x 1.2,9-May,25-Jun,29,133,24,0.48,57,1614,31-Jul,02-Sep,1.2,182.6,13.9,18143.328,20757.968,20.8,7.6
,F4,B6,Cab Sauvignon,1997,1900,1.17,2.0 x 1.4,9-May,25-Jun,22,176.5,11,0.5,87.3,1546,31-Jul,02-Sep,1.2,152,6.5,8853.24,6353.6,6.4,4.5
,F4,B7,Pinot Noir,2005,965,0.53,2.1 x 1.1,4-May,25-Jun,23,162,6,0.5,80,2018,29-Jul,1-Sep,1.2,211.4,4.3,4314.708,4692.023,4.7,2.3
,F4,B8,Pinot Noir,2005,1990,1.25,2.1 x 1.1,4-May,25-Jun,28,182,24,0.4,79,2062,29-Jul,1-Sep,1,174.8,9.0,10141.04,9739.856,9.7,5.1
,F4,B9,Pinot Noir,2005,2600,1.63,2.1 x 1.1,4-May,25-Jun,29,206,39,0.37,75,2010,29-Jul,1-Sep,1.2,193.2,11.5,18638.88,14567.28,14.6,6.1
,F4,B10,Pinot Noir,1990,2093,1.72,2.4 x 1.3,6-May,25-Jun,31,160,12,0.52,83,2874,30-Jul,01-Sep,1.2,202,13.2,12457.536,13106.366,13.1,10.7
,F4,B11,Pinot Noir,2003,2600,1.57,2.1 x 1.1,5-May,25-Jun,24,169,6,0.54,84,2254,30-Jul,01-Sep,0.80,175.2,12.9,8436.48,10932.48,10.9,8.8
,F5,B1,Chardonnay,1997,3000,1.80,2.0 x 1.4,4-May,25-Jun,26,120,5,0.58,61,1342,25-Jul,01-Sep,1.2,164,8.9,11232,12792,12.8,13.3
,F5,B2,Chardonnay,1997,3000,1.92,2.0 x 1.4,4-May,25-Jun,26,114,16,0.76,91,2070,25-Jul,01-Sep,1.4,184.4,13.7,12448.8,14383.2,14.4,13.1
,F5,B3,Chardonnay,1997,3000,1.43,2.0 x 1.4,4-May,25-Jun,20,139,27,0.5,70,1224,25-Jul,01-Sep,1.2,146.2,8.1,10008,8772,8.8,13.1
,F5,B4,Chardonnay,1997,1000,1.03,2.0 x 1.4,4-May,25-Jun,29,133,34,0.54,76,1576,25-Jul,01-Sep,1.2,191.2,3.5,4628.4,5544.8,5.5,4.9
,F5,B5,Pinot Noir,1997,2450,1.01,2.0 x 1.1,6-May,25-Jun,23,116,39,0.61,72,1714,31-Jul,01-Sep,1.2,204.2,9.2,7843.92,11506.67,11.5,6.1
,F5,B6,Pinot Noir,1997,3200,1.50,2.0 x 1.1,6-May,25-Jun,25,118,46,0.62,73.3,1800,31-Jul,01-Sep,1.2,172,12.7,11328,13760,13.8,7.8
,F5,B7,Cab Sauvignon,1997,1716,0.95,2.0 x 1.4,9-May,25-Jun,24,119.3,,0.8,94,2203,31-Jul,02-Sep,1.2,136,8.3,5895.90144,5601.024,5.6,3.8
,F5,B8,Gewurztraminer,1994,632,0.52,2.4 x 1.3,6-May,28-Jun,32,159,,0.8,93.6,2035,1-Aug,02-Sep,1.2,158.6,2.8,3858.7392,3207.5264,3.2,10.7
,F5,B9,Gewurztraminer,1989,1526,1.37,2.4 x 1.3,6-May,28-Jun,,,,,,,,,,,6.8,9317.1456,7744.7552,7.7,
,F6,B1,Merlot,2003,4100,2.20,2.1 x 1.1,7-May,26-Jun,23,142,35,0.60,79,1250,1-Aug,02-Sep,1,158.8,11.3,13390.6,14974.84,15,15.7
,F6,B2,Merlot,2003,4163,2.20,2.1 x 1.1,7-May,26-Jun,17,114,88,0.54,66,2380,31-Jul,02-Sep,1,142.4,21.8,8067.894,10077.7904,10,
,East,Kelow,Gwrzt,1997,4221,2.92,2.4 x 1.3,15-May,28-Jun,,,,,,,,,,,,,,,13.7
,,,Pinot Blanc,1997,3661,2.03,,,,,,,,,,,,,,,,,,13
,Osy,,Old Foch,1978,4600,9.80,3 x 1.6,21-Apr,11-Jun,,,,,,,,,,,,,,,26.4
,,,Young Foch,2006,2926,2.96,3 x 1.4,21-Apr,9-Jun,,,,,,,,,,,,,,,2
,,,Chenin Blanc,2006,4061,1.65,2.1 x 1.1,26-Apr,12-Jun,,,,,,,,,,,,,,,11.4
,,,Syrah,2006,1748,1.60,2.1 x 1.6,28-Apr,14-Jun,,,,,,,,,,,,,,,3.6
,,,Patricia,2006,15885,9.20,2.1 x 1.1,15-May,28-Jun,,,,,,,,,,,,,,,28.8
,,,Martyna,2008,22995,13.96,2.1 x 1.1,,,,,,,,,,,,,,,,,0
,,,Total,,177200,127.38,,,,,,,,,,,,,,,,,,
Mannhardt-Sunnyside,F1,B1,Ehrenfelser,1986,2755,2.81,3 x 1.4,3-May,25-Jun,54,160.5,20,0.56,77.8,3796,31-Jul,02-Sep,0.8,130.2,23.0,19102.068,19369.854,19.4,36
Mannhardt-Sunnyside,F1,B2,Ehrenfelser,1986,2500,2.14,3 x 1.4,3-May,25-Jun,57,134.6,29,0.67,82.3,3857,31-Jul,02-Sep,1.00,164.6,21.2,19180.5,23455.5,23.5,0
Mannhardt-Sunnyside,F1,B3,Chenin Blanc,2006,8946,5.04,2.1 x 1.1,3-May,26-Jun,26,211.3,41,0.56,105,2538,31-Jul,2-Sep,1,164.2,50.0,49147.5348,38192.2632,38.2,22.7
Mannhardt-Sunnyside,F1,B4,Pinot Noir,1997,3200,2.71,2.4 x 1.4,6-May,26-Jun,33,99,38,0.64,69.8,2406,30-Jul,02-Sep,1.4,214.6,16.9,14636.16,22661.76,22.7,12.5
