Vineyard ,Field,Block,Variety,Planted,Plants,Acres,Row.Spacing,Budburst,Flowering,Clust.per.Vine,Berries.per.Cluster,Av.BerryWeight.Grams,Av.BunchWeight.Grams,Lag.Phase.G/Vine,Lag.Phase.Date,80%Veraison.Date
,F1,B1,Merlot,1994/97,996,0.91,2.4 x 1.2,28-Apr,25-Jun,19.8,262,0.59,151,2990,4-Aug,
,F1,B1,Cab. Sauvignon,1994,130,0.19,2.4 x 1.2,28-Apr,27-Jun,,,,,,,
,F1,B2,Chardonnay,1996,2213,1.82,2.0 x 1.0,21-Apr,23-Jun,17.3,103,0.37,38,646,22-Jul,
,F1,B3,Optima,1982,4833,4.43,2.7 x 1.3,25-Apr,27-Jun,28.8,158,0.47,77.7,2238,4-Aug,
,F1,B4,Riesling,1982,5536,5.07,2.7 x 1.3,28-Apr,28-Jun,26.7,174,0.55,99.4,2654,4-Aug,
,F1,B5,Pinot Blanc,1997/98,5341,3.38,2.1 x 1.4,24-Apr,23-Jun,28.5,212,0.48,83.9,2391,30-Jul,
,F1,B6,Sauvig. Blanc,1997,2213,1.49,2.1 x 1.4,25-Apr,24-Jun,25.5,152,0.42,64.7,1650,30-Jul,
,F1,B7,Chasselas,1975/83,2114,4.32,3.0 x 2.1,27-Apr,30-Jun,,195,0.90,122.7,,4-Aug,
,F2,B1,Syrah,2010,3911,,2.1 x 1.5,27-May,,,,,,,,
,F2,B2,Merlot,1998,4500,2.79,2.1 x 1.4,27-Apr,23-Jun,27,165,0.51,100.5,2714,29-Jul,
,F2,B3,Chasselas,1975/83,1590,1.92,3.0 x 2.1,27-Apr,27-Jun,,178,0.87,137,,4-Aug,
,,,T-bar,,,,,27-Apr,,,185,0.94,128,,4-Aug,
,F2,B4,Chardonnay,1987,1532,1.42,2.7 x 1.3,,23-Jun,43.8,168,0.64,118,5168,3-Aug,
,F2,B5,Chardonnay,1993,800,0.72,2.4 x 1.2,23-Apr,23-Jun,43.8,168,0.64,118,5168,3-Aug,
,F2,B6,Chenin Blanc,1997,6500,4.04,2.1 x 1.4,25-Apr,27-Jun,18,157,0.51,87.4,1573,29-Jul,
,F2,B7,Merlot,1998,4500,2.70,2.1 x 1.4,27-Apr,25-Jun,18.6,220,0.45,77.3,1438,29-Jul,
,F2,B8,Merlot,1998,1600,0.85,2.1 x 1.4,27-Apr,25-Jun,18.5,207,0.42,59,1091,29-Jul,
,F2,B9,Grafted Merlot,2007,1257,0.78,2.1 x 1.4,27-Apr,25-Jun,13.5,197,0.57,98.5,1330,29-Jul,
,F3,B1,Pinot Noir,2005,2895,1.79,2.1 x 1.1,24-Apr,23-Jun,26,155,0.52,63.5,1651,27-Jul,
,F3,B2,Foch,1965,780,1.09,3.1 x 2.1,20-Apr,13-Jun,72,100,0.47,55.5,3996,26-Jul,23-Aug
,F3,B3,Pinot Noir,1996,5000,2.47,2.0 x 1.0,25-Apr,23-Jun,22.8,172,0.51,81.7,1863,27-Jul,
,F3,B4,Chardonnay,1996,5000,2.57,2.0 x 1.0,21-Apr,23-Jun,22.6,148,0.40,61.4,1387,26-Jul,
,F3,B5,Pinot Noir,1990,1103,0.92,2.4 x 1.3,25-Apr,24-Jun,29.7,173,0.62,104.5,3104,28-Jul,
,F3,B6,Pinot Noir,1987,600,0.55,2.4 x 1.3,,24-Jun,33.8,230,0.59,101,3414,28-Jul,
,F3,B7,Pinot Noir,1987,1160,0.96,2.4 x 1.3,,24-Jun,25.6,186,0.56,99.6,2550,28-Jul,
,F3,B8,Pinot Noir,1975/90,631,0.47,2.4 x 1.3,25-Apr,24-Jun,23,234,0.56,98,2254,28-Jul,
,F4,B1,Grafted Chard,1982,2614,2.35,2.4 x 1.3,21-Apr,23-Jun,45,239,0.67,102.8,4626,28-Jul,
,F4,B2,Pinot Noir,2005,1240,0.90,2.1 x 1.1,24-Apr,23-Jun,27.2,224,0.57,82,2230,27-Jul,
,F4,B3,Pinot Noir,1990,3279,2.68,2.4 x 1.3,25-Apr,23-Jun,34.5,220,0.63,110.5,3812,27-Jul,27-Aug
,F4,B4,Foch,1965/98,1339,0.83,3.0 x 2.1,20-Apr,12-Jun,95,113,0.39,43.2,4104,22-Jul,23-Aug
,F4,B5,Cab Sauvignon,2003,3920,2.36,2.1 x 1.2,27-Apr,24-Jun,18,140,0.46,60,1080,29-Jul,
,F4,B6,Cab Sauvignon,1997,1900,1.17,2.0 x 1.4,26-Apr,23-Jun,17,148,0.46,70.4,1197,29-Jul,
