Vineyard,Field,Block,Variety,Planted,Plants,Acres,Row.Spacing,Budburst,Flowering,Clust.per.Vine,Berries.per.Cluster,Av.BerryWeight.Grams,Av.BunchWeight.Grams,Lag.Phase.G/Vine,Lag.Phase.Date,80%Veraison.Date,Lag.Estimate.t
,F1,B1,Merlot,1994/97,996,0.91,2.4 x 1.2,19-May,1-Jul,9.8,192.3,0.74,142.3,1396,11-Aug,,3.1
,F1,B1,Cab. Sauvignon,1994,130,0.19,2.4 x 1.2,19-May,2-Jul,,,,,,,,0.5
,F1,B2,Chardonnay,1996,2213,1.82,2.0 x 1.0,10-May,30-Jun,14.1,92.4,0.83,76.2,1078,29-Jul,,2.5
,F1,B3,Optima,1982,4833,4.43,2.7 x 1.3,19-May,1-Jul,14.1,104.8,0.67,70.2,987,10-Aug,,10.5
,F1,B4,Riesling,1982,5536,5.07,2.7 x 1.3,19-May,1-Jul,15.6,128.7,0.76,97.8,1523,10-Aug,,18.6
,F1,B5,Pinot Blanc,1997/98,5341,3.38,2.1 x 1.4,15-May,1-Jul,10.2,138.2,0.69,95.3,969,10-Aug,,9.7
,F1,B6,Sauvig. Blanc,1997,2213,1.49,2.1 x 1.4,14-May,1-Jul,9.5,100.8,0.65,65,616,10-Aug,,2.6
,F1,B7,Chasselas,1975/83,2114,4.32,3.0 x 2.1,16-May,2-Jul,32.7,116.3,0.72,83.7,2741,8-Aug,,28
,F2,B1,Syrah,2010,3911,,2.1 x 1.5,3-May,29-Jun,-,-,-,-,-,-,,-
,F2,B2,Merlot,1998,4500,2.79,2.1 x 1.4,17-May,1-Jul,13.4,129.4,0.72,92.5,1242,11-Aug,,11
,F2,B3,Chasselas,1975/83,1590,1.92,3.0 x 2.1,16-May,2-Jul,23.2,103.7,0.92,94.9,2202,9-Aug,,14
,,,T-bar,,,,,,2-Jul,32.7,83.1,0.86,71.1,2324,9-Aug,,
,F2,B4,Chardonnay,1987,1532,1.42,2.7 x 1.3,12-May,1-Jul,20.3,129,0.78,100,2032,8-Aug,,6.9
,F2,B5,Chardonnay,1993,800,0.72,2.4 x 1.2,12-May,1-Jul,17.4,131.6,0.86,112.5,1952,8-Aug,,3.5
,F2,B6,Chenin Blanc,1997,6500,4.04,2.1 x 1.4,9-May,1-Jul,12.6,139.6,0.70,97.7,1228,9-Aug,,22
,F2,B7,Merlot,1998,4500,2.70,2.1 x 1.4,17-May,29-Jun,11.8,163.2,0.48,77.5,911,11-Aug,,9.1
,F2,B8,Merlot,1998,1600,0.85,2.1 x 1.4,,29-Jun,12.7,107.4,0.61,65,824,11-Aug,,2.9
,F2,B9,Grafted Merlot,2007,1257,0.78,2.1 x 1.4,14-May,29-Jun,11.6,166.7,0.84,140,1624,11-Aug,,4.5
,F3,B1,Pinot Noir,2005,2895,1.79,2.1 x 1.1,11-May,29-Jun,15,123.9,0.71,88,1320,2-Aug,,5.5
,F3,B2,Foch,1965,780,1.09,3.1 x 2.1,6-May,22-Jun,41,75.3,0.68,51.2,2102,26-Jul,24-Aug,3.6
,F3,B3,Pinot Noir,1996,5000,2.47,2.0 x 1.0,15-May,1-Jul,14.1,128.2,0.70,89.1,1254,2-Aug,25-Aug,10
,F3,B4,Chardonnay,1996,5000,2.57,2.0 x 1.0,10-May,30-Jun,16.6,142.9,0.65,92.9,1543,29-Jul,,14
,F3,B5,Pinot Noir,1990,1103,0.92,2.4 x 1.3,15-May,1-Jul,14.4,140.9,0.75,105,1515,2-Aug,,3
,F3,B6,Pinot Noir,1987,600,0.55,2.4 x 1.3,,1-Jul,15.6,120.3,0.67,80,1244,2-Aug,,1.7
,F3,B7,Pinot Noir,1987,1160,0.96,2.4 x 1.3,,1-Jul,12.2,120.3,0.67,80,978,2-Aug,,2.5
,F3,B8,Pinot Noir,1975/90,631,0.47,2.4 x 1.3,15-May,1-Jul,15.9,137.8,0.65,88.9,1412,2-Aug,,2
,F4,B1,Grafted Chard,1982,2614,2.35,2.4 x 1.3,10-May,1-Jul,18.2,154.8,0.62,96,1751,29-Jul,,8
,F4,B2,Pinot Noir,2005,1240,0.90,2.1 x 1.1,9-May,29-Jun,13.8,125,0.74,92.5,1277,3-Aug,,3.5
,F4,B3,Pinot Noir,1990,3279,2.68,2.4 x 1.3,15-May,1-Jul,13.8,106.5,0.85,90,1238,3-Aug,25-Aug,6.3
,F4,B4,Foch,1965/98,1339,0.83,3.0 x 2.1,6-May,22-Jun,39.6,92.6,0.63,58.3,2413,26-Jul,24-Aug,5.5
,F4,B5,Cab Sauvignon,2003,3920,2.36,2.1 x 1.2,19-May,2-Jul,12,133,0.66,88,1041,12-Aug,,8
,F4,B6,Cab Sauvignon,1997,1900,1.17,2.0 x 1.4,19-May,2-Jul,11.3,155.3,0.66,102.5,1153,12-Aug,,4.9
,F4,B7,Pinot Noir,2005,965,0.53,2.1 x 1.1,9-May,29-Jun,12.9,162.1,0.73,117.5,1516,2-Aug,,2.5
,F4,B8,Pinot Noir,2005,1990,1.25,2.1 x 1.1,,29-Jun,15.8,153,0.67,102.5,1614,2-Aug,,6
,F4,B9,Pinot Noir,2005,2600,1.63,2.1 x 1.1,9-May,29-Jun,17.3,142.3,0.62,87.5,1514,2-Aug,,5.5
,F4,B10,Pinot Noir,1990,2093,1.72,2.4 x 1.3,13-May,1-Jul,14.8,122.7,0.82,100,1480,3-Aug,,6
,F4,B11,Pinot Noir,2003,2600,1.57,2.1 x 1.1,13-May,1-Jul,11,106,0.73,78,823,3-Aug,,5
,F5,B1,Chardonnay,1997,3000,1.80,2.0 x 1.4,12-May,30-Jun,14.5,128.2,0.56,71.8,1040,29-Jul,,8.5
,F5,B2,Chardonnay,1997,3000,1.92,2.0 x 1.4,,30-Jun,12.5,142.3,0.58,81.8,1026,29-Jul,,8.5
,F5,B3,Chardonnay,1997,3000,1.43,2.0 x 1.4,,30-Jun,12.9,145.8,0.67,97,1255,2-Aug,,8.3
,F5,B4,Chardonnay,1997,1000,1.03,2.0 x 1.4,12-May,30-Jun,16.2,127.8,0.66,84.4,1363,2-Aug,,3
,F5,B5,Pinot Noir,1997,2450,1.01,2.0 x 1.1,13-May,1-Jul,12.9,136.1,0.74,100,1285,3-Aug,,4
,F5,B6,Pinot Noir,1997,3200,1.50,2.0 x 1.1,,1-Jul,13.8,131.8,0.74,97.5,1341,3-Aug,,5.5
,F5,B7,Cab Sauvignon,1997,1716,0.95,2.0 x 1.4,19-May,2-Jul,14.6,159.7,0.60,95,1389,12-Aug,,4.5
,F5,B8,Gewurztraminer,1994,632,0.52,2.4 x 1.3,10-May,1-Jul,15.1,104.6,0.77,80,1210,11-Aug,,7
,F5,B9,Gewurztraminer,1989,1526,1.37,2.4 x 1.3,,1-Jul,,,,,,,,
,F6,B1,Merlot,2003,4100,2.20,2.1 x 1.1,17--May,1-Jul,12.6,105.3,0.76,80,1010,11-Aug,,8.1
,F6,B2,Merlot,2003,4163,2.20,2.1 x 1.1,,1-Jul,13.5,95.9,0.73,70,945,11-Aug,,7.7
,Osy,,Old Foch,1978,4600,9.80,3 x 1.6,3-May,15-Jun,,,,,,,,50
,,,Young Foch,2006,2926,2.96,3 x 1.4,29-Apr,13-Jun,,,,,,,,
,,,Chenin Blanc,2006,4061,1.65,2.1 x 1.1,6-May,23-Jun,,,,,,,,12
,,,Syrah,2006,1748,1.60,2.1 x 1.6,9-May,?,,,,,,,,0
,PAT,,Patricia,2006,15885,9.20,2.1 x 1.1,17-May,2-Jul,,,,,,,,12
,MRT,,Riesling,2008,22995,13.96,2.1 x 1.1,15-May,2-Jul,21.2,122.0,0.80,97,2060,18-Aug,,20
,,,Gewurztraminer,2008,,,,,,14.2,107.3,0.87,93.3,1322,18-Aug,,20
,,,Total,,170151,119.74,,,,,,,,,,,
Mannhardt-Sunnyside,F1,B1,Ehrenfelser,1986,2755,2.81,3 x 1.4,16-May,1-Jul,19.4,125,0.64,80,1552,9-Aug,,20
Mannhardt-Sunnyside,F1,B2,Ehrenfelser,1986,2500,2.14,3 x 1.4,,1-Jul,19.3,147.7,0.66,96.8,1870,9-Aug,,
Mannhardt-Sunnyside,F1,B3,Chenin Blanc,2006,8946,5.04,2.1 x 1.1,12-May,1-Jul,11.6,170.8,0.76,129.8,1502,9-Aug,,22
Mannhardt-Sunnyside,F1,B4,Pinot Noir,1997,3200,2.71,2.4 x 1.4,14-May,1-Jul,21,172.3,0.84,143.9,3029,8-Aug,,10
Mannhardt-Sunnyside,F1,B5,Pinot Noir,2006,1838,1.04,2.1 x 1.1,12-May,1-Jul,16.3,126.5,0.85,107.5,1755,8-Aug,,3.5
Mannhardt-Sunnyside,F2,B1,Riesling,2006,2331,1.23,2.1 x 1.1,15-May,1-Jul,16.5,122.1,0.65,78.7,1296,10-Aug,,4
