Vineyard ,Field,Block,Variety,Planted,Plants,Acres,Row.Spacing,Budburst,Flowering,Clust.per.Vine,Berries.per.Cluster,Av.Berry.Weight.Grams,Av.Bunch.Weight.Grams,Lag.Phase.G/Vine,Lag.Phase.Date,80%Veraison.Date,Lag.estimate.t
,F1,B1,Merlot,1994/97,996,0.91,2.4 x 1.2,10-May,1-Jul,17.7,154,0.77,118.2,2092,9-Aug,,4.6
,F1,B1,Cab. Sauvignon,1994,130,0.19,2.4 x 1.2,10-May,1-Jul,,,,,,,,
,F1,B2,Chardonnay,1996,2213,1.82,2.0 x 1.0,30-Apr,27-Jun,15.8,97,0.65,62.5,988,3-Aug,,4.8
,F1,B3,Optima,1982,4833,4.43,2.7 x 1.3,5-May,30-Jun,22.1,142,0.62,88.3,1951,8-Aug,,20.8
,F1,B4,Riesling,1982,5536,5.07,2.7 x 1.3,7-May,29-Jun,22.2,131,0.68,89.4,1985,8-Aug,,24.2
,F1,B5,Pinot Blanc,1997/98,5341,3.38,2.1 x 1.4,1-May,29-Jun,14.3,167,0.60,100,1430,8-Aug,,14.3
,F1,B6,Sauvig. Blanc,1997,2213,1.49,2.1 x 1.4,1-May,29-Jun,16.3,142,0.53,75,1223,8-Aug,,5.1
,F1,B7,Chasselas,1975/83,2114,4.32,3.0 x 2.1,4-May,1-Jul,57.5,137,0.79,108.3,6227,8-Aug,,29.0
,F2,B1,Syrah,2010,3911,,2.1 x 1.5,28-Apr,26-Jun,16.4,155,0.47,72.7,1192,9-Aug,,10.3
,F2,B2,Merlot,1998,4500,2.79,2.1 x 1.4,8-May,27-Jun,18.7,155,0.83,128.6,2405,9-Aug,,23.9
,F2,B3,Chasselas,1975/83,1590,1.92,3.0 x 2.1,4-May,1-Jul,23.1,132,0.95,125,2888,8-Aug,,10.1
,,,T-bar,,,,,,,47,87,0.92,80,3760,8-Aug,,13.2
,F2,B4,Chardonnay,1987,1532,1.42,2.7 x 1.3,1-May,29-Jun,28.8,135,0.68,92,2650,3-Aug,,8.9
,F2,B5,Chardonnay,1993,800,0.72,2.4 x 1.2,1-May,29-Jun,28.8,135,0.68,92,2650,3-Aug,,4.7
,F2,B6,Chenin Blanc,1997,6500,4.04,2.1 x 1.4,3-May,30-Jun,14.5,180,0.67,120.8,1752,8-Aug,,25.1
,F2,B7,Merlot,1998,4500,2.70,2.1 x 1.4,9-May,30-Jun,18.4,127,0.63,80,1472,9-Aug,,14.6
,F2,B8,Merlot,1998,1600,0.85,2.1 x 1.4,9-May,30_Jun,17.1,85,0.59,50,855,9-Aug,,3.0
,F2,B9,Grafted Merlot,2007,1257,0.78,2.1 x 1.4,8-May,27-Jun,20.9,162,0.66,107.1,2238,9-Aug,,6.2
,F3,B1,Pinot Noir,2005,2895,1.79,2.1 x 1.1,1-May,26-Jun,17.9,106,0.49,52,931,2-Aug,,5.9
,F3,B2,Foch,1965,780,1.09,3.1 x 2.1,29-Apr,22-Jun,58.6,124,0.42,52.2,3059,26-Jul,22-Aug,5.3
,F3,B3,Pinot Noir,1996,5000,2.47,2.0 x 1.0,5-May,28-Jun,17,98,0.53,51.6,877,2-Aug,3-Sep,9.7
,F3,B4,Chardonnay,1996,5000,2.57,2.0 x 1.0,1-May,25-Jun,15.6,118,0.49,57.7,900,2-Aug,,9.9
,F3,B5,Pinot Noir,1990,1103,0.92,2.4 x 1.3,5-May,27-Jun,23.2,136,0.60,80.8,1875,2-Aug,,4.6
,F3,B6,Pinot Noir,1987,600,0.55,2.4 x 1.3,5-May,27-Jun,24.1,114,0.55,61.9,1492,2-Aug,,2.0
,F3,B7,Pinot Noir,1987,1160,0.96,2.4 x 1.3,5-May,27-Jun,20.7,111,0.54,59.3,1228,2-Aug,,3.1
,F3,B8,Pinot Noir,1975/90,631,0.47,2.4 x 1.3,5-May,27-Jun,22.1,118,0.51,60,1326,2-Aug,,1.8
,F4,B1,Grafted Chard,1982,2614,2.35,2.4 x 1.3,30-Apr,27-Jun,25,142,0.58,81.5,2038,3-Aug,,7.0
,F4,B2,Pinot Noir,2005,1240,0.90,2.1 x 1.1,3-May,27-Jun,16.3,110,0.55,60,978,3-Aug,31-Aug,2.7
,F4,B3,Pinot Noir,1990,3279,2.68,2.4 x 1.3,4-May,27-Jun,23,104,0.64,66.7,1534,3-Aug,27-Aug,7.8
,F4,B4,Foch,1965/98,1339,0.83,3.0 x 2.1,29-Apr,22-Jun,42.7,104,0.42,43.5,1857,26-Jul,22-Aug,4.4
,F4,B5,Cab Sauvignon,2003,3920,2.36,2.1 x 1.2,10-May,30-Jun,16,161,0.56,90,1410,9-Aug,,12.2
,F4,B6,Cab Sauvignon,1997,1900,1.17,2.0 x 1.4,8-May,29-Jun,17.7,142,0.60,85,1505,9-Aug,,6.3
,F4,B7,Pinot Noir,2005,965,0.53,2.1 x 1.1,3-May,27-Jun,17.9,133,0.76,100.7,1803,2-Aug,31-Aug,3.8
,F4,B8,Pinot Noir,2005,1990,1.25,2.1 x 1.1,3-May,27-Jun,17.9,133,0.76,100.7,1803,2-Aug,,7.9
,F4,B9,Pinot Noir,2005,2600,1.63,2.1 x 1.1,3-May,27-Jun,17.9,133,0.76,100.7,1803,2-Aug,,10.3
,F4,B10,Pinot Noir,1990,2093,1.72,2.4 x 1.3,4-May,27-Jun,18.7,132,0.81,106.8,1997,2-Aug,26-Aug,9.2
