Date ,Lot,Brix (Refractometer) ,Brix ,pH,TA,Seed Colour,YAN
29-Aug-17,17SBF1B6,,17.5,2.83,12.5,,
29-Aug-17,17PNF3B6/8,,18,2.78,14.5,,
29-Aug-17,17PNF3B5/7,,18,2.81,14.4,,
29-Aug-17,17PNF4B3,,17.5,2.81,12.6,,
29-Aug-17,17FOF4B4/F3B2,,24.5,3.09,11.1,,
30-Aug-17,17CHWP B1,15.2,16.3,2.78,14.9,,
30-Aug-17,17CHWP B3,15.2,16.2,2.75,15.2,,
30-Aug-17,17PNWP B5,15.6,18.4,2.82,11.5,,
01-Sep-17,17CBOSO B2,16.8,17.2,2.71,16.7,,
01-Sep-17,17CBOSO B4,17.5,17.5,2.73,17.8,,
01-Sep-17,17SYOSO B3,18.2,15.1,2.78,16.2,,
01-Sep-17,17FOOSO B5,23.4,24.1,3.1,10.9,,
01-Sep-17,17FOOSO B6/7,21.6,21.6,3.11,11.8,,
05-Sep-17,17SBF1B6,20.2,20.5,3.02,8.5,,
05-Sep-17,17PNF4B3,21.6,21.9,3,10.1,,
05-Sep-17,17PNF3B6/8,19.4,19.5,2.95,11.5,,
05-Sep-17,17PNF3B5/7,19.8,20,2.96,11.6,,
05-Sep-17,17FOF4B4/F3B2,25.8,26.3,3.16,10.5,48%,
05-Sep-17,17CHWP B1,18.2,18.6,2.86,12.9,36%,
05-Sep-17,17CHWP B3,16.8,16.9,2.65,11.4,32%,
06-Sep-17,17PNF3B1,,20.3,2.87,10.1,36.8%,
06-Sep-17,17PNF3B3,,20.8,2.91,10.3,38%,
06-Sep-17,17CHF3B4,,19.9,3.01,11.8,38%,
06-Sep-17,17CHF4B1,,19.4,2.84,10.4,49%,
06-Sep-17,17CABFV B3,,15.2,3.09,7.7,,
06-Sep-17,17CABFV B1,,16.7,3.01,8.4,,
06-Sep-17,17CHBFV B4,,18.5,2.89,15.4,,
06-Sep-17,17CHBFV B2,,16.9,3.02,16.6,,
06-Sep-17,17CH 7MTN ,,20,3.02,14.8,,
06-Sep-17,17CHMUSQ 7MTN ,,19.6,3.1,12.2,,
06-Sep-17,17PN 7MTN,,18.8,3.13,10.9,,
06-Sep-17,17CHF1B2,,22.2,2.93,12.7,,
07-Sep-17,17CHMAN F8B4,,17.6,2.99,15,,181.58
07-Sep-17,17CHF5LOWER,,20.2,2.84,11.5,,97
07-Sep-17,17CBF2B6,,13.6,2.65,12,,77.94
07-Sep-17,17CBMAN F7B3,,14.8,2.65,14.9,,
07-Sep-17,17CHF5UPPER,,20.6,2.91,11.9,,
07-Sep-17,17CBOSO F1B2,,17.9,2.7,14.3,31.40%,
07-Sep-17,17FOOSO TBAR,,23.4,3.04,10.7,46.60%,
07-Sep-17,17FOOSO SPRAWL ,,24.1,3.22,12.6,,
07-Sep-17,17CHPEL A9-96,,16.4,2.9,9.2,35.20%,
07-Sep-17,17CHPEL B4-76 ,,17.6,2.98,9.9,,
12-Sep-17,17CHF5LOWER,,20.8,2.93,9.8,33.90%,
12-Sep-17,17CHF5UPPER,,20.9,2.95,11.5,43.20%,
12-Sep-17,17GTF5B8/9,,21.6,3.01,9.6,44.10%,
12-Sep-17,17CHF3B4,,22.5,3.09,10.3,37.30%,
12-Sep-17,17CHF4B1,,21.4,2.92,9.6,39.50%,
13-Sep-17,17PNF3B6/8,,20.5,3.1,9,38.90%,
13-Sep-17,17PNF3B5/7,,19.2,3.01,9.9,53.18%,
13-Sep-17,17PNF3B3,,21.8,3.19,7.8,,
13-Sep-17,17PNF3B1,,21.8,3.2,8.5,,
13-Sep-17,17PNF4B2LOWER,,20.6,3.21,7.6,55.40%,
13-Sep-17,17PNF4B11,,22.5,3.23,8.1,,
13-Sep-17,17PNF4B2UPPER,,22.5,3.18,8.5,48.90%,
13-Sep-17,17PNF4B3,,21.8,3.14,8.6,48%,
13-Sep-17,17PNF4B10,,19.8,3.21,8.4,,
13-Sep-17,17RIMAN F9B5,,16.9,2.9,13.8,,
13-Sep-17,17RIMAN F8B1,,17.5,2.91,13.3,,
13-Sep-17,17RIMAN F9B1,,18.2,2.92,12.6,,
13-Sep-17,17RIMAN F8B2 ,,17.8,2.92,13.1,,
13-Sep-17,17RIMAN F9B2,,19.4,2.86,11.9,,
13-Sep-17,17RIMAN F8B6,,18.2,2.9,14.9,,
