Location,Task Summary,Work Orders,Asset Number,Asset Identifier,Task Date,Recorded By,Stage,Date of Observation,Other observations,Proof,Asset Class,Asset Category,Asset Type,Project Identifier,Active,Active Date
FALSE,TRUE,FALSE,33841323548,"Pfliger, Brett • 3218 • 0",8/21/2019 12:22:29 PM,brett.sfevine,3,8/21/2019,,00000000-0000-0000-0000-000000000000,Admin / Staff,Staff,Employees Hourly / Salary,,TRUE,7/2/2019
TRUE,TRUE,FALSE,50020190030,8-7 Mannhardt,8/21/2019 12:00:47 PM,brett.sfevine,3,8/21/2019,,3951e0e5-902c-4e08-bb14-cf9be7b36a5b,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190031,8-8 Mannhardt,8/21/2019 11:51:21 AM,brett.sfevine,3,8/21/2019,,899ad091-4887-4ccd-a3f2-3a98e1789599,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190032,8-9 Mannhardt,8/21/2019 11:46:17 AM,brett.sfevine,3,8/21/2019,,ea9c898c-954d-4370-9dde-869a0165a5c6,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190033,8-10 Mannhardt,8/21/2019 11:41:56 AM,brett.sfevine,3,8/21/2019,,0f413aa2-f4b3-48d5-bd7f-1f75df81dcf5,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190023,7-5 Mannhardt,8/21/2019 11:36:45 AM,brett.sfevine,3,8/21/2019,,26e7ecac-f60f-4e9c-8729-d6a2e3d0e34d,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190022,7-4 Mannhardt,8/21/2019 11:32:10 AM,brett.sfevine,3,8/21/2019,,b3241ea2-0286-4c56-beeb-fd17f0d4865c,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190095,5-5 Estate Upper,8/21/2019 10:53:15 AM,brett.sfevine,3,8/21/2019,,cb8d8fcc-82ae-4056-b05e-dc5da92ba078,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190096,5-6 Estate Upper,8/21/2019 10:42:32 AM,brett.sfevine,3,8/21/2019,,a2a5b8bc-ff89-4c58-b3ab-38e7a07b0375,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190101,6-2 Estate,8/21/2019 10:26:32 AM,brett.sfevine,3,8/21/2019,,251b2cfe-a1e8-4edb-90a0-eef8c1f5388e,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190100,6-1 Estate,8/21/2019 10:19:26 AM,brett.sfevine,3,8/21/2019,,d62ca0ed-e4c9-45de-b36a-d61ba6dd8882,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190081,4-11 Estate,8/21/2019 10:11:39 AM,brett.sfevine,3,8/21/2019,,44f8e4ae-6e02-47e3-8990-e847e744e283,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190080,4-10 Estate,8/21/2019 10:02:15 AM,brett.sfevine,3,8/21/2019,,1727df8b-2594-4d86-80ad-da10328f90fb,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190089,4-9 Estate,8/21/2019 9:55:05 AM,brett.sfevine,3,8/21/2019,,8dbf2ca5-4ddf-4bdc-ac63-ef0ac23706c7,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190088,4-8 Estate,8/21/2019 9:49:28 AM,brett.sfevine,3,8/21/2019,,5a968992-e12d-4ee6-9eb4-024d1f03fbc2,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190077,3-7 Estate,8/21/2019 9:44:12 AM,brett.sfevine,3,8/21/2019,,a743ae77-3079-40cb-b009-2cd9af9e3b20,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190085,4-5 Estate,8/21/2019 9:37:37 AM,brett.sfevine,3,8/21/2019,,eabd851f-a792-47fd-a200-76d5a23ae65c,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190073,3-3 Estate,8/21/2019 9:33:04 AM,brett.sfevine,3,8/21/2019,,05647a20-2168-45d2-9e0b-b92de9ef51b3,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190087,4-7 Estate,8/21/2019 8:51:19 AM,brett.sfevine,3,8/21/2019,,2ab1da96-7fe5-4280-bfcc-76bb9949d75a,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190086,4-6 Estate,8/21/2019 8:42:59 AM,brett.sfevine,3,8/21/2019,,10bb1bd4-da86-4f70-9be8-ee3d0778d7d7,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190084,4-4 Estate,8/21/2019 8:26:16 AM,brett.sfevine,3,8/21/2019,,51fbffe5-5ef6-4b16-89d2-118b1dcfa488,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190083,4-3 Estate,8/21/2019 8:16:26 AM,brett.sfevine,3,8/21/2019,,dbfbc5e4-b3f6-44be-9f3e-4be962bc9b30,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190082,4-2 Estate,8/21/2019 8:03:12 AM,brett.sfevine,3,8/21/2019,,17a79f51-a919-4270-a34f-58fe53f932db,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190078,3-8 Estate,8/21/2019 7:52:58 AM,brett.sfevine,3,8/21/2019,,8a53a732-d5df-4dc4-9018-9f2d489235f1,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190075,3-5 Estate,8/21/2019 7:34:43 AM,brett.sfevine,3,8/21/2019,,ef9a7779-39a0-4f08-be2b-13c067a01d9e,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190072,3-2 Estate,8/21/2019 7:13:55 AM,brett.sfevine,3,8/21/2019,,019b07c5-8700-4bf4-b8f8-2913912cfecf,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
TRUE,TRUE,FALSE,50020190071,3-1 Estate,8/21/2019 7:01:24 AM,brett.sfevine,3,8/21/2019,,8ce8ace5-14d8-4f6b-b84c-a247072a0aaf,Follow The Wine,01 Field Locations,Quails Gate Blocks,,TRUE,6/22/2017
FALSE,TRUE,FALSE,94041807682,"Athwal, Steven • 3185 • 0",8/15/2019 1:49:13 PM,sathwal.sfevine,3,8/14/2019,80% F3 B3 PN,4a932d7a-8e1b-448a-bbdf-2efa0e0b2a63,Admin / Staff,Staff,Employees Hourly / Salary,,TRUE,6/5/2019
