vineyard,date,block,variety,clone,rootstock,year,acres
BlueFox,May-14,1,Chasselas,UCD,Self,2012,4.63
BlueFox,May-14,2,Chardonnay,37/95,101-14,2012,0.85
BlueFox,May-14,3,Chasselas,UCD,3309,2014,2.94
BlueFox,May-14,4,Chardonnay,15 (Prosser,SO4,2014,0.28
Mannhardt,Jun-16,7-1,Ehrenfelser,6,SO4,1984,2.81
Mannhardt,Jun-16,7-2,Ehrenfelser,6,SO4,1984,2.14
Mannhardt,Jun-16,7-3,Chenin Blanc,220,SO4/762,2006,5.04
Mannhardt,Jun-16,7-4,Pinot Noir,667,SO4,1998,2.71
Mannhardt,Jun-16,7-5,Pinot Noir,828,SO4/102,2006,1.04
Mannhardt,Jun-16,8-1,Riesling,49,SO4/5,2006,1.23
Mannhardt,Jun-16,8-2,Riesling,49,3309/144,2006,1.58
Mannhardt,Jun-16,8-3,Pinot Blanc,55,SO4/762,2009,1.9
Mannhardt,Jun-16,8-4,Chardonnay,0,101-14/3309,2013,1.11
Mannhardt,Jun-16,8-5,Gewurztraminer,47,3309/144,2006,0.58
Mannhardt,Jun-16,8-6,Riesling,49,3309/144,2006,0.21
Mannhardt,Jun-16,8-7,Pinot Noir,667,SO4/762,2006,1.31
Mannhardt,Jun-16,8-8,Pinot Noir,777,3309/144,2006,1.22
Mannhardt,Jun-16,8-9,Pinot Noir,777,SO4/102,2006,0.45
Mannhardt,Jun-16,8-10,Pinot Noir,828,SO4/762,2006,0.32
Mannhardt,Jun-16,9-1,Riesling,49,3309/144,2006,0.68
Mannhardt,Jun-16,9-2,Riesling,96,41b.MGT/153,2006,0.74
Mannhardt,Jun-16,9-3,Chasselas,76,SO4/102,2006,3.29
Mannhardt,Jun-16,9-4,Ehrenfelser,6,5C,1977,1.13
Mannhardt,Jun-16,9-5,Riesling,239,5C,1977,1.13
Martyna,May-14,1,Riesling,49,SO4,2008,1.12
Martyna,May-14,2,Riesling,49,SO4,2008,3.02
Martyna,May-14,3,Gewurztraminer,643,SO4,2008,4.84
Martyna,May-14,4,Riesling,49,SO4,2008,2.01
Martyna,May-14,5,Gewurztraminer,643,SO4,2008,2.5
Osoyoos,Feb-11,1,Marechal Foch,NY,Self,2006,0.2
Osoyoos,Feb-11,2,Syrah,174,Rip.GI.M.,2006,1.6
Osoyoos,Feb-11,3,Chenin Blanc,220,SO4/762,2006,1.65
Osoyoos,Feb-11,4,Marechal Foch,NY,Self,2006,2.96
Osoyoos,Feb-11,5,Marechal Foch,NY,Self,1978,9.8
Osoyoos,Feb-11,6,Marechal Foch,NY,Self,2007,0.49
QuailsGateEstate,Apr-13,1-1a,Merlot,181,SO4/5,1994,0.17
QuailsGateEstate,Apr-13,1-1b,Cabernet Sauvignon,191,SO4/5,1994,0.07
QuailsGateEstate,Apr-13,1-1c,Merlot,181,SO4/5,1997,0.21
QuailsGateEstate,Apr-13,1-1d,Merlot,347,SO4/5,1997,0.28
QuailsGateEstate,Apr-13,1-2,Chardonnay,548,SO4/102,1996,0.42
QuailsGateEstate,Apr-13,1-2b,Chardonnay,37/95,101-14,2013,0.33
QuailsGateEstate,Apr-13,1-3,Optima,7114,SO4,1982,4.43
QuailsGateEstate,Apr-13,1-4,Riesling,21B,SO4,1982,5.07
QuailsGateEstate,Apr-13,1-5,Pinot Blanc,55,3309/144,1997,3.55
QuailsGateEstate,Apr-13,1-6,Sauvignon Blanc,530,3309/144,1997,1.49
QuailsGateEstate,Apr-13,1-7,Chasselas,UCD,Self,1975,4.32
