Business Unit,Vineyard,Block,Variety,Pheno Stage,Date
Oliver North,MH01,F 01CFF (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,11-04-19
Oliver North,SF16,Ga 16CFGa,Cabernet Franc,3. Woolly Bud,11-04-21
Oliver North,SF16,Gb 16CFGb,Cabernet Franc,3. Woolly Bud,11-04-21
Oliver North,SF10,AB 10VIAB,Viognier,3. Woolly Bud,11-04-21
Oliver North,SF10,R 10PGR (Retired Mar. 16  2016),Pinot Gris,3. Woolly Bud,11-04-25
Oliver North,SF10,Y 10SZY,Shiraz,3. Woolly Bud,11-04-25
Oliver North,SF10,W 10PBW,Pinot Blanc,3. Woolly Bud,11-04-25
Oliver North,SF16,Gb 16CFGb,Cabernet Franc,3. Woolly Bud,11-04-25
Oliver North,SF10,Q 10CHQ (Retired Apr. 1St  2015),Chardonnay,3. Woolly Bud,11-04-25
Oliver North,SF10,O 10SBO,Sauvignon Blanc,3. Woolly Bud,11-04-25
Oliver North,SF10,L 10SZL (Retired Apr 2  2013),Syrah,3. Woolly Bud,11-04-25
Oliver North,SF10,X 10PBX,Pinot Blanc,3. Woolly Bud,11-04-25
Oliver North,SF10,N 10CAN (Retired Mar.16  2016),Cabernet Sauvignon,3. Woolly Bud,11-04-25
Oliver North,SF10,V 10PGV,Pinot Gris,3. Woolly Bud,11-04-25
Oliver North,SF16,CA 16SBCA,Sauvignon Blanc,3. Woolly Bud,11-04-26
Oliver North,SF16,K 16SZK (Retired Apr. 1St  2015),Shiraz,3. Woolly Bud,11-04-26
Oliver North,SF16,CB 16SBCB,Sauvignon Blanc,3. Woolly Bud,11-04-26
Oliver North,SF16,Db 16RSDb,Riesling,3. Woolly Bud,11-04-26
Oliver North,SF16,CC 16SBCC,Sauvignon Blanc,3. Woolly Bud,11-04-26
Oliver North,SF16,Da 16RSDa,Riesling,3. Woolly Bud,11-04-26
Oliver North,SF16,CD 16SBCD,Sauvignon Blanc,3. Woolly Bud,11-04-26
Oliver North,SF16,L 16SZL,Shiraz,3. Woolly Bud,11-04-26
Oliver North,SF16,CE 16SBCE,Sauvignon Blanc,3. Woolly Bud,11-04-26
Oliver North,SF16,F 16SMF,Semillon,3. Woolly Bud,11-04-26
Oliver North,SF16,E 16SME,Semillon,3. Woolly Bud,11-04-26
Oliver North,SF16,Df 16RSDf,Riesling,3. Woolly Bud,11-04-26
Oliver North,SF16,H 16MEH,Merlot,3. Woolly Bud,11-04-26
Oliver North,SF16,A 16MUA,Muscat Ottonel,3. Woolly Bud,11-04-26
Oliver North,SF16,De 16RSDe,Riesling,3. Woolly Bud,11-04-26
Oliver North,SF16,Dd 16RSDd,Riesling,3. Woolly Bud,11-04-26
Oliver North,SF16,Dc 16RSDc,Riesling,3. Woolly Bud,11-04-26
Oliver North,SF10,Q 10CHQ (Retired Apr. 1St  2015),Chardonnay,3. Woolly Bud,11-04-29
Oliver North,SF10,A 10CHA (Retired Apr. 1St  2015),Chardonnay,3. Woolly Bud,11-04-29
Oliver North,SF10,L 10SZL (Retired Apr 2  2013),Syrah,3. Woolly Bud,11-04-29
Oliver North,SF10,X 10PBX,Pinot Blanc,3. Woolly Bud,11-05-02
Oliver North,SF10,A 10CHA (Retired Apr. 1St  2015),Chardonnay,3. Woolly Bud,11-05-02
Oliver North,SF16,H 16MEH,Merlot,3. Woolly Bud,11-05-02
Oliver North,SF10,V 10PGV,Pinot Gris,3. Woolly Bud,11-05-02
Oliver North,SF10,W 10PBW,Pinot Blanc,3. Woolly Bud,11-05-02
Oliver North,SF16,E 16SME,Semillon,3. Woolly Bud,11-05-02
Oliver North,SF16,Ga 16CFGa,Cabernet Franc,3. Woolly Bud,11-05-02
Oliver North,SF10,R 10PGR (Retired Mar. 16  2016),Pinot Gris,3. Woolly Bud,11-05-02
Oliver North,SF16,I 16SMI,Semillon,3. Woolly Bud,11-05-02
Oliver North,SF16,Gb 16CFGb,Cabernet Franc,3. Woolly Bud,11-05-02
Oliver North,SF16,B 16SBB,Sauvignon Blanc,3. Woolly Bud,11-05-02
Oliver North,SF16,A 16MUA,Muscat Ottonel,3. Woolly Bud,11-05-02
Oliver North,SF10,Y 10SZY,Shiraz,3. Woolly Bud,11-05-02
Oliver North,SF12,Od 12PNOd,Pinot Noir,3. Woolly Bud,11-05-03
Oliver North,SF12,Oc 12PNOc,Pinot Noir,3. Woolly Bud,11-05-03
Oliver North,SF12,Oa 12PNOa,Pinot Noir,3. Woolly Bud,11-05-03
Oliver North,SF12,Ob 12PNOb,Pinot Noir,3. Woolly Bud,11-05-03
