sample.date,sampler,growblk,variety,brix,ta,ph,avg. berry wt.
04-08-16,DM,*02SBN,SBL,16.8,13.78,3.03,
04-08-16,DM,*02SBN,SBL,17.4,13.3,3.07,
04-08-16,DM,*02SBB,SBL,17.4,10.1,3.23,
04-08-16,DM,*02SBB,SBL,16.9,11.8,3.09,
04-08-16,DM,*02CHD,CHD,17,10.2,3.18,
04-08-18,DM,*11SBU,SBL,14.4,11.5,3.21,
04-08-18,DM,*11CHA,CHD,16.2,10.1,3.26,
04-08-18,DM,*09PGB,PGR,16.7,9.4,3.25,
04-08-18,DM,*04PNB,PNN,18.7,9.2,3.25,
04-08-18,DM,*03PBD,PBL,15.4,12.6,3.04,
04-08-18,DM,*03PBC,PBL,14.4,12.4,3.05,
04-08-18,DM,*01PNC,PNN,16.2,9.1,3.29,
04-08-20,DM,*12PNA,PNN,15.9,8.4,3.56,
04-08-20,DM,*11PNF,PNN,18.1,8.6,3.53,
04-08-20,DM,*11PBS,PBL,15.5,10.6,3.27,
04-08-20,DM,*11CHX,CHD,17.1,9.9,3.31,
04-08-20,DM,*11CHX,CHD,17.1,9.7,3.31,
04-08-20,DM,*10PGC,PGR,15.6,8.6,3.42,
04-08-20,DM,*10CHA,CHD,15.2,9.6,3.39,
04-08-20,DM,*09PGD,PGR,15.4,8.7,3.44,
04-08-20,DM,*08PGB,PGR,15.7,10.1,3.28,
04-08-20,DM,*08CHA,CHD,14.4,10.4,3.31,
04-08-20,DM,*03PNB,PNN,18.4,9.4,3.3,
04-08-20,DM,*03PNA,PNN,18.6,8.4,3.37,
04-08-20,DM,*03CHN,CHD,18.8,7.3,3.4,
04-08-20,DM,*03CHM,CHD,18.1,8.7,3.3,
04-08-20,DM,*02SBR,SBL,16.9,11.1,3.09,
04-08-20,DM,*02CHD,CHD,17.8,8.2,3.25,
04-08-20,DM,*02CHC,CHD,18.5,7.65,3.36,
04-08-20,DM,*01MEB,MER,15.3,10.3,3.16,
04-08-20,DM,*01MEA,MER,14.7,10.6,3.19,
04-08-26,DM,SDHPG,PGR,17.9,7.3,3.46,
04-08-26,DM,SDHGZ,GZT,15,7.3,3.4,
04-08-26,DM,*09PGD,PGR,17,6.7,3.44,
04-08-26,DM,*09PGB,PGR,18,6.6,3.48,
04-08-26,DM,*03PBD,PBL,16.4,9.3,3.14,
04-08-26,DM,*03PBC,PBL,16.8,8.6,3.14,
04-08-26,DM,*03CHN,CHD,19.2,7.1,3.43,
04-08-26,DM,*03CHM,CHD,19.5,7.1,3.46,
04-08-26,DM,*02SBR,SBL,19.6,9.2,3.15,
04-08-26,DM,*02SBN,SBL,18.2,8.4,3.16,
04-08-26,DM,*02SBN,SBL,19.2,8.3,3.2,
04-08-26,DM,*02CHE,CHD,20.3,6.8,3.42,
04-08-26,DM,*02CHD,CHD,19.4,6.6,3.36,
04-08-26,DM,*02CHC,CHD,20.4,6.6,3.43,
04-08-26,DM,*01PNC,PNN,18,6.5,3.54,
04-08-27,JS,SPEPCF,CSA,16.4,5.4,3.27,
04-08-27,SL,*04PNB,PNN,20.2,6.9,3.59,
04-08-27,SL,*02SBB,SBL,19.4,6.9,3.37,
04-08-30,DM,*03PNA,PNN,20.6,6.68,3.55,
04-08-30,DM,*02SBB,SBL,18,6.29,3.38,
04-08-30,DM,*02MEI,MER,20.9,5.19,3.67,
04-08-31,SL,*12SBJ,SBL,15.9,6.83,3.56,
04-08-31,SL,*12PNA,PNN,18.8,6.89,3.64,
04-08-31,DM,*11SBY,SBL,16.8,6.84,3.37,
04-08-31,SL,*11SBU,SBL,16.7,6.95,3.4,
04-08-31,SL,*11SBT,SBL,18.1,8.81,3.36,
04-08-31,SL,*11SBJ,SBL,19.5,10.72,3.21,
04-08-31,DM,*11PNH,PNN,20.1,7.69,3.47,
04-08-31,DM,*11PNG,PNN,20.2,7.18,3.48,
04-08-31,DM,*11CHX,CHD,20.1,8.19,3.35,
04-08-31,DM,*11CHO,CHD,19.5,8.41,3.32,
04-08-31,DM,*11CHE,CHD,19.7,8.8,3.31,
04-08-31,DM,*11CHD,CHD,19.7,8.66,3.31,
