samdate,sampler,growblk,variety,brix,ta,ph,avg. berry wt.,dMACH
05-11-16,TT,*07RSE,RSL,24.5,11.1,2.95,,
05-11-16,TT,*07RSD,RSL,24,10.4,3.03,,
05-11-16,TT,*07RSB,RSL,23.3,11.8,2.85,,
05-11-16,TT,*07RSA,RSL,24,11.3,2.89,,
05-10-27,SL,MILLER,RSL,21.9,11.2,3.06,,
05-10-27,LB,HINMEC,MER,23.2,7.95,3.15,,
05-10-27,SL,*06CAM,CAS,22.6,6.4,3.87,,
05-10-27,SL,*06CAL,CAS,23,6.25,3.76,,
05-10-25,SL,*10RSU,RSL,20.7,8.7,3.43,,
05-10-25,SL,*10RSF,RSL,24.3,8.15,3.38,,
05-10-24,LB,HINMEC,MER,22.7,6.8,3.15,,
05-10-24,LB,HINCHB,CHD,22,9.9,3.11,,
05-10-22,LB,GABCAF,CAF,22.7,5.4,3.24,,
05-10-22,LB,DEKMER,MER,23,6.3,3.18,,
05-10-22,LB,DEKCBL,CBL,21.4,12.7,2.94,,
05-10-22,LB,DEKCAS,CAS,22,6.6,3.14,,
05-10-20,LB,RAIMER,MER,21.2,6.15,3.46,,
05-10-18,LB,HINPGA,PGR,23.2,8.55,3.09,,
05-10-18,LB,HINMEC,MER,21.5,7.8,3.1,,
05-10-18,LB,HINCHB,CHD,21.2,9.3,3.11,,
05-10-17,AN,*12CAL,CAS,22.8,4.27,4.42,,
05-10-17,AN,*12CAD,CAS,23,5.55,4.13,,
05-10-17,AN,*11CAP,CAS,25.4,5.73,3.77,,
05-10-17,AN,*10CAN,CAS,24,5.33,4.14,,
05-10-17,AN,*10CAK,CAS,23.7,6.35,3.98,,
05-10-17,AN,*10CAE,CAS,23.5,6.11,4,,
05-10-17,SL,*06CFJ,CAF,24,6.59,3.55,,
05-10-17,SL,*06CAM,CAS,22.1,5.77,3.83,,
05-10-17,SL,*06CAL,CAS,22.3,5.8,3.71,,
05-10-17,SL,*06CAK,CAS,23.6,6.35,3.71,,
05-10-17,SL,*05SZJ,SHZ,24.1,8.15,3.6,,
05-10-17,SL,*05SZF,SHZ,25.3,7.79,3.67,,
05-10-17,SL,*05SZC,SHZ,24.8,8.59,3.58,,
05-10-17,SL,*05CAI,CAS,23.7,7.48,3.69,,
05-10-17,SL,*05CAH,CAS,23.8,9.69,3.52,,
05-10-17,SL,*05CAE,CAS,23.9,7.23,3.67,,
05-10-17,SL,*05CAD,CAS,24.6,6.54,3.71,,
05-10-17,SL,*05CAB,CAS,23.4,7.35,3.7,,
05-10-17,SL,*05CAA,CAS,23.5,7.11,3.65,,
05-10-17,AN,*03CAL,CAS,25.7,5.98,3.59,,
05-10-14,LB,GABCAF,CAF,21.8,6.75,3.2,,
05-10-14,LB,DEKMER,MER,21.9,7.6,3.21,,
05-10-14,LB,DEKCBL,CBL,21.4,12.7,2.89,,
05-10-14,LB,DEKCAS,CAS,22,8.85,3.14,,
05-10-14,TT,*07PNC,PNN,25.7,8.85,3.36,,
05-10-14,SL,*05SZC,SHZ,24.4,8.8,3.53,,
05-10-14,SL,*05CAB,CAS,23.4,7.85,3.61,,
05-10-14,SL,*05CAA,CAS,23.5,8.25,3.51,,
05-10-13,TT,SERPBA,PBL,22.6,9.4,3.2,,
05-10-13,TT,DROGAM,GAM,23.1,11.6,3.26,,
05-10-12,LB,SDHME,MER,23.5,4.2,3.55,,
05-10-12,LB,SDHGZ,GZT,22.7,3.6,3.68,,
05-10-12,LB,RAIMER,MER,21.4,6.15,3.44,,
05-10-12,SL,*11CAR,CAS,25.5,5.4,3.84,,
05-10-12,SL,*11CAQ,CAS,25.6,6.2,3.79,,
05-10-12,SL,*11CAP,CAS,25.6,5.6,4,,
05-10-12,AN,*10SZL,SHZ,26.5,7.9,4.14,,
05-10-12,AN,*10CAN,CAS,25.6,5.3,4.2,,
05-10-12,AN,*10CAN,CAS,23.5,5.5,4.18,,
05-10-12,AN,*10CAN,CAS,23.3,6,4.1,,
05-10-12,AN,*10CAK,CAS,24,6.6,4.04,,
05-10-12,SL,*10CAE,CAS,23.9,6.2,4,,
05-10-12,AN,*08MEC,MER,27.7,4.4,3.85,,
05-10-12,SL,*03CAL,CAS,25.2,6.1,3.68,,
05-10-11,LB,HINPGA,PGR,22.1,8.1,3.07,,
05-10-11,LB,HINMEC,MER,21,8.4,3.06,,
05-10-11,LB,HINCHB,CHD,21.4,9.3,3.11,,
05-10-11,VT,*06PGG,PGR,23.2,5.8,4.07,,
05-10-11,VT,*06CFJ,CAF,23.2,6.4,3.71,,
05-10-11,VT,*06CAM,CAS,21.2,5.65,3.9,,
05-10-11,VT,*06CAL,CAS,21.9,5.4,3.86,,
05-10-11,VT,*06CAK,CAS,23,5.8,3.96,,
05-10-11,VT,*05SZJ,SHZ,22.5,8.65,3.57,,
05-10-11,VT,*05SZF,SHZ,24.6,8.15,3.67,,
05-10-11,VT,*05CAI,CAS,22.7,7.15,3.75,,
05-10-11,VT,*05CAH,CAS,22.8,8.55,3.63,,
05-10-11,VT,*05CAE,CAS,23.2,7,3.66,,
05-10-11,VT,*05CAD,CAS,24,6.7,3.7,,
05-10-07,TT,SRSPND,PNN,24.7,9.3,3.45,,
05-10-07,TT,SRSPNB,PNN,24,9.5,3.37,,
05-10-07,TT,SRSPBC,PBL,22.2,9.1,3.15,,
05-10-07,TT,SRSPBA,PBL,22.8,10.3,3.12,,
05-10-07,TT,SRSGAE,GAM,24.5,9.2,3.45,,
05-10-07,LB,GAB,CAF,21.6,6.6,3.18,,
05-10-07,LB,GAB,CHD,22.7,6.9,3.25,,
05-10-07,LM,GAB,MER,24.1,5.7,3.31,,
05-10-07,TT,DROPNN,PNN,24.1,10.4,3.27,,
05-10-07,TT,DROPGR,PGR,22.7,8.5,3.33,,
05-10-07,TT,DROGAM,GAM,24.3,10.3,3.27,,
05-10-07,LB,DEKMER,MER,21.1,8.25,3.11,,
05-10-07,LB,DEKCHD,CHD,22.6,9.6,3.14,,
05-10-07,LB,DEKCAS,CAS,20.4,9.6,3.08,,
05-10-07,AN,*11CAR,CAS,24.6,5.1,3.9,,
05-10-07,AN,*11CAQ,CAS,25.1,5.6,3.87,,
05-10-07,AN,*11CAP,CAS,25.5,5.2,3.92,,
05-10-07,AN,*08MEC,MER,26.6,4.5,3.68,,
05-10-07,TT,*07PNC,PNN,25.2,8.2,3.44,,
05-10-07,SF,*03CAL,CAS,24.9,6.2,3.69,,
05-10-07,SL,*02SZQ,SHZ,27.1,7.5,3.71,,
05-10-07,SL,*02CFH,CAF,26.8,6.1,3.87,,
05-10-07,SL,*02CAS,CAS,27.3,6.6,3.73,,
05-10-07,SL,*02CAP,CAS,27.3,7.2,3.69,,
05-10-07,SL,*02CAP,CAS,26.6,6.7,3.73,,
05-10-05,TT,SERPBA,PBL,21.5,9.2,3.15,,
05-10-05,LB,SDHGZ,GZT,22.1,4.05,3.71,,
05-10-05,AN,*12SZK,SHZ,25.3,8.53,4.01,,
05-10-05,AN,*12SZE,SHZ,25.3,6.72,3.99,,
05-10-05,AN,*12MEP,MER,24.8,4.8,3.96,,
05-10-05,AN,*12MEI,MER,24.5,5,3.94,,
05-10-05,AN,*12CAL,CAS,22.4,5.05,4.24,,
05-10-05,AN,*12CAD,CAS,21.6,5.48,3.97,,
05-10-05,LB,*11CFN,CAF,25.1,4.85,3.62,,
05-10-05,AN,*11CFM,CAF,24.7,4.96,3.57,,
05-10-05,AN,*11CFL,CAF,25.8,4.63,3.58,,
05-10-05,AN,*10SZM,SHZ,24,6.73,3.82,,
05-10-05,AN,*10SZL,SHZ,25.5,6.79,3.78,,
05-10-05,AN,*10MEJ,MER,24.6,5.04,3.86,,
05-10-05,AN,*10CAN,CAS,22.5,4.55,3.92,,
05-10-05,AN,*10CAK,CAS,22.3,5.92,3.69,,
05-10-05,SL,*06SZI,SHZ,24.1,6.38,3.86,,
05-10-05,SL,*06SZB,SHZ,23.7,7.43,3.8,,
05-10-05,SL,*06SZA,SHZ,24.6,7.2,3.73,,
05-10-05,SL,*06PGG,PGR,22.5,5.6,3.83,,
05-10-05,SL,*04MEA,MER,27.1,4.4,3.74,,
05-10-05,SL,*03CFG,CAF,25.5,4.8,3.85,,
05-10-05,SL,*03CAH,CAS,26,5.5,3.88,,
05-10-05,SL,*02MEI,MER,28.8,5.2,4.01,,
05-10-05,SL,*02CAS,CAS,27.1,6.4,3.76,,
05-10-05,SL,*02CAP,CAS,26.8,7.1,3.73,,
05-10-05,SL,*02CAO,CAS,27.2,6.2,3.77,,
05-10-05,SL,*02CAG,CAS,28,6.6,3.74,,
05-10-05,SL,*02CAA,CAS,26.9,7.73,3.64,,
05-10-04,TT,SPERSC,RSL,21.2,11.8,3.07,,
05-10-04,TT,SPEGWH,GZT,23,7.2,3.33,,
05-10-04,VT,MILLER,RSL,20.6,11.3,3.01,,
05-10-04,SL,*11CAR,CAS,24.6,6,3.97,,
05-10-04,SL,*11CAQ,CAS,25.1,5.8,4.02,,
05-10-04,SL,*11CAP,CAS,24.8,5.9,3.96,,
05-10-04,SL,*09MEC,MER,26.5,5.2,4.17,,
05-10-04,SL,*08MEC,MER,26.4,5.3,4.02,,
05-10-04,SL,*03MEF,MER,27.9,4.7,3.92,,
05-10-04,SL,*03CAL,CAS,24.5,6.1,3.63,,
05-10-04,SL,*02SZQ,SHZ,26.9,7.4,3.7,,
05-10-04,SL,*02CFH,CAF,26.8,6.2,4.06,,
05-09-30,TT,SPERSC,RSL,20.9,12.12,3.09,,
05-09-30,TT,SPEPBI,PBL,22.3,10.65,3.2,,
05-09-30,TT,SPEPBD,PBL,21.7,9.99,3.24,,
05-09-30,TT,SPEGWH,GZT,22.3,7.34,3.33,,
05-09-30,SL,*10SZY,SHZ,25.6,8.96,4.01,,
05-09-30,SL,*10MEJ,MER,24.6,4.92,3.9,,
05-09-30,SL,*09SZE,SHZ,26.7,6.85,3.96,,
05-09-30,AN,*09PVF,PVD,27.5,7.41,3.89,,
05-09-30,SL,*08CHA,CHD,23.4,5.58,3.63,,
05-09-30,TT,*07PNC,PNN,25.1,9.17,3.42,,
05-09-30,SL,*06CFJ,CAF,22.9,6.2,3.76,,
05-09-30,SL,*06CAM,CAS,21.1,5.6,4.02,,
05-09-30,SL,*06CAL,CAS,21.3,5.51,3.87,,
05-09-30,SL,*06CAK,CAS,22.3,6.32,3.86,,
05-09-30,SL,*05SZF,SHZ,23.8,8.62,3.6,,
05-09-30,SL,*05SZC,SHZ,23.6,7.12,3.63,,
05-09-30,SL,*05CAE,CAS,22.6,7.34,3.66,,
05-09-30,SL,*05CAD,CAS,22.9,7.06,3.67,,
05-09-30,SL,*05CAB,CAS,22.6,7.11,3.83,,
05-09-30,AN,*05CAA,CAS,23.3,6.74,4.18,,
05-09-30,SL,*05CAA,CAS,23.3,6.7,4.18,,
05-09-30,SL,*04CFC,CAF,25.8,5.17,3.68,,
05-09-30,AN,*03MEF,MER,27.7,4.8,4.01,,
05-09-30,AN,*03MEF,MER,27.7,4.8,4.01,,
05-09-30,AN,*03CFG,CAF,26.1,5.55,4.06,,
05-09-30,AN,*03CAH,CAS,27,4.9,4.17,,
05-09-30,AN,*02MEI,MER,28.4,4.35,4.14,,
05-09-30,AN,*02MEI,MER,28.4,4.35,4.14,,
05-09-29,LB,SDHPG,PGR,22.9,7.2,3.22,,
05-09-29,LB,SDHME,MER,21.5,7.95,3.25,,
05-09-29,LB,SDHGZ,GZT,22.6,4.8,3.57,,
05-09-29,LB,RAIPGR,PGR,22.4,8.4,3.36,,
05-09-29,AN,INKEHZ,EHR,22.7,7.84,3.56,,
05-09-29,AN,INKCAY,CAS,23.2,8.34,3.55,,
05-09-29,AN,*16SZL,SHZ,25.6,7.64,3.78,,
05-09-29,AN,*16RSD,RSL,23.3,7.92,3.43,,
05-09-29,AN,*12SZE,SHZ,25,9.29,3.85,,
05-09-29,AN,*12CAL,CAS,22.5,6.5,4.08,,
05-09-29,AN,*10SZL,SHZ,25,39.8,3.66,,
05-09-29,AN,*10RSU,RSL,20.4,9.36,3.36,,
05-09-29,AN,*10RSF,RSL,23.6,9.2,3.24,,
05-09-29,AN,*09SZE,SHZ,26.1,7.08,3.7,,
05-09-29,SL,*09MEC,MER,24.3,4.9,3.75,,
05-09-29,SL,*06SZI,SHZ,24.1,7.01,3.8,,
05-09-29,SL,*06SZC,SHZ,23.3,7.56,3.74,,
05-09-29,SL,*06SZB,SHZ,23.7,8.15,3.7,,
05-09-29,SL,*06SZA,SHZ,24.1,7.37,3.73,,
