sample.date,sampler,growblk,variety,brix,ta,ph
07-08-23,MZ,*02CHC,CHD,19.60,9.50,3.10
07-08-23,GO,*10CHA,CHD,19.20,9.10,3.20
07-08-23,MZ,*09PGB,PGR,15.00,9.70,3.13
07-08-23,MZ,*10PGC,PGR,16.70,10.90,3.09
07-08-23,MZ,*18PGE,PGR,18.10,13.30,3.00
07-08-23,GO,*04PNB,PNN,18.80,9.70,3.11
07-08-23,GO,*02SBB,SBL,16.50,11.00,2.93
07-08-28,JH,*18PGA,PGR,21.20,8.30,3.25
07-08-28,JH,*16SBB,SBL,22.40,8.40,3.19
07-08-28,FM,*16SBC,SBL,18.00,8.60,3.21
07-08-28,FM,*17SBE,SBL,22.60,10.90,3.01
07-08-28,MZ,*19SBJ,SBL,23.40,9.40,3.13
07-08-28,FM,*16SMF,SEM,18.20,8.50,3.11
07-08-28,MZ,*19SMH,SEM,20.30,9.40,3.17
07-08-30,MZ,*02CHC,CHD,21.80,8.00,3.20
07-08-30,JH,*10CHA,CHD,21.30,7.50,3.21
07-08-30,FM,*11CHC,CHD,22.10,9.30,3.24
07-08-30,JH,*10PGC,PGR,20.40,7.50,3.28
07-08-30,FM,*04PNB,PNN,20.90,8.20,3.13
07-08-30,MZ,*02SBB,SBL,18.70,9.20,3.05
07-08-30,FM,*11SBY,SBL,19.80,7.70,3.19
07-08-30,GO,*12SBJ,SBL,17.80,8.20,3.21
07-08-30,GO,*16SBB,SBL,23.70,7.60,3.21
07-08-30,GO,*17SBE,SBL,23.20,8.80,3.20
07-08-30,MZ,*19SBJ,SBL,24.50,8.80,3.23
07-09-04,FM,*02CHC,CHD,23.20,7.20,3.45
07-09-04,MZ,*02CHD,CHD,22.80,7.40,3.34
07-09-04,FM,*02CHE,CHD,23.60,6.70,3.40
07-09-04,FM,*03CHM,CHD,25.90,8.50,3.47
07-09-04,FM,*03CHN,CHD,25.90,8.50,3.47
07-09-04,JH,SPEPCF,CSA,18.70,6.20,3.27
07-09-04,JH,SPEFOA,FOC,22.60,13.00,3.16
07-09-04,JH,*18PGA,PGR,23.50,6.90,3.57
07-09-04,JH,*18PGB,PGR,23.50,6.90,3.57
07-09-04,JH,*18PGE,PGR,22.60,7.70,3.43
07-09-04,GO,*16SBB,SBL,24.50,7.00,3.43
07-09-04,JH,*16SBC,SBL,20.90,7.50,3.31
07-09-04,JH,*16SBC,SBL,20.50,7.60,3.38
07-09-04,JH,*16SBC,SBL,18.00,7.80,3.39
07-09-04,GO,*16SBC,SBL,23.40,6.20,3.49
07-09-04,GO,*16SBC,SBL,21.80,8.40,3.27
07-09-04,MZ,*17SBE,SBL,23.70,8.10,3.32
07-09-04,MZ,*19SBE,SBL,25.40,8.10,3.32
07-09-04,FM,*19SBP,SBL,25.20,8.40,3.30
07-09-04,FM,*19SBQ,SBL,25.20,8.40,3.30
07-09-04,GO,*16SME,SEM,23.30,8.00,3.39
07-09-04,GO,*16SMF,SEM,21.00,6.80,3.35
