vineyard,variety,growblk,crush.tag.date,tag.no,lbs,brix,ta,ph
*01,CAF,*01CFF,08-11-05,5878,9810,24.8,6.5,3.28
*01,MER,*01MEB,08-10-16,5694,23590,24.9,5.8,3.3
*01,MER,*01MED,08-10-16,5702,8340,23.4,6.1,3.15
*01,MER,*01MED,08-10-16,5707,15795,23.4,6.1,3.15
*01,MER,*01MEE,08-10-16,5696,16960,25.2,5.7,3.28
*01,MER,*01MEG,08-10-16,5705,40640,24.3,5.6,3.15
*01,MER,*01MEG,08-10-16,57071,20305,24.3,5.6,3.15
*01,MER,*01MEH,08-10-16,5699,8200,26.4,5.1,3.24
*01,PNN,*01PNC,08-10-15,5689,6900,24,5.8,3.51
*01,PNN,*01PNC,08-10-24,5789,6645,24,5.8,3.51
*02,CAF,*02CFH,08-10-28,5817,14056,26.1,5.5,3.6
*02,CAF,*02CFH,08-11-06,5888,14225,26.3,6.2,3.48
*02,CAS,*02CAA,08-10-23,5776,18930,25.4,7.1,3.4
*02,CAS,*02CAF,08-10-23,57761,14780,26.1,6.5,3.49
*02,CAS,*02CAG,08-10-21,5755,14321,26.1,3.5,6.5
*02,CAS,*02CAG,08-10-23,57762,2420,26.1,6.5,3.5
*02,CAS,*02CAG,08-10-24,5791,4664,26.1,6.5,3.5
*02,CAS,*02CAO,08-10-28,5816,5920,26,6.1,3.53
*02,CAS,*02CAO,08-11-06,5887,5000,26,6.1,3.53
*02,CAS,*02CAP,08-10-21,5754,14144,25.9,6.3,3.5
*02,CAS,*02CAP,08-10-24,57911,7774,25.9,6.3,3.5
*02,CAS,*02CAS,08-10-28,58161,8649,26.1,6.5,3.58
*02,CAS,*02CAS,08-11-06,58871,6670,26.1,6.5,3.58
*02,CHD,*02CHC,08-09-19,5531,31305,23.1,8.7,3.32
*02,CHD,*02CHC,08-09-19,5532,38430,23.1,8.7,3.32
*02,CHD,*02CHD,08-09-24,5552,31023,23.8,7.2,3.41
*02,CHD,*02CHD,08-09-26,5572,1087,23.8,7.2,3.41
*02,CHD,*02CHE,08-09-18,5524,30960,23.7,7.8,3.44
*02,MER,*02MEI,08-09-24,5557,18118,26.3,4.9,3.89
*02,MER,*02MEI,08-09-24,5558,11545,26.3,4.9,3.89
*02,MER,*02MEI,08-09-30,5583,2965,26.3,4.9,3.89
*02,MER,*02MEI,08-10-01,5585,28070,26.3,4.9,3.89
*02,MER,*02MEJ,08-09-30,55831,14450,26.6,5.1,3.62
*02,MER,*02MEJ,08-10-01,5584,19220,26.6,5.1,3.62
*02,MER,*02MEL,08-10-01,55851,3070,27.2,5.1,3.62
*02,MER,*02MEL,08-10-02,5593,3290,27.2,5.1,3.62
*02,MER,*02MEM,08-09-30,55832,14450,26.3,5.3,3.55
*02,MER,*02MEM,08-10-01,55841,19560,26.3,5.3,3.55
*02,MER,*02MEM,08-10-01,55852,6170,26.3,5.3,3.55
*02,SBL,*02SBB,08-09-20,5536,39420,22.3,9.2,3.24
*02,SBL,*02SBB,08-09-20,5537,25310,23.2,7.2,3.34
*02,SBL,*02SBK,08-09-24,5551,4450,24.5,7.9,3.36
*02,SBL,*02SBN,08-09-24,5556,18312,23.4,9.2,3.26
*02,SBL,*02SBN,08-09-24,55511,4597,23.4,9.2,3.26
*02,SBL,*02SBN,08-09-25,5563,43775,23.4,9.2,3.26
*02,SBL,*02SBN,08-09-26,5571,4885,23.4,9.2,3.26
*02,SBL,*02SBR,08-09-26,5573,1182,23.3,9.1,3.3
*02,SBL,*02SBR,08-09-26,55711,14095,23.3,9.1,3.3
*02,SHZ,*02SZQ,08-10-15,5692,33210,24.6,6.2,3.54
*03,CAF,*03CFG,08-10-29,5833,14088,26.6,5.5,3.71
*03,CAF,*03CFG,08-10-30,5849,7867,26.6,5.5,3.71
*03,CAS,*03CAH,08-10-29,5832,13931,26.5,6.4,3.53
*03,CAS,*03CAH,08-10-30,5850,12480,26.5,6.4,3.53
*03,CAS,*03CAK,08-10-31,5859,1444,25.6,4.9,3.67
*03,CAS,*03CAL,08-10-31,5860,18936,24.5,7.1,3.23
*03,CAS,*03CAL,08-10-31,5862,4315,24.5,7.1,3.23
*03,CAS,*03CAL,08-10-31,5866,3105,24.5,7.1,3.23
*03,CAS,*03CAL,08-10-31,5867,12505,24.5,7.1,3.23
*03,CHD,*03CHM,08-09-26,5570,9120,22.9,8.8,3.32
*03,CHD,*03CHN,08-09-26,55701,13680,23.8,8.1,3.29
*03,CHD,*03CHN,08-09-26,55721,8696,23.8,8.1,3.29
*03,MER,*03MEE,08-10-14,5670,9175,26.3,6.9,3.33
*03,MER,*03MEF,08-10-07,5630,29220,27.6,4.6,3.82
*03,MER,*03MEF,08-10-20,5739,17385,27.6,4.6,3.82
*03,MER,*03MEF,08-10-20,5741,6220,27.6,4.6,3.82
*03,MER,*03MEI,08-10-02,5594,4115,25.8,4.9,3.99
*03,MER,*03MEI,08-10-02,5596,32305,25.8,4.9,3.99
*03,MER,*03MEJ,08-10-02,55941,15635,25.7,5.5,3.74
*03,PBL,*03PBC,08-10-20,5738,9785,23.1,8.2,3.15
*03,PBL,*03PBD,08-10-14,5671,33075,22.6,8,3.11
*03,PBL,*03PBD,08-10-20,57381,15290,22.6,8,3.11
*03,PNN,*03PNA,08-10-08,5642,21000,24.2,7.7,3.25
*03,PNN,*03PNA,08-10-08,5644,11380,24.2,7.7,3.25
