tag.no,crush.tag.date,appell,growblk,variety,lbs,unalloc,brix,ta,ph,tanks,deputy,comments,location,bins,gcexclude
69852,11-11-03,OLV,*01CFF,CAF,17868,0,23.4,6.38,3.2,"909,909",FL,MP,MH,17,FALSE
6981,11-11-03,OLV,*01CFI,CAF,2020,0,22.5,5.13,3.27,909,R,MP,MH,2,FALSE
69851,11-11-03,OLV,*01CFI,CAF,6307,0,22.5,5.13,3.27,909,FL,MP,MH,6,FALSE
65021,11-10-18,OLV,*01MED,MER,13292,0,21,7.91,3.19,451,BL,MP,MH,12,FALSE
65052,11-10-19,OLV,*01MEE,MER,18763,0,22,7.1,3.2,"914,DUMMY4",FL,MP,MH,18,FALSE
6500,11-10-18,OLV,*01MEG,MER,37235,0,21.3,7.34,3.22,451,BL,MP,MH,35,FALSE
65022,11-10-18,OLV,*01MEG,MER,3323,0,21.3,7.34,3.22,451,BL,MP,MH,3,FALSE
65051,11-10-19,OLV,*01MEG,MER,11466,0,21.3,7.34,3.22,452,FL,MP,MH,11,FALSE
6507,11-10-18,OLV,*01MEG,MER,21200,0,21.3,7.34,3.22,452,FL,MP,MH,20,FALSE
65053,11-10-19,OLV,*01MEH,MER,9381,0,23.5,7.15,3.25,"914,DUMMY4",FL,MP,MH,9,FALSE
69531,11-11-01,OSO,*02CAA,CAS,6219,0,24.1,8.29,3.08,922,R,HP,MH,8,FALSE
7027,11-11-07,OSO,*02CAA,CAS,23900,0,24.1,8.29,3.08,904,BL,HP,MH,28,FALSE
69532,11-11-01,OSO,*02CAF,CAS,5442,0,23.3,7.68,3.18,922,R,HP,MH,7,FALSE
70212,11-11-07,OSO,*02CAF,CAS,10978,0,23.2,7.68,3.18,904,R,HP,MH,14,FALSE
6571,11-10-25,OSO,*02CAG,CAS,805,0,22.5,7.32,3.31,OV   4,R,HP,MH,1,FALSE
66442,11-10-31,OSO,*02CAG,CAS,14169,0,22.5,7.32,3.31,OV   1,FL,HP,MH,18,FALSE
69533,11-11-01,OSO,*02CAG,CAS,7774,0,22.5,7.32,3.31,922,R,HP,MH,10,FALSE
70211,11-11-07,OSO,*02CAG,CAS,6273,0,22.5,7.32,3.31,904,R,HP,MH,8,FALSE
66441,11-10-31,OSO,*02CAO,CAS,14168,0,24.6,6.4,3.26,OV  11,FL,HP,MH,18,FALSE
7046,11-11-09,OSO,*02CAP,CAS,12430,0,24.6,7.33,3.22,924,BL,MP,MH,12,FALSE
7048,11-11-09,OSO,*02CAP,CAS,2965,0,24.6,7.33,3.22,924,BL,MP,MH,3,FALSE
7047,11-11-09,OSO,*02CAS,CAS,12670,0,24.4,7.04,3.16,924,BL,HP,MH,16,FALSE
6572,11-10-25,OSO,*02CFH,CAF,13460,0,24.5,5.61,3.42,"OV   4,605",R,HP,MH,18,FALSE
70171,11-11-07,OSO,*02CFH,CAF,18955,0,24.5,5.61,3.42,910,BD,HP,MH,24,FALSE
6972,11-11-02,OSO,*02CFT,CAF,14024,0,24.5,5.26,3.37,"934,932",BD,HP,MH,20,FALSE
70222,11-11-07,OSO,*02CFT,CAF,6273,0,24.5,5.26,3.37,910,R,HP,MH,8,FALSE
6454,11-10-13,OSO,*02CHC,CHD,41200,0,22.2,7.06,3.34,"XPA320,XPA",JP,MP,MH,38,FALSE
6456,11-10-13,OSO,*02CHC,CHD,40110,0,22.2,7.06,3.34,XPA320,BD,MP,MH,38,FALSE
64571,11-10-13,OSO,*02CHC,CHD,27510,0,22.2,7.06,3.34,XPA320,BD,MP,MH,26,FALSE
64572,11-10-13,OSO,*02CHD,CHD,13755,0,22.3,7.09,3.3,XPA,BD,MP,MH,13,FALSE
