tag.no,crush.tag.date,appell,growblk,variety,lbs,grapecost,brix,ta,ph,tanks,deputy,comments,bins
70571,12-09-13,OSO,*19SBG,SBL,2296,0,20.10,9.80,3.27,RPA150,R,MP,2
70572,12-09-13,OSO,*19SBJ,SBL,32146,0,20.00,10.40,3.03,XPA150,R,MP,28
70573,12-09-13,OSO,*19SBO,SBL,6888,0,19.30,9.90,3.04,RPA150,R,MP,6
70581,12-09-13,OSO,*19SBL,SBL,17935,0,17.70,10.10,2.99,RPA150,JJ,MP,17
70582,12-09-13,OSO,*19SBO,SBL,13715,0,19.30,9.90,3.04,RPA150,JJ,MP,13
7059,12-09-13,OLV,*16PGM,PGR,2605,0,21.50,8.70,3.32,RPA150,JJ,HP,3
57014,12-09-17,CAL,GSPGJ,PGR,59327,0,24.80,6.50,3.59,408,R,CA JUICE,0
57015,12-09-17,CAL,GSPGJ,PGR,60553,0,24.70,6.50,3.60,DUMMY,R,CA JUICE,0
57026,12-09-17,CAL,GSPGJ,PGR,60008,0,25.80,6.70,3.60,DUMMY2,DK,CA JUICE,0
7060,12-09-18,OLV,*16SBB,SBL,4200,0,19.70,11.20,2.97,XPA150,R,MP,4
7061,12-09-18,OLV,SIDSBL,SBL,22220,0,18.70,10.70,3.01,XPA150,R,HP,24
7062,12-09-19,OSO,*02CHC,CHD,39128,0,22.70,8.60,3.18,XPA320,BL,MP,36
7063,12-09-19,OSO,*02CHC,CHD,26975,0,22.70,8.60,3.18,XPA320,CB,MP,25
7064,12-09-20,OLV,*11CHC,CHD,14815,0,23.00,11.20,3.19,XPA,CB,MP,13
7065,12-09-20,OSO,*02CHE,CHD,33270,0,23.10,8.99,3.22,RPA,CB,MP,32
7066,12-09-24,OSO,*02CHD,CHD,35700,0,21.90,8.71,3.16,XPA,CB,MP,36
7067,12-09-24,OLV,*16MUA,MSC,12130,0,20.30,6.54,3.35,XPA150,CB,MP,12
7068,12-09-24,OLV,*16SME,SEM,27070,0,22.30,8.34,3.22,XPA320,CB,MP,24
7069,12-09-24,OSO,*02CHD,CHD,7205,0,21.90,8.71,3.16,"XPA,RPA",CB,MP,7
7070,12-09-24,OLV,*16SMF,SEM,9285,0,21.10,9.98,3.15,XPA320,CB,MP,9
7071,12-09-24,OLV,*16MUA,MSC,23160,0,20.30,6.54,3.35,XPA150,R,MP,20
70721,12-09-24,OSO,GABCHA,CHD,20640,0,22.30,9.83,3.10,RPA,AM,HP,24
70722,12-09-24,OSO,GABCHF,CHD,17190,0,22.30,9.35,3.13,RPA,AM,HP,20
7073,12-09-24,OLV,*16SMF,SEM,6740,0,21.10,9.98,3.15,XPA320,AM,MP,8
7074,12-09-24,OSO,*03PNA,PNN,20040,0,23.00,9.90,3.20,"925,926,B   10",R,HP,22
70751,12-09-24,OSO,*03PNA,PNN,3528,0,23.00,9.90,3.20,926,BD,HP,4
70752,12-09-24,OSO,*03PNB,PNN,17642,0,23.10,9.09,3.24,"926,934,B   10",BD,HP,20
7076,12-09-25,OLV,*10PGC,PGR,39680,0,23.00,8.60,3.20,"XPA,XPA320",JJ,MP,36
7077,12-09-25,OLV,*04PNB,PNN,45060,0,23.30,9.95,3.12,"930,928,929,B   10",CB,MP,36
70791,12-09-25,OLV,*10PGC,PGR,20013,0,23.00,8.60,3.20,"XPA,XPA320",CB,MP,17
70792,12-09-25,OLV,*10PGD,PGR,22367,0,22.30,7.43,3.24,"RPA,XPA320",CB,MP,19
70801,12-09-25,OLV,*10PGC,PGR,7854,0,23.00,8.60,3.20,XPA320,AM,MP,7
70802,12-09-25,OLV,*10PGD,PGR,29171,0,22.30,7.43,3.24,XPA320,AM,MP,26
7081,12-09-26,OLV,*16SBB,SBL,14330,0,19.90,12.40,2.98,XPA320,BL,MP,14
7082,12-09-26,OLV,*10PNG,PNN,25950,0,22.80,6.93,3.39,"931,933,B    1",BL,MP,22
7083,12-09-26,OLV,*10PNG,PNN,4970,0,22.80,6.93,3.39,"933,B    1",CB,MP,4
7084,12-09-26,OLV,*16SBB,SBL,28420,0,19.90,12.40,2.98,XPA320,R,MP,28
7085,12-09-26,OLV,*16SBB,SBL,6505,0,19.90,12.40,2.98,XPA320,CB,MP,7
57143,12-09-26,WAS,CVPGJ,PGR,57089,5.5,22.60,5.10,3.62,B    8,,WA JUICE,0
57144,12-09-26,WAS,CVPGJ,PGR,56816,5.5,22.60,5.20,3.61,B    9,,WA JUICE,0
7086,12-09-27,OLV,*18PGA,PGR,10235,0,22.50,7.62,3.25,XPA320,WA,MP,9
7087,12-09-27,OLV,*11PNG,PNN,31865,0,23.20,9.95,3.21,"OV   5,OV   6,B    1",WA,MP,27
70881,12-09-27,OLV,*18PGA,PGR,10272,0,22.50,7.62,3.25,XPA320,AM,MP,9
70882,12-09-27,OLV,*18PGB,PGR,30818,0,23.30,8.58,3.21,XPA320,AM,MP,27
70891,12-09-27,OSO,*02SBR,SBL,16160,0,24.70,10.40,3.22,XPA150,R,MP,16
70892,12-09-27,OSO,*02SBK,SBL,10100,0,22.00,10.20,3.15,XPA150,R,MP,10
70893,12-09-27,OSO,*02SBN,SBL,8080,0,24.60,9.46,3.22,XPA150,R,MP,8
7090,12-09-27,OLV,*18PGE,PGR,42990,0,22.80,8.77,3.17,"XPA320,RPA",R,MP,36
7091,12-09-27,OLV,*18PGE,PGR,30370,0,22.80,8.77,3.17,XPA320,R,MP,28
70921,12-09-28,OSO,*02SBN,SBL,20639,0,24.60,9.46,3.22,XPA150,CB,MP,20
70922,12-09-28,OSO,*02SBB,SBL,16511,0,22.30,8.00,3.19,RPA,CB,MP,16
7094,12-09-28,OLV,SIDPGR,PGR,22845,0,21.60,8.47,3.21,XPA320,R,HP,25
7095,12-09-28,OLV,*11PNF,PNN,19835,0,22.40,9.85,3.18,"OV   4,932,B    1",R,MP,17
