grower,variety,grow.blk,date,tag.no,lbs,brix,ta,ph
*01,CAF,*01CFA,14-10-28,83991,1120,25.1,4.7,3.69
*01,CAF,*01CFB,14-10-28,83992,6075,25.2,4.6,3.69
*01,CAF,*01CFF,14-10-23,8352,16660,24.5,4.38,3.45
*01,CAF,*01CFF,14-10-23,8366,7029,24.5,4.38,3.45
*01,MER,*01MED,14-10-16,8261,18660,24.6,4.8,3.54
*01,MER,*01MED,14-11-04,84427,295,0,0,0
*01,MER,*01MEE,14-10-10,82262,9992,25.2,4.7,3.56
*01,MER,*01MEE,14-10-10,82301,7850,25.2,4.7,3.56
*01,MER,*01MEE,14-11-04,84428,245,0,0,0
*01,MER,*01MEG,14-10-10,82302,17660,24.6,5.2,3.49
*01,MER,*01MEG,14-10-15,8250,13555,24.8,5.2,3.55
*01,MER,*01MEG,14-10-15,8251,33275,24.8,5.2,3.55
*01,MER,*01MEG,14-11-04,84429,850,0,0,0
*01,MER,*01MEH,14-10-10,82261,8993,25.3,4.8,3.55
*02,CAF,*02CAF,14-10-21,83241,3532,27.7,4.2,3.62
*02,CAF,*02CFHA,14-10-23,8362,11458,27.8,4.1,3.83
*02,CAF,*02CFHA,14-10-24,83713,1757,28.3,3.5,3.6
*02,CAF,*02CFHA,14-11-03,8428,15311,28.3,3.5,3.6
*02,CAF,*02CFT,14-10-23,8363,4590,28.6,3.67,3.7
*02,CAF,*02CFT,14-10-23,8364,2768,28.6,3.67,3.7
*02,CAF,*02CFT,14-10-24,83712,6483,28.6,3.67,3.7
*02,CAS,*02CAA,14-10-27,8385,6500,26.3,3.8,3.81
*02,CAS,*02CAA,14-10-27,8390,17613,26.3,3.8,3.81
*02,CAS,*02CAA,14-11-03,84291,9600,27.7,4.4,3.61
*02,CAS,*02CAF,14-10-23,83541,5255,28.8,4.1,3.72
*02,CAS,*02CAF,14-10-27,8384,14516,26.3,3.85,3.69
*02,CAS,*02CAG,14-10-21,83242,7947,30.3,4.73,3.62
*02,CAS,*02CAG,14-10-28,8393,16098,30.3,4.73,3.62
*02,CAS,*02CAO,14-10-10,82311,13058,27.5,4.01,3.66
*02,CAS,*02CAO,14-10-23,83542,1752,28.8,4.1,3.72
*02,CAS,*02CAP,14-10-10,82312,15505,27.8,5.3,3.66
*02,CAS,*02CAP,14-10-23,83543,7005,28.8,4.1,3.72
*02,CAS,*02CAP,14-10-28,8394,1080,27.8,5.3,3.66
*02,CAS,*02CAP,14-11-03,84292,4933,27.8,5.3,3.66
*02,CAS,*02CAS,14-11-03,8434,22515,25.5,4.21,3.62
*02,CAS,*02CAS,14-11-04,84422,520,0,0,0
*02,CHD,*02CHCB,14-09-10,8005,34720,23.9,5.85,3.36
*02,CHD,*02CHCB,14-09-10,8006,33890,23.9,5.85,3.36
*02,CHD,*02CHCB,14-09-10,80071,7010,23.9,5.85,3.36
*02,CHD,*02CHD,14-09-11,8009,35780,22.2,6.45,3.36
*02,CHD,*02CHD,14-09-11,8012,15765,22.2,6.45,3.36
*02,CHD,*02CHE,14-09-10,8008,17540,24.4,6.25,3.42
*02,CHD,*02CHE,14-09-10,80072,29050,24.4,6.25,3.42
*02,MER,*02MEIA,14-10-02,8144,14120,26.2,3,3.91
*02,MER,*02MEIA,14-10-02,8145,14017,26.5,3.1,3.89
*02,MER,*02MEIA,14-10-07,8181,15069,28,3.9,3.95
*02,MER,*02MEIA,14-10-14,8240,16310,28.5,3.4,3.69
*02,MER,*02MEIA,14-10-14,8244,18195,28.5,3.4,3.69
*02,MER,*02MEIA,14-11-04,84423,710,0,0,0
*02,MER,*02MEJB,14-10-03,8154,14336,26.6,3,3.84
*02,MER,*02MEJB,14-10-03,8155,14295,27,3.4,3.75
*02,MER,*02MEJB,14-10-14,82381,5884,26.8,3.89,3.67
*02,MER,*02MEJB,14-11-04,84424,350,0,0,0
*02,MER,*02MEL,14-10-14,82382,10788,27,4.3,3.71
*02,MER,*02MEMA,14-10-07,8173,19810,27.6,3.5,3.79
*02,MER,*02MEMA,14-10-07,8180,9060,28,3.9,3.95
*02,MER,*02MEMA,14-10-14,82383,17653,27.1,4.45,3.57
*02,MER,*02MEMA,14-11-04,84425,340,0,0,0
*02,SBL,*02SBB,14-09-24,8067,38410,21.2,6.24,3.25
*02,SBL,*02SBB,14-09-24,8072,36960,21.2,6.24,3.25
*02,SBL,*02SBB,14-09-25,80771,11397,21.2,6.24,3.25
*02,SBL,*02SBB,14-09-25,80812,1150,21.2,6.24,3.25
*02,SBL,*02SBK,14-09-19,80492,9616,24.4,7.23,3.32
*02,SBL,*02SBNA,14-09-19,8045,17140,21.7,7.1,3.29
*02,SBL,*02SBNA,14-09-19,80491,14959,21.7,7.1,3.29
*02,SBL,*02SBNA,14-09-23,8062,30720,23,6.81,3.31
*02,SBL,*02SBNA,14-09-25,80791,8137,21.7,7.1,3.29
*02,SBL,*02SBNA,14-09-25,80814,2409,22.4,5.34,3.32
*02,SBL,*02SBNB,14-09-23,8056,35480,24.2,4.7,3.48
*02,SBL,*02SBR,14-09-25,80813,22891,23.2,7.16,3.24
*02,SHZ,*02SZQ,14-10-14,8241,23690,26,4.38,3.56
*02,SHZ,*02SZQ,14-10-14,8243,16678,26,4.38,3.56
*02,SHZ,*02SZQ,14-10-21,8325,1829,26,4.38,3.56
*03,CAF,*03CFG,14-10-24,8368,14052,27.4,3.86,3.61
*03,CAF,*03CFG,14-10-24,83711,8826,27.4,3.86,3.61
*03,CAS,*03CAH,14-10-21,8319,17315,27.2,4.11,3.68
*03,CAS,*03CAH,14-11-03,8430,10420,27.2,4.11,3.68
*03,CAS,*03CAK,14-10-27,83871,2080,25,4.3,3.52
*03,CAS,*03CAL,14-10-27,8389,24265,25,4.3,3.52
*03,CAS,*03CAL,14-10-27,83872,37440,25,4.3,3.52
*03,CAS,*03CAL,14-10-31,84258,1130,0,0,0
*03,CHD,*03CHM,14-09-12,80132,20777,23.8,6,3.27
*03,CHD,*03CHN,14-09-12,8016,28780,24.7,5.77,3.33
*03,CHD,*03CHN,14-09-12,80131,16622,24.7,5.77,3.33
*03,MER,*03MEE,14-09-30,81152,14432,25.3,3.7,3.84
*03,MER,*03MEFA,14-10-08,8195,10498,28.2,3.7,3.75
*03,MER,*03MEFB,14-10-08,8188,23135,27.6,4,3.78
*03,MER,*03MEFB,14-10-08,8194,7142,28.2,3.7,3.75
