tag.no,date,appell,growblk,variety,lbs,brix,ta,ph,tanks,deputy,jtemp,comments,location,bins
88272,15-10-16,OLV,*01CFA,CAF,1355,24.5,4.39,3.63,606,R,0,,MH,3
88302,15-10-16,OLV,*01CFA,CAF,811,24.5,4.39,3.63,606,R,0,,MH,1
88273,15-10-16,OLV,*01CFB,CAF,7192,23.5,4.67,3.56,606,R,0,,MH,6
88303,15-10-16,OLV,*01CFB,CAF,4275,23.6,4.67,3.56,606,R,0,,MH,4
8832,15-10-16,OLV,*01CFB,CAF,455,23.6,4.67,3.56,606,CB,0,,MH,1
8827,15-10-16,OLV,*01CFF,CAF,6602,24.8,4.18,3.54,606,R,0,,MH,5
8830,15-10-16,OLV,*01CFF,CAF,3925,24.8,4.18,3.54,606,R,0,,MH,4
88271,15-10-16,OLV,*01CFI,CAF,3191,25.1,4.03,3.64,606,R,0,,MH,2
88301,15-10-16,OLV,*01CFI,CAF,1897,25.1,4.03,3.64,606,R,0,,MH,2
84937,15-09-08,OLV,*01CHC,CHD,1445,23.9,6.1,3.59,"XPA320,XPA",,0,,MH,2
87291,15-10-02,OLV,*01MED,MER,14854,24.5,4.26,3.55,XPA320,,0,,MH,14
87841,15-10-08,OLV,*01MED,MER,652,24.5,4.26,3.55,602,,0,,MH,1
87292,15-10-02,OLV,*01MEE,MER,13793,26.8,3.79,3.64,XPA320,,0,,MH,13
8730,15-10-02,OLV,*01MEG,MER,10838,24.7,3.58,3.57,XPA320,,0,,MH,10
87293,15-10-02,OLV,*01MEG,MER,11669,25.4,3.9,3.58,XPA320,,0,,MH,11
87741,15-10-08,OLV,*01MEG,MER,21597,24.1,3.9,3.58,905,BC,0,,MH,21
87742,15-10-08,OLV,*01MEH,MER,3086,26.8,4.1,3.63,905,BC,0,,MH,3
88541,15-10-22,OSO,*02CAA,CAS,34456,27.9,5.2,4.03,"909,B    3",CB,0,HP,MH,39
8823,15-10-15,OSO,*02CAFA,CAS,6748,25.7,3.8,3.59,"OV  18,B    4",CB,0,,MH,8
88331,15-10-19,OSO,*02CAFA,CAS,5312,26,3.75,3.62,"931,B    1",AM,0,,MH,6
88542,15-10-22,OSO,*02CAFA,CAS,2651,28.3,5.5,4,"909,B    3",CB,0,HP,MH,3
87711,15-10-07,OSO,*02CAFB,CAS,4382,25.7,3.8,3.59,"OV  14,B    4",JJ,0,,MH,5
88091,15-10-14,OSO,*02CAFB,CAS,3936,25.7,3.8,3.59,"930,B    2",CB,0,,MH,5
87622,15-10-06,OSO,*02CAGA,CAS,2638,26.5,4.23,3.55,"OV  15,B    3",JJ,0,HP,MH,3
8809,15-10-14,OSO,*02CAGA,CAS,12278,25.1,4.2,3.55,"930,B    2",CB,0,,MH,14
88231,15-10-15,OSO,*02CAGA,CAS,4933,25.1,4.2,3.55,"OV  18,B    4",CB,0,,MH,6
8833,15-10-19,OSO,*02CAGB,CAS,9447,25.1,4.23,3.55,"OV   5,B    1",AM,0,,MH,11
8771,15-10-07,OSO,*02CAO,CAS,9684,26.6,3.9,3.62,"OV  14,B    4",JJ,0,,MH,12
88232,15-10-15,OSO,*02CAO,CAS,2340,26.6,3.9,3.62,"OV  18,B    4",CB,0,,MH,3
8735,15-10-02,OSO,*02CAP,CAS,14143,26.5,3.9,3.67,"OV   2,B    3",JJ,0,,MH,17
87621,15-10-06,OSO,*02CAP,CAS,11430,27.8,3.9,3.67,"OV  15,B    3",JJ,0,HP,MH,14
88601,15-10-23,OSO,*02CAS,CAS,11510,28.1,3.98,3.56,"OV   4,B    4",R,0,MP,MH,10
88602,15-10-23,OSO,*02CAS,CAS,900,28.1,3.98,3.56,OV   4,R,0,HP-GLEANING,MH,2
87611,15-10-06,OSO,*02CFHA,CAF,8533,29.4,3.55,3.63,"OV  16,B    1",JJ,0,HP,MH,11
8802,15-10-13,OSO,*02CFHB,CAF,10624,27.5,3.6,3.63,"928,B    3",CB,0,,MH,13
88495,15-10-21,OSO,*02CFHB,CAF,5245,28.5,3.44,3.6,"909,OV   6,B    3",R,0,HP,MH,6
87612,15-10-06,OSO,*02CFT,CAF,5620,29.4,3.61,3.78,"OV  16,B    1,B    3",JJ,0,HP,MH,7
8775,15-10-08,OSO,*02CFT,CAF,6668,26.5,3.6,3.78,"OV  12,B    4",R,0,,MH,8
8462,15-08-27,OSO,*02CHCB,CHD,26910,24.1,5.5,3.4,XPA,ANDY,0,HP,MH,30
8460,15-08-26,OSO,*02CHCB,CHD,29570,23.9,6.1,3.44,,R,0,HP,MH,32
8472,15-09-02,OSO,*02CHD,CHD,40280,23.9,6.2,3.46,"XPA,RPA",DB,0,,MH,40
8478,15-09-03,OSO,*02CHE,CHD,40945,24.2,6.2,3.56,"XPA,RPA",RT,13,MP,MH,43
84982,15-09-08,OSO,*02CHE,CHD,898,24.2,5.3,3.52,XPA320,WA,13,hp - gleaning,MH,1
8593,15-09-21,OSO,*02MEIA,MER,14047,28.5,3.2,3.81,"OV   7,B    2",,12,,MH,17
8594,15-09-21,OSO,*02MEIA,MER,14280,27.3,3.2,3.81,"OV   8,B    2",,12,,MH,17
86252,15-09-23,OSO,*02MEIA,MER,2909,27.3,3.2,3.81,"OV  11,B    1",,0,,MH,4
86641,15-09-25,OSO,*02MEIA,MER,11445,28.5,3.2,3.81,XPA,R,0,MP,MH,12
87192,15-10-01,OSO,*02MEIA,MER,908,25.9,4.2,3.69,459,,14,hp-gleaning,MH,1
86563,15-09-25,OSO,*02MEIC,MER,5453,29.2,3.21,3.63,"936,B    2",JP,0,MP,MH,6
86642,15-09-25,OSO,*02MEIC,MER,13160,29.2,3.21,3.63,XPA,R,0,MP,MH,13
87191,15-10-01,OSO,*02MEIC,MER,908,25.9,4.2,3.69,459,,0,hp-gleaning,MH,1
8656,15-09-25,OSO,*02MEJA,MER,1817,28,3.1,3.71,XPA,JP,0,,MH,2
86091,15-09-22,OSO,*02MEJB,MER,14212,28,3.1,3.71,"OV   9,B    1",R,0,,MH,16
86251,15-09-23,OSO,*02MEJB,MER,4180,28,3.1,3.71,"OV  11,B    1",,0,,MH,5
