date,time,Code,Owner,Grower,Vineyard,blockID,variety,region,ID,product,brix,ta,ph,malic,alpha.amino,ammonia,calculated,potassium, 
18-10-05,1:44:59 PM,221,Mission Hill Family Estate,Sebastian Farms,SF16,16MEH,ME,BN,BS 221,Must,24.4,5,3.38,2.17,108,26,129,1316,
18-10-05,1:46:07 PM,433,Mission Hill Family Estate,Sebastian Farms,SF19,19MECB,ME,OW,BS 433,Must,23.6,5.4,3.28,1.85,109,31,134,1109,
18-10-05,1:44:27 PM,570,Mission Hill Family Estate,Sebastian Farms,SF04,04CFCB,CF,BS,BS 570,Must,26.2,5.3,3.31,1.38,77,33,104,1009,
18-10-05,1:46:19 PM,645,Mission Hill Family Estate,"Sidhu, Gurmail",Contracted Grower,SIDMEC,ME,OL,BS 645,Must,20.8,8.1,3.01,2.15,53,30,78,1067,
18-10-05,1:44:14 PM,69,Mission Hill Family Estate,Sebastian Farms,SF04,04MEA,ME,BS,BS 69,Must,25,4.7,3.37,1.65,84,20,101,1150,
18-09-07,2:09:21 PM,101,Mission Hill Family Estate,Sebastian Farms,SF09,09VDC,VD,BS,BS101,Must,19.2,9.7,2.93,2.7,43,28,66,1266,
18-09-28,6:17:19 PM,101,Mission Hill Family Estate,Sebastian Farms,SF09,09VDC,VD,BS,BS101,Must,22.3,7.8,3.2,2.28,56,14,68,1467,
18-09-06,5:01:27 PM,102,Mission Hill Family Estate,Sebastian Farms,SF10,10PBW,PB,BN,BS102,Must,16.9,10.2,2.99,3.69,57,56,103,1236,
18-09-13,4:30:35 PM,102,Mission Hill Family Estate,Sebastian Farms,SF10,10PBW,PB,BN,BS102,Must,19.7,8.6,3.18,3.29,63,38,95,1521,
18-09-20,4:42:21 PM,102,Mission Hill Family Estate,Sebastian Farms,SF10,10PBW,PB,BN,BS102,Must,20,8.1,3.2,2.8,72,39,104,1427,
18-09-06,5:00:24 PM,103,Mission Hill Family Estate,Sebastian Farms,SF10,10PBS,PB,BN,BS103,Must,17.7,10.3,2.97,3.59,59,64,111,1156,
18-09-13,4:30:03 PM,103,Mission Hill Family Estate,Sebastian Farms,SF10,10PBS,PB,BN,BS103,Must,18.1,9.5,3.04,3.03,51,58,99,1258,
18-09-20,4:42:52 PM,103,Mission Hill Family Estate,Sebastian Farms,SF10,10PBS,PB,BN,BS103,Must,21.5,8.3,3.11,2.52,66,43,101,1256,
18-08-27,5:29:40 PM,104,Mission Hill Family Estate,Sebastian Farms,SF10,10PGC,PG,BN,BS104,Must,19.1,9.5,3.08,3.57,70,68,126,1349,
18-08-30,2:59:22 PM,104,Mission Hill Family Estate,Sebastian Farms,SF10,10PGC,PG,BN,BS104,Must,20.7,8.5,3.16,2.69,84,67,139,1411,
18-09-05,7:38:43 PM,104,Mission Hill Family Estate,Sebastian Farms,SF10,10PGC,PG,BN,BS104,Must,20.8,8.5,3.11,2.54,55,47,94,1286,
18-09-12,11:16:44 AM,104,Mission Hill Family Estate,Sebastian Farms,SF10,10PGC,PG,BN,BS104,Must,22.7,7.1,3.23,2.32,65,38,97,1398,
18-08-23,12:57:23 PM,104,Mission Hill Family Estate,Sebastian Farms,SF10,10PGC,PG,BN,BS104- 10PGC,Must,19.2,6.8,3.33,2.87,122,59,171,1640,
18-08-30,2:58:51 PM,105,Mission Hill Family Estate,Sebastian Farms,SF10,10PBX,PB,BN,BS105,Must,15.9,12.4,2.95,5.19,53,65,107,1492,
18-09-06,4:59:52 PM,105,Mission Hill Family Estate,Sebastian Farms,SF10,10PBX,PB,BN,BS105,Must,18.8,9.9,3.05,3.74,65,52,108,1393,
18-09-13,4:29:31 PM,105,Mission Hill Family Estate,Sebastian Farms,SF10,10PBX,PB,BN,BS105,Must,19.5,8.8,3.13,3.37,59,35,87,1459,
18-09-20,4:41:49 PM,105,Mission Hill Family Estate,Sebastian Farms,SF10,10PBX,PB,BN,BS105,Must,20.7,8.4,3.16,2.92,71,43,107,1373,
18-10-18,6:43:03 PM,106,Mission Hill Family Estate,Sebastian Farms,SF10,10CSK,CS,BN,BS106,Must,23.2,6.5,3.37,2.13,114,54,158,1196,
18-10-23,7:02:53 PM,106,Mission Hill Family Estate,Sebastian Farms,SF10,10CSK,CS,BN,BS106,Must,22.1,6.2,3.34,1.96,106,46,144,1401,
18-10-29,9:11:09 PM,106,Mission Hill Family Estate,Sebastian Farms,SF10,10CSK,CS,BN,BS106,Must,23.4,6.9,3.35,2.39,106,48,146,1334,
18-10-18,6:42:32 PM,107,Mission Hill Family Estate,Sebastian Farms,SF10,10CSE,CS,BN,BS107,Must,21.7,5.7,3.51,2.07,135,67,190,1262,
18-10-24,9:21:50 PM,107,Mission Hill Family Estate,Sebastian Farms,SF10,10CSE,CS,BN,BS107,Must,20.6,6.3,3.42,1.75,128,62,179,1372,
18-10-29,9:10:37 PM,107,Mission Hill Family Estate,Sebastian Farms,SF10,10CSE,CS,BN,BS107,Must,22.3,6.4,3.37,1.69,95,54,139,1285,
18-10-01,8:21:00 PM,108,Mission Hill Family Estate,Sebastian Farms,SF10,10MEJ,ME,BN,BS108,Must,21.9,6.5,3.41,2.06,151,47,190,1389,
18-10-15,8:43:17 PM,108,Mission Hill Family Estate,Sebastian Farms,SF10,10MEJ,ME,BN,BS108,Must,21.3,5.8,3.6,1.86,201,70,258,1542,
18-09-19,2:14:25 PM,112,Mission Hill Family Estate,Sebastian Farms,SF10,10RST,RS,BN,BS112,Must,19.8,11.4,2.78,3.37,24,39,56,1194,
18-09-19,2:15:10 PM,113,Mission Hill Family Estate,Sebastian Farms,SF10,10RSF,RS,BN,BS113,Must,21.1,11.3,2.83,3.52,58,81,125,1132,
18-08-30,3:00:25 PM,114,Mission Hill Family Estate,Sebastian Farms,SF10,10PGR,PG,BN,BS114,Must,19,10.3,3.05,3.82,84,80,150,1365,
18-09-05,7:39:46 PM,114,Mission Hill Family Estate,Sebastian Farms,SF10,10PGR,PG,BN,BS114,Must,20.2,9.1,3.07,2.82,58,55,103,1321,
18-09-12,11:17:29 AM,114,Mission Hill Family Estate,Sebastian Farms,SF10,10PGR,PG,BN,BS114,Must,21,7.7,3.18,2.16,74,66,128,1263,
18-08-30,2:59:54 PM,115,Mission Hill Family Estate,Sebastian Farms,SF10,10PGD,PG,BN,BS115,Must,19.9,8.6,3.15,2.75,87,74,148,1354,
18-09-05,7:39:15 PM,115,Mission Hill Family Estate,Sebastian Farms,SF10,10PGD,PG,BN,BS115,Must,21.4,7.8,3.17,2.28,57,46,95,1306,
18-09-12,11:16:57 AM,115,Mission Hill Family Estate,Sebastian Farms,SF10,10PGD,PG,BN,BS115,Must,21.8,7.1,3.21,2.07,62,42,97,1271,
18-09-12,11:24:51 AM,116,Mission Hill Family Estate,Sebastian Farms,SF10,10PNG,PN,BN,BS116,Must,20.1,7.3,3.24,2.4,106,78,170,1223,
18-08-30,3:00:57 PM,117,Mission Hill Family Estate,Sebastian Farms,SF10,10PGV,PG,BN,BS117,Must,19.2,10.1,3.06,3.82,96,91,170,1341,
18-09-05,7:40:18 PM,117,Mission Hill Family Estate,Sebastian Farms,SF10,10PGV,PG,BN,BS117,Must,18.4,9.8,3.02,3.07,39,48,79,1274,
18-09-12,11:18:00 AM,117,Mission Hill Family Estate,Sebastian Farms,SF10,10PGV,PG,BN,BS117,Must,22,7.2,3.22,2.55,72,47,111,1290,
18-09-13,4:31:06 PM,118,Mission Hill Family Estate,Sebastian Farms,SF10,10VIAA,VI,BN,BS118,Must,18,8.5,3.22,3.3,87,65,140,1482,
18-09-28,6:17:51 PM,118,Mission Hill Family Estate,Sebastian Farms,SF10,10VIAA,VI,BN,BS118,Must,20.5,6.5,3.44,2.4,102,50,143,1590,
18-10-15,8:42:45 PM,118,Mission Hill Family Estate,Sebastian Farms,SF10,10VIAA,VI,BN,BS118,Must,20.2,6.6,3.47,2.15,132,57,179,1568,
