"company","vineyard","block","variety","year","month","day","event","dates","dayofyear"
"Arterra","Bearcub","A","Shiraz","2018",4,"28","budburst","2018-4-28","118"
"Arterra","Bearcub","B","Cabernet Sauvignon","2018",5,"02","budburst","2018-5-02","122"
"Arterra","Bearcub","C","Cabernet Sauvignon","2018",5,"02","budburst","2018-5-02","122"
"Arterra","Bearcub","D","Cabernet Sauvignon","2018",5,"01","budburst","2018-5-01","121"
"Arterra","Bearcub","E","Cabernet Sauvignon","2018",5,"02","budburst","2018-5-02","122"
"Arterra","Bearcub","F","Shiraz","2018",4,"28","budburst","2018-4-28","118"
"Arterra","Bearcub","G","Merlot","2018",5,"05","budburst","2018-5-05","125"
"Arterra","Bearcub","H","Merlot","2018",5,"02","budburst","2018-5-02","122"
"Arterra","Bearcub","I","Cabernet Franc","2018",4,"27","budburst","2018-4-27","117"
"Arterra","Bearcub","J","Shiraz","2018",4,"28","budburst","2018-4-28","118"
"Arterra","Bearcub","K","Zinfandel","2018",5,"04","budburst","2018-5-04","124"
"Arterra","Bearcub","L","Pinot Noir","2018",5,"02","budburst","2018-5-02","122"
"Arterra","Bearcub","M","Sauvignon Blanc","2018",4,"28","budburst","2018-4-28","118"
"Arterra","Bearcub","N","Sauvignon Blanc","2018",4,"28","budburst","2018-4-28","118"
"Arterra","Bearcub","O","Shiraz","2018",4,"28","budburst","2018-4-28","118"
"Arterra","Bearcub","P","Pinot Noir","2018",5,"01","budburst","2018-5-01","121"
"Arterra","Bearcub","Q","Cabernet Sauvignon","2018",4,"30","budburst","2018-4-30","120"
"Arterra","Bearcub","R","Sauvignon Blanc","2018",4,"27","budburst","2018-4-27","117"
"Arterra","BSV1","4C","Merlot","2018",4,"27","budburst","2018-4-27","117"
"Arterra","BSV1","4D","Chardonnay","2018",4,"25","budburst","2018-4-25","115"
"Arterra","BSV1","4G","Cabernet Franc","2018",4,"24","budburst","2018-4-24","114"
"Arterra","BSV1","5A","Merlot","2018",4,"27","budburst","2018-4-27","117"
"Arterra","BSV1","5B1","Malbec","2018",4,"27","budburst","2018-4-27","117"
"Arterra","BSV1","5B2","Zinfandel","2018",4,"29","budburst","2018-4-29","119"
"Arterra","BSV1","5B3","Tempranillo","2018",4,"26","budburst","2018-4-26","116"
