"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.60","49.46","PENTICTON A","1126150","2002-01-01","2002","01","01","","4.3","","0.4","","2.4","","15.6","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2002-01-02","2002","01","02","","4.4","","0.2","","2.3","","15.7","","0.0","","0.2","","1.4","","1.6","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2002-01-03","2002","01","03","","5.3","","2.5","","3.9","","14.1","","0.0","","0.0","T","0.0","T","0.0","T","0","","18","E","43","E"
"-119.60","49.46","PENTICTON A","1126150","2002-01-04","2002","01","04","","3.4","","1.9","","2.7","","15.3","","0.0","","0.0","","0.0","","0.0","","0","","18","E","39","E"
"-119.60","49.46","PENTICTON A","1126150","2002-01-05","2002","01","05","","4.2","","1.9","","3.1","","14.9","","0.0","","0.0","","0.0","","0.0","","0","","17","E","41","E"
"-119.60","49.46","PENTICTON A","1126150","2002-01-06","2002","01","06","","5.9","","3.4","","4.7","","13.3","","0.0","","0.6","","0.0","","0.6","","0","","18","E","54","E"
"-119.60","49.46","PENTICTON A","1126150","2002-01-07","2002","01","07","","10.1","","5.6","","7.9","","10.1","","0.0","","1.6","","0.0","","1.6","","0","","18","E","56","E"
"-119.60","49.46","PENTICTON A","1126150","2002-01-08","2002","01","08","","9.2","","3.1","","6.2","","11.8","","0.0","","0.4","","0.0","","0.4","","0","","18","E","44","E"
"-119.60","49.46","PENTICTON A","1126150","2002-01-09","2002","01","09","","6.5","","-2.0","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2002-01-10","2002","01","10","","5.3","","-0.2","","2.6","","15.4","","0.0","","1.0","","0.0","","1.0","","0","","18","E","37","E"
"-119.60","49.46","PENTICTON A","1126150","2002-01-11","2002","01","11","","7.4","","-0.6","","3.4","","14.6","","0.0","","0.0","","0.0","","0.0","","0","","18","","46",""
