Date;Time;Degree Days QGV F5B4 (°DC);Degree Days (°DC);Degree Days QGV ME F2B7 (°DC);Degree Days OP F1B3 (°DC);Degree Days PAT (°DC);Degree Days Osoyoos (°DC);Degree Days Martyna RI B2 (°DC);Degree Days Mannhardt F3B3 (°DC);Degree DaysMannhardt F2B5 (°DC);Degree Days BFV (°DC);Degree Days WP (°DC)
10/1/16;11:00:00 PM;4.8;5.4;5.2;4.9;4.7;3.7;4.5;4.5;4.7;3.7;4.0
10/2/16;11:00:00 PM;2.9;3.2;3.0;3.1;2.7;3.6;3.1;3.3;3.0;2.7;2.7
10/3/16;11:00:00 PM;2.4;2.5;2.4;2.6;1.9;3.9;2.3;2.4;2.4;1.9;1.8
10/4/16;11:00:00 PM;2.5;2.8;2.6;2.7;2.2;2.7;2.3;3.0;2.5;2.1;2.0
10/5/16;11:00:00 PM;3.0;3.0;3.3;3.1;2.4;3.7;2.9;3.2;2.7;2.3;2.5
10/6/16;11:00:00 PM;2.3;2.1;2.5;2.2;1.7;2.1;1.7;2.3;2.0;1.5;1.6
10/7/16;11:00:00 PM;4.2;4.0;4.5;4.1;3.2;4.9;3.3;4.1;4.0;3.5;2.9
10/8/16;11:00:00 PM;0.0;0.2;0.0;0.1;0.0;1.3;0.0;0.0;0.0;0.0;0.0
10/9/16;11:00:00 PM;1.1;1.0;1.3;1.2;0.8;3.0;1.1;1.2;1.3;0.7;0.7
10/10/16;11:00:00 PM;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0
10/11/16;11:00:00 PM;0.3;0.2;0.3;0.3;0.1;0.8;0.3;0.3;0.3;0.0;0.1
10/12/16;11:00:00 PM;0.2;0.2;0.4;0.3;0.3;0.6;0.4;0.5;0.3;0.1;0.2
10/13/16;11:00:00 PM;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0
10/14/16;11:00:00 PM;1.6;1.5;1.8;1.7;1.6;1.9;1.7;1.6;1.6;1.2;1.6
10/15/16;11:00:00 PM;1.3;1.2;1.6;1.4;0.9;1.1;1.0;1.4;1.3;0.9;0.8
10/16/16;11:00:00 PM;1.4;1.2;1.5;1.3;0.9;1.2;0.9;1.2;1.2;0.8;0.8
10/17/16;11:00:00 PM;0.0;0.1;0.1;0.1;0.1;1.4;0.0;0.0;0.0;0.0;0.0
10/18/16;11:00:00 PM;1.0;0.8;1.1;1.0;0.6;0.4;0.7;0.9;0.9;0.5;0.5
10/19/16;11:00:00 PM;1.5;1.3;1.7;1.4;0.8;0.7;0.9;1.5;1.1;0.7;0.7
10/20/16;11:00:00 PM;0.7;0.6;0.8;0.8;0.5;0.7;0.6;0.7;0.6;0.4;0.4
10/21/16;11:00:00 PM;0.4;0.4;0.6;0.5;0.4;0.6;0.6;0.6;0.4;0.2;0.3
10/22/16;11:00:00 PM;1.3;1.3;1.5;1.2;0.7;1.1;0.9;1.3;1.1;0.8;0.5
10/23/16;11:00:00 PM;1.1;1.0;1.2;1.2;0.7;1.1;1.1;1.3;1.0;0.6;0.7
10/24/16;11:00:00 PM;0.7;0.5;0.8;0.7;0.3;2.0;0.5;0.8;0.6;0.3;0.3
10/25/16;11:00:00 PM;1.4;1.5;1.3;1.5;1.2;2.6;1.3;1.4;1.3;1.2;1.0
10/26/16;11:00:00 PM;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10/27/16;11:00:00 PM;0.3;0.2;0.4;0.3;0.4;1.2;0.4;0.4;0.3;0.1;0.3
10/28/16;11:00:00 PM;0.5;0.5;0.6;0.6;0.4;1.1;0.5;0.5;0.4;0.3;0.4
10/29/16;11:00:00 PM;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10/30/16;11:00:00 PM;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0
