Date;Time;F5B4 - Precipitation (SUM) (mm);Precipitation (SUM) (mm);F2B7 - Precipitation (SUM) (mm);OSO - Precipitation (SUM) (mm);WP Precipitation (SUM) (mm);WP PG - Precipitation (SUM) (mm)
1/2/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/3/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/4/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/5/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/6/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/7/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/8/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/9/13;11:59:00 PM;12.8;*;0.0;0.2;*;*
1/10/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/11/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/12/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/13/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/14/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/15/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/16/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/17/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/18/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/19/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/20/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/21/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/22/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/23/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/24/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/25/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/26/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/27/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/28/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
1/29/13;11:59:00 PM;0.0;*;0.0;1.4;*;*
1/30/13;11:59:00 PM;2.8;*;0.0;1.6;*;*
1/31/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
2/1/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
2/2/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
2/3/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
2/4/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
2/5/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
2/6/13;11:59:00 PM;0.2;*;0.0;0.6;*;*
2/7/13;11:59:00 PM;2.6;*;0.0;0.8;*;*
2/8/13;11:59:00 PM;0.0;*;0.0;0.2;*;*
2/9/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
2/10/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
2/11/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
2/12/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
2/13/13;11:59:00 PM;0.4;*;0.0;0.0;*;*
2/14/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
2/15/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
2/16/13;11:59:00 PM;1.0;*;0.0;0.4;*;*
2/17/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
2/18/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
2/19/13;11:59:00 PM;0.6;*;0.0;0.0;*;*
2/20/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
2/21/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
2/22/13;11:59:00 PM;0.0;*;0.0;3.6;*;*
2/23/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
2/24/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
2/25/13;11:59:00 PM;1.2;*;0.0;0.2;*;*
2/26/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
2/27/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
2/28/13;11:59:00 PM;0.2;*;0.0;0.2;*;*
3/1/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
3/2/13;11:59:00 PM;0.0;*;0.0;0.8;*;*
3/3/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
3/4/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
3/5/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
3/6/13;11:59:00 PM;5.8;*;0.0;5.8;*;*
3/7/13;11:59:00 PM;0.0;*;0.0;0.2;*;*
3/8/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
3/9/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
3/10/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
3/11/13;11:59:00 PM;0.0;*;0.0;0.0;*;*
3/12/13;11:59:00 PM;7.4;*;0.0;0.4;*;*
