Vineyard,Variety,2letterCode,3letterCode,CodesMatch,2codeNameMatch,years,notes,CodesMatch = 2 and 3 letter codes match
MH 1,Merlot,ME,MER,y,y,,,2codeNameMatch = the 2 letter code is varified in the Phenology dataset
,Pinot noir,PN,PNN,y,y,,,
,Cabernet franc,CF,CAF,y,y,,,
MH2,Cabernet sauv,CA,CAS,y,y,,,
,Sauv blanc,SB,SBL,y,y,,,
,Chardonnay,CH,CHD,y,y,,,
,Merlot,,,,,,,
,Shiraz,SZ,SHZ,y,y,,,
,Cabernet franc,,,,,,,
MH3,Pinot noir,,,,,,,
,Pinot blanc,PB,PBL,y,y,,,
,Merlot,,,,,,,
,Cabernet sauv,,,,,,,
,Chardonnay,,,,,,,
MH4,Merlot,,,,,,,
,Pinot noir,,,,,,,
,Cabernet franc,,,,,,,
MH5,Cabernet sauv,,,,,,,
,Syrah,SY,SYR,,,,match sz on first look - look at more data,
,Chardonnay,,,,,,,
MH6,Shiraz,,,,,,,
,Cabernet sauv,,,,,,,
,Pinot gris,PG,PGR,y,y,,,
,Chardonnay,,,,,,,
,Cabernet franc,,,,,,,
MH7,Riesling,,,,,,,
,Pinot noir,,,,,,,
MH8,Chardonnay,,,,,,,
,Merlot,,,,,,,
,Pinot gris,,,,,,,
MH9,Merlot,,,,,,,
,Pinot gris,,,,,,,
,Merlot,,,,,,,
,Shiraz,,,,,,,
,Petit verdot,PV,PVD,y,y,,,
,Cabernet franc,,,,,,,
MH10,Viognier,VI,VIO,y,y,,,
,Chardonnay,,,,,,,
,Sauvignon blanc,,,,,,,
,Pinot gris,,,,,,,
,Cabernet sauv,,,,,,,
,Riesling,RS,RSL,y,y,,,
,Pinot noir,,,,,,,
,Merlot,,,,,,,
,Riesling,,,,,,,
,Shiraz,,,,,,,
,Pinot blanc,,,,,,,
MH11,Chardonnay,,,,,,,
,Pinot noir,,,,,,,
,Gamay noir,,,,,,,
,Cabernet franc,,,,,,,
,Cabernet sauv,,,,,,,
,Pinot blanc,,,,,,,
,Sauvignon blanc,,,,,,,
,Merlot,,,,,,,
MH12,Pinot noir,,,,,,,
,Dunkelfelder,,,,,,,
,Pinot noir,,,,,,,
,Cabernet sauv,,,,,,,
,Shiraz,,,,,,,
,Pinot blanc,,,,,,,
,Semillon,SM,SEM,y,y,,,
,Pinot noir,,,,,,,
,Merlot,,,,,,,
,Shiraz,,,,,,,
MH13,Pinot noir,,,,,,,
,Chardonnay,,,,,,,
,Riesling,,,,,,,
MH15,Pinot noir,,,,,,,
,Viognier,,,,,,,
,Vidal,VD,VID,y,y,,,
,Chardonnay,,,,,,,
,Gewurztraminer,GW,GZT,y,,,not in phen data,
,Riesling,,,,,,,
,Merlot,,,,,,,
,Pinot blanc,,,,,,,
,Pinot gris,,,,,,,
,Chardonnay,,,,,,,
MH16,Muscat ottonel,MU,MUS and MSC,y,y,,MSC also matched MU,
,Sauvignon blanc,,,,,,,
,Riesling,,,,,,,
,Semillon,SM,SEM,y,y,,,
,Cabernet franc,,,,,,,
,Merlot,,,,,,,
,Semillon,,,,,,,
,Cabernet sauv,,,,,,,
,Shiraz,,,,,,,
,Pinot gris,,,,,,,
MH17,Cabernet sauv,,,,,,,
,Merlot,,,,,,,
,Sauvignon blanc,,,,,,,
MH18,Pinot gris,,,,,,,
,Riesling,,,,,,,
,Merlot,,,,,,,
MH19,Viognier,,,,,,,
,Merlot,,,,,,,
,Sauvignon blanc,,,,,,,
MH20,Cabernet sauv,,,,,,,
,Shiraz,,,,,,,
,Petit verdot,,,,,,,
MH21,Petit verdot,,,,,,,
,Sauvignon blanc,,,,,,,
,Cabernet franc,,,,,,,
MH22,Pinot noir,,,,,,,
,Pinot blanc,,,,,,,
,Riesling,,,,,,,
MH23,Merlot,,,,,,,
MH24,Pinot noir,,,,,,,
MH25,Pinot noir,,,,,,,
MH26,Cabernet sauv,,,,,,,
,Merlot,,,,,,,
,Chardonnay,,,,,,,
,GA (Gamay noir?),GA,GAM,y,y,,"Also have GN in our records, Gamay faeux also matched GA",
,Cabernet franc,,,,,,,
,AL,,ALI (Alicante Bouschet),y,,,ALI and Alicante in MH27 but not MH26. Pat suggested Albarino but not listed in phen data,
MH31,Cabernet sauv,,,,,,,
,Malbec,MB,,,y,,,
,Petit verdot,,,,,,,
Mikulic,Traminer,,,,,,,
,Pinot gris,,,,,,,
Miller,Riesling,,,,,,,
,Merlot,,,,,,,
,Coronation,,,,,,,
,Chardonnay,,,,,,,
Unknowns,,BC,BCC,y,,only in 2004/5,,
,,CB,CBL,y,,"2004, 2005,2006,2007,2012,2013",,
,Ehrenfelser?,EH,EHR,y,,"2008, 2015",no Ehrenfelser in phen data,
,,FC,FCL,y,,"2011, 2012",,
,Marechal Foch?,,FOC,,,"2004 ,2006,2007,2008,2009,2013, 2014",2 letter code = MF and FO? No Marechal Foch in phen data,
,Moscato?,MO?,,,,2018,,
,,MG,,,,2018,,
,Barbera,BA,,,y,2018,"no data, just NA?",
,Sangiovese,SA,,,y,2018,"no data, just NA?",
,Gamay feaux,GF,,,n,2018,"no data, just NA? pheno data is GA code but that's also Gamay noir",
,,GN,,,,2018,,
