,vineyard,block,row.number,plantID
205,McIntyre,Q,68,205
206,McIntyre,Q,68,206
207,McIntyre,Q,68,207
208,McIntyre,Q,68,208
209,McIntyre,Q,68,209
210,McIntyre,Q,68,210
211,McIntyre,Q,69,211
212,McIntyre,Q,69,212
213,McIntyre,Q,69,213
214,McIntyre,Q,69,214
215,McIntyre,Q,69,215
216,McIntyre,Q,69,216
241,McIntyre,O,29,241
242,McIntyre,O,29,242
243,McIntyre,O,29,243
244,McIntyre,O,29,244
245,McIntyre,O,29,245
246,McIntyre,O,29,246
247,McIntyre,O,28,247
248,McIntyre,O,28,248
249,McIntyre,O,28,249
250,McIntyre,O,28,250
251,McIntyre,O,28,251
252,McIntyre,O,28,252
265,McIntyre,J,110,265
266,McIntyre,J,110,266
267,McIntyre,J,110,267
268,McIntyre,J,110,268
269,McIntyre,J,110,269
270,McIntyre,J,110,270
271,McIntyre,J,109,271
272,McIntyre,J,109,272
273,McIntyre,J,109,273
274,McIntyre,J,109,274
275,McIntyre,J,109,275
276,McIntyre,J,109,276
277,McIntyre,J,23,277
278,McIntyre,J,23,278
279,McIntyre,J,23,279
280,McIntyre,J,23,280
281,McIntyre,J,23,281
282,McIntyre,J,23,282
283,McIntyre,J,22,283
284,McIntyre,J,22,284
285,McIntyre,J,22,285
286,McIntyre,J,22,286
287,McIntyre,J,22,287
288,McIntyre,J,22,288
289,NK'MIP,C,29,289
290,NK'MIP,C,29,290
291,NK'MIP,C,29,291
292,NK'MIP,C,29,292
293,NK'MIP,C,29,293
294,NK'MIP,C,29,294
295,NK'MIP,C,28,295
296,NK'MIP,C,28,296
297,NK'MIP,C,28,297
298,NK'MIP,C,28,298
299,NK'MIP,C,28,299
300,NK'MIP,C,28,300
301,NK'MIP,C,29,301
302,NK'MIP,C,29,302
303,NK'MIP,C,29,303
304,NK'MIP,C,29,304
305,NK'MIP,C,29,305
306,NK'MIP,C,29,306
307,NK'MIP,C,28,307
308,NK'MIP,C,28,308
309,NK'MIP,C,28,309
310,NK'MIP,C,28,310
311,NK'MIP,C,28,311
312,NK'MIP,C,28,312
325,NK'MIP,G,45,325
326,NK'MIP,G,45,326
327,NK'MIP,G,45,327
328,NK'MIP,G,45,328
329,NK'MIP,G,45,329
330,NK'MIP,G,45,330
331,NK'MIP,G,44,331
332,NK'MIP,G,44,332
333,NK'MIP,G,44,333
334,NK'MIP,G,44,334
335,NK'MIP,G,44,335
336,NK'MIP,G,44,336
349,NK'MIP,G,21,349
350,NK'MIP,G,21,350
351,NK'MIP,G,21,351
352,NK'MIP,G,21,352
353,NK'MIP,G,21,353
354,NK'MIP,G,21,354
355,NK'MIP,G,22,355
356,NK'MIP,G,22,356
357,NK'MIP,G,22,357
358,NK'MIP,G,22,358
359,NK'MIP,G,22,359
360,NK'MIP,G,22,360
361,NK'MIP,B,54,361
362,NK'MIP,B,54,362
363,NK'MIP,B,54,363
364,NK'MIP,B,54,364
365,NK'MIP,B,54,365
366,NK'MIP,B,54,366
367,NK'MIP,B,53,367
368,NK'MIP,B,53,368
369,NK'MIP,B,53,369
370,NK'MIP,B,53,370
371,NK'MIP,B,53,371
372,NK'MIP,B,53,372
385,NK'MIP,B,18,385
386,NK'MIP,B,18,386
387,NK'MIP,B,18,387
388,NK'MIP,B,18,388
389,NK'MIP,B,18,389
390,NK'MIP,B,18,390
391,NK'MIP,B,19,391
392,NK'MIP,B,19,392
393,NK'MIP,B,19,393
394,NK'MIP,B,19,394
395,NK'MIP,B,19,395
396,NK'MIP,B,19,396
397,NK'MIP,F,5,397
398,NK'MIP,F,5,398
399,NK'MIP,F,5,399
400,NK'MIP,F,5,400
401,NK'MIP,F,5,401
402,NK'MIP,F,5,402
403,NK'MIP,F,6,403
404,NK'MIP,F,6,404
405,NK'MIP,F,6,405
406,NK'MIP,F,6,406
407,NK'MIP,F,6,407
408,NK'MIP,F,6,408
422,Dark Horse,G,5,422
423,Dark Horse,G,5,423
424,Dark Horse,G,5,424
425,Dark Horse,G,5,425
426,Dark Horse,G,5,426
428,Dark Horse,G,4,428
429,Dark Horse,G,4,429
430,Dark Horse,G,4,430
431,Dark Horse,G,4,431
432,Dark Horse,G,4,432
446,Dark Horse,G,11,446
447,Dark Horse,G,11,447
448,Dark Horse,G,11,448
449,Dark Horse,G,11,449
450,Dark Horse,G,11,450
452,Dark Horse,G,10,452
453,Dark Horse,G,10,453
454,Dark Horse,G,10,454
455,Dark Horse,G,10,455
456,Dark Horse,G,10,456
471,McIntyre,C,38,471
472,McIntyre,C,38,472
473,McIntyre,C,38,473
474,McIntyre,C,38,474
477,McIntyre,C,39,477
478,McIntyre,C,39,478
479,McIntyre,C,39,479
480,McIntyre,C,39,480
483,McIntyre,C,39,483
484,McIntyre,C,39,484
