plantID,vineyard,block,variety,clone,rootstock,roworientation,irrigation,row.number,plant.position,rowEndtoCountFrom,training.pruning,cordon.marked,date.flagged,GPSpoint,notes
421,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,5,7,south,cane,south,8-May-20,DH-G4e,
422,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,5,8,south,cane,north,8-May-20,DH-G4e,
423,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,5,9,south,cane,north,8-May-20,DH-G4e,
424,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,5,10,south,cane,south,8-May-20,DH-G4e,
425,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,5,11,south,cane,north,8-May-20,DH-G4e,
426,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,5,12,south,cordon,north,8-May-20,DH-G4e,
427,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,4,9,south,cane,south,8-May-20,DH-G4e,
428,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,4,10,south,cane,south,8-May-20,DH-G4e,
429,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,4,11,south,cane,north,8-May-20,DH-G4e,
430,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,4,12,south,cane,north,8-May-20,DH-G4e,
431,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,4,13,south,cane,north,8-May-20,DH-G4e,
432,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,4,14,south,cane,south,8-May-20,DH-G4e,
445,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,11,52,north,cane/cordon,north,8-May-20,DH-G10mid,
446,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,11,53,north,cane/cordon,north,8-May-20,DH-G10mid,
447,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,11,54,north,cane/cordon,north,8-May-20,DH-G10mid,
448,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,11,55,north,cordon,south,8-May-20,DH-G10mid,
449,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,11,56,north,cordon,south,8-May-20,DH-G10mid,
450,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,11,57,north,cane/cordon,north,8-May-20,DH-G10mid,
451,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,10,51,north,cordon,south,8-May-20,DH-G10mid,
452,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,10,52,north,cane/cordon,south,8-May-20,DH-G10mid,
453,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,10,53,north,cane,south,8-May-20,DH-G10mid,
454,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,10,54,north,cane,north,8-May-20,DH-G10mid,
455,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,10,55,north,cane,north,8-May-20,DH-G10mid,
456,Dark Horse,G,Pinot noir,115,own,E-W,drip and low sprinklers,10,56,north,cane,east,8-May-20,DH-G10mid,
899,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,8,7,south,cordon,north,11-May-20,DH-J8s,
900,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,8,8,south,cordon,north,11-May-20,DH-J8s,
901,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,8,9,south,cordon,south,11-May-20,DH-J8s,
902,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,8,10,south,cane/cordon,north,11-May-20,DH-J8s,
903,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,8,11,south,cordon,south,11-May-20,DH-J8s,
904,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,8,12,south,cane/cordon,north,11-May-20,DH-J8s,
905,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,7,7,south,cordon,south,11-May-20,DH-J8s,
906,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,7,8,south,cane/cordon,south,11-May-20,DH-J8s,
907,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,7,9,south,cordon,south,11-May-20,DH-J8s,
908,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,7,10,south,cordon,north,11-May-20,DH-J8s,
909,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,7,11,south,cane/cordon,south,11-May-20,DH-J8s,
910,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,7,12,south,cordon,north,11-May-20,DH-J8s,
911,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,7,66,south,cane/cordon,north,11-May-20,DH-J8n,
912,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,7,67,south,cordon,north,11-May-20,DH-J8n,
913,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,7,68,south,cordon,south,11-May-20,DH-J8n,plant 69 missing
914,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,7,70,south,cordon,north,11-May-20,DH-J8n,
915,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,7,71,south,cordon,north,11-May-20,DH-J8n,
916,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,7,72,south,cane/cordon,south,11-May-20,DH-J8n,
917,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,8,66,south,cordon,north,11-May-20,DH-J8n,
918,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,8,67,south,cordon,north,11-May-20,DH-J8n,
919,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,8,68,south,cordon,south,11-May-20,DH-J8n,plant 69 too young
920,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,8,70,south,cane/cordon,south,11-May-20,DH-J8n,cordon had rerooted
921,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,8,71,south,cane/cordon,south,11-May-20,DH-J8n,
922,Dark Horse,J,Merlot,447,S04,E-W,drip and low sprinklers,8,72,south,cordon,north,11-May-20,DH-J8n,
923,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,5,7,north,cane,north,11-May-20,DH-E6n,
924,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,5,8,north,cane,south,11-May-20,DH-E6n,north cane bent down
925,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,5,9,north,cane,north,11-May-20,DH-E6n,
926,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,5,10,north,cane,north,11-May-20,DH-E6n,
927,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,5,11,north,cane,north,11-May-20,DH-E6n,
928,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,5,12,north,cane,north,11-May-20,DH-E6n,
929,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,6,7,north,cane,north,11-May-20,DH-E6n,
930,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,6,8,north,cane,south,11-May-20,DH-E6n,
931,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,6,9,north,cane,north,11-May-20,DH-E6n,
932,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,6,10,north,cane,south,11-May-20,DH-E6n,
933,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,6,11,north,cane,south,11-May-20,DH-E6n,
934,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,6,12,north,cane,north,11-May-20,DH-E6n,
947,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,2,40,south,cane,north,11-May-20,DH-E2mid,
948,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,2,41,south,cane,south,11-May-20,DH-E2mid,
949,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,2,42,south,cane,north,11-May-20,DH-E2mid,
950,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,2,43,south,cane,north,11-May-20,DH-E2mid,
951,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,2,44,south,cane,south,11-May-20,DH-E2mid,
952,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,2,45,south,cane,south,11-May-20,DH-E2mid,
953,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,3,40,south,cane,south,11-May-20,DH-E2mid,
954,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,3,41,south,cane,south,11-May-20,DH-E2mid,
955,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,3,42,south,cane,south,11-May-20,DH-E2mid,
956,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,3,43,south,cane,north,11-May-20,DH-E2mid,
957,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,3,44,south,cane,south,11-May-20,DH-E2mid,
958,Dark Horse,E,Chardonnay,79,S04,E-W,drip and low sprinklers,3,45,south,cane,north,11-May-20,DH-E2mid,
959,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,27,7,west,cane,east,11-May-20,DH-1-26w,
960,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,27,8,west,cordon,west,11-May-20,DH-1-26w,plant 9 too young
961,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,27,10,west,cordon,west,11-May-20,DH-1-26w,
962,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,27,11,west,cane/cordon,east,11-May-20,DH-1-26w,"chose cane, cordon was looped back to trunk"
963,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,27,12,west,cane/cordon,west,11-May-20,DH-1-26w,
964,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,27,13,west,cordon,west,11-May-20,DH-1-26w,
965,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,26,7,west,cane,east,11-May-20,DH-1-26w,
966,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,26,8,west,cane/cordon,east,11-May-20,DH-1-26w,
967,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,26,9,west,cane/cordon,west,11-May-20,DH-1-26w,
968,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,26,10,west,cane,east,11-May-20,DH-1-26w,
969,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,26,11,west,cane/cordon,east,11-May-20,DH-1-26w,
970,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,26,12,west,cordon,west,11-May-20,DH-1-26w,
971,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,27,28,west,cane/cordon,east,11-May-20,DH-1-26mid,
972,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,27,29,west,cane/cordon,east,11-May-20,DH-1-26mid,
973,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,27,30,west,cane,east,11-May-20,DH-1-26mid,
974,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,27,31,west,cordon,east,11-May-20,DH-1-26mid,
975,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,27,32,west,cordon,west,11-May-20,DH-1-26mid,
976,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,27,33,west,cordon,west,11-May-20,DH-1-26mid,
977,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,26,28,west,cordon,west,11-May-20,DH-1-26mid,
978,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,26,29,west,cordon,east,11-May-20,DH-1-26mid,
979,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,26,30,west,cordon,west,11-May-20,DH-1-26mid,
980,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,26,31,west,cordon,east,11-May-20,DH-1-26mid,
981,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,26,32,west,cordon,west,11-May-20,DH-1-26mid,
982,Dark Horse,1,Merlot,347,3309,N-S,low sprinklers,26,33,west,cordon,east,11-May-20,DH-1-26mid,
