Company ,Vineyard,Vin_ID,Block,Variety,Clone,Rootstock,Orientation,Grape Colour,Year Planted,Vine Spacing,Acres,VineNumber,notes,JoinColumn
Arterra,McIntyre ,MC,A,Riesling,49,SO4,E-W,White,2000,32,6.55,24,"A was Semilion, A2 was babies ",MCA
Arterra,McIntyre ,MC,B,Pinot Noir,115,101-14/3390,W-E,Red,2018,32,2.31,0,,MCB
Arterra,McIntyre ,MC,C,Pinot Noir,21B,SO4,E-W,White,2000,32,3.87,24,We set out 36 plants but then took 12 down ,MCC
Arterra,McIntyre ,MC,D,Chenin Blanc,220,RGM,W-E,White,2000,32,3.26,0,,MCD
Arterra,McIntyre ,MC,D2,Gewurztraminer,47,220/RGM,W-E,White,2013,32,3.01,0,,MCD2
Arterra,McIntyre ,MC,E,Sauvignon Blanc,317/297,3309/420A,E-W,White,2000,32,10.98,24,"Also root stock 420A, but avoid",MCE
Arterra,McIntyre ,MC,F,Sauvignon Blanc,317,SO4,W-E,White,2000,32,15.99,0,,MCF
Arterra,McIntyre ,MC,G,Gewurztraminer,BC,SO4,W-E,White,2000,32,9.15,0,,MCG
Arterra,McIntyre ,MC,H,Pinot Gris,52,SO4,E-W,White,2000,32,4.37,0,,MCH
Arterra,McIntyre ,MC,I,Pinot Gris,54,SO4,E-W,White,2000,32,4.53,0,,MCI
Arterra,McIntyre ,MC,J,Chardonnay,95-76,3309/SO4,W-E,White,2000,32,0.19,24,,MCJ
Arterra,McIntyre ,MC,K,Petit Verdot,400,SO4,E-W,Red,2000,32,1.95,0,,MCK
Arterra,McIntyre ,MC,L,Malbec,598,3309,E-W,Red,2000,32,2.11,0,,MCL
Arterra,McIntyre ,MC,M,Cabernet Franc,327,3309,E-W,Red,2000,32,4.27,0,,MCM
Arterra,McIntyre ,MC,M,Cabernet Franc,214,3309,E-W,Red,2000,32,4.1,0,,MCM
Arterra,McIntyre ,MC,N,Cabernet Franc,214/327,3309/101-14/RG,W-E,Red,2018,32,3.9,0,,MCN
Arterra,McIntyre ,MC,O,Pinot Noir,777,3309/SO4,E-W,Red,2000,32,2.88,12,,MCO
Arterra,McIntyre ,MC,P,Pinot Noir,777,1001-14/3309,W-E,Red,2018,32,1.16,0,,MCP
Arterra,McIntyre ,MC,Q,Cabernet Sauvignon,15/191/169,SO4/101-14/B,W-E,Red,2000,32,3.88,12,"also root stock 101-14 and B, but avoid",MCQ
Arterra,Darkhorse,DH,A,Temperanillo,809,SR,W-E,Red,1990,40,2.31,0,,DHA
Arterra,Darkhorse,DH,B,Chardonnay,,SR,W-E,White,1990,40,1.43,0,,DHB
Arterra,Darkhorse,DH,C,Cabernet Sauvignon,,SR,W-E,Red,1990,40,2.21,0,"Clone unknown, so we decided to not sample ",DHC
Arterra,Darkhorse,DH,D,Cabernet Franc,332,SO4,W-E,Red,1993,40,1.6,0,,DHD
Arterra,Darkhorse,DH,E,Chardonnay,76,SO4,W-E,White,1993,40,0.63,20,baby plants?,DHE
Arterra,Darkhorse,DH,F,Merlot,184,SR,W-E,Red,1990,40,1.89,0,,DHF
Arterra,Darkhorse,DH,G,Pinot Noir,115,SR,W-E,Red,1990,40,2.33,20,,DHG
Arterra,Darkhorse,DH,H,Pinot Noir,,,W-E,Red,2019,40,1.83,0,,DHH
Arterra,Darkhorse,DH,I,Chardonnay,95/76/548,3309/RG/SO4,W-E,White,2019,32,0.13,0,there is also RG and 101-14 rootsock,DHI
Arterra,Darkhorse,DH,J,Merlot,447,SO4,W-E,Red,1993,40,1.24,16,,DHJ
Arterra,Darkhorse,DH,K,Merlot,181,SO4,W-E,Red,1993,40,0.38,0,,DHK
Arterra,Darkhorse,DH,L,Chardonnay,76,3309,W-E,White,2019,40,0.25,0,Definitely baby plants,DHL
Arterra,Darkhorse,DH,M,Marsanne/Roussanne,115,SR,W-E,White,1990,40,0.67,0,,DHM
Arterra,Darkhorse,DH,N,Chardonnay,76,SO4,W-E,White,1993,40,0.26,0,,DHN
