X,Y,time,CleanName,VineyarD,BloCk,Row,BothRows,Active,Comments
-119.58479,49.139861,2020/05/11 19:55:20,DH-1-26mid,DH,1,26,26-27,yes,
-119.585016,49.139948,2020/05/11 19:46:07,DH-1-26w,DH,1,26,26-27,yes,
-119.586256,49.138097,2020/05/11 17:01:52,DH-E2mid,DH,E,2,2-3,yes,
-119.586588,49.1385,2020/05/11 15:51:21,DH-E6n,DH,E,6,5-6,yes,
-119.585972,49.137871,2020/05/11 16:26:48,DH-E6s,DH,E,6,5-6,no,
-119.58864,49.138328,2020/05/08 18:55:12,DH-G10mid,DH,G,10,10-11,yes,
-119.587787,49.13731,2020/05/08 18:29:25,DH-G4e,DH,G,4,4-5,yes,
-119.589158,49.138494,2020/05/08 18:41:14,DH-G4w,DH,G,4,4-5,no,
-119.587485,49.13922,2020/05/11 15:02:20,DH-J8n,DH,J,8,7-8,yes,
-119.586928,49.1387,2020/05/11 14:12:35,DH-J8s,DH,J,8,7-8,yes,
-119.555133,49.844756,2020/05/09 20:03:38,MA-8-6-2n,MA,8-6,2,2-3,yes,
-119.555083,49.843936,2020/05/09 20:11:20,MA-8-6-2s,MA,8-6,2,2-3,yes,
-119.554455,49.844722,2020/05/09 20:32:32,MA-8-8-6n,MA,8-8,6,5-6,yes,
-119.554255,49.843299,2020/05/09 20:23:10,MA-8-8-6s,MA,8-8,6,5-6,yes,
-119.558864,49.842791,2020/05/09 21:02:32,MA-9-1-10mid,MA,9-1,10,9-10,yes,
-119.558733,49.843225,2020/05/09 20:46:32,MA-9-1-14n,MA,9-1,14,14-15,yes,
-119.558696,49.842536,2020/05/09 20:54:19,MA-9-1-14s,MA,9-1,14,14-15,yes,
-119.523212,49.19648,2020/05/08 22:03:43,MC-A10n,MC,A,10,10-11,no,
-119.523092,49.194379,2020/05/08 21:40:51,MC-A10s,MC,A,10,10-11,yes,
-119.523794,49.194851,2020/05/08 21:48:19,MC-A30mid,MC,A,30,30-31,yes,
-119.523583,49.193487,2020/05/08 21:15:57,MC-C27mid,MC,C,27,26-27,no,
-119.52399,49.194021,2020/05/08 20:56:13,MC-C38n,MC,C,38,38-39,yes,
-119.523928,49.193277,2020/05/08 21:04:51,MC-C38s,MC,C,38,38-39,yes,
-119.52313,49.192663,2020/05/08 22:19:36,MC-E12n,MC,E,12,11-12,yes,
-119.525098,49.190285,2020/05/08 22:39:09,MC-E12s,MC,E,12,11-12,no,
-119.524473,49.19254,2020/05/08 22:27:22,MC-E44mid,MC,E,44,43-44,yes,
-119.523035,49.186818,2020/05/08 20:01:27,MC-J110mid,MC,J,110,109-110,yes,
-119.5241,49.18971,2020/05/08 20:25:08,MC-J22n,MC,J,22,22-23,no,
-119.526067,49.187242,2020/05/08 14:03:11,MC-J22s,MC,J,22,22-23,yes,
-119.530921,49.186014,2020/05/07 23:20:07,MC-O29mid,MC,O,29,28-29,yes,
-119.529872,49.186368,2020/05/07 23:36:57,MC-O8n,MC,O,8,7-8,no,
-119.530806,49.185174,2020/05/07 23:28:51,MC-O8s,MC,O,8,7-8,yes,
-119.526567,49.184285,2020/05/07 22:46:05,MC-Q70n,MC,Q,69,68-69,yes,"We thought this was rows 69and70 when we inputed the gps point, but it was 68 and 69"
-119.527711,49.182816,2020/05/07 22:56:43,MC-Q70s,MC,Q,70,69-70,yes,
-119.434654,49.03893,2020/05/08 16:58:28,NK-B18e,NK,B,18,18-19,yes,
-119.437178,49.038413,2020/05/08 16:45:50,NK-B18w,NK,B,18,18-19,yes,
-119.43517,49.038025,2020/05/08 16:35:18,NK-B54mid,NK,B,54,53-54,yes,
-119.430883,49.037856,2020/05/08 15:21:11,NK-C28e,NK,C,28,28-29,yes,
-119.432536,49.037873,2020/05/08 15:16:07,NK-C28w,NK,C,28,28-29,yes,
-119.431296,49.037624,2020/05/08 15:33:04,NK-C38mid,NK,C,38,38-39,yes,
-119.433993,49.038166,2020/05/08 17:11:29,NK-F6,NK,F,6,5-6,yes,
-119.433941,49.038134,2020/05/08 17:26:50,NK-F8,NK,F,8,7-8,yes,
-119.435771,49.037889,2020/05/08 16:19:28,NK-G22e,NK,G,22,21-22,yes,
-119.437048,49.037628,2020/05/08 16:08:18,NK-G22w,NK,G,22,21-22,yes,
-119.434624,49.03758,2020/05/08 15:50:56,NK-G44e,NK,G,44,44-45,yes,
-119.569791,49.840104,2020/05/09 14:33:35,QGE-1-6-48s,QG,1-6,48,48-49,yes,
-119.569933,49.840621,2020/05/09 14:21:52,QGE-1-6-54mid,QG,1-6,54,54-55,yes,
-119.569931,49.841135,2020/05/09 14:12:41,QGE-1-6-54n,QG,1-6,54,54-55,yes,
-119.568836,49.840144,2020/05/09 14:59:53,QGE-2-1-14n,QG,2-1,14,13-14,yes,
-119.569267,49.839288,2020/05/09 15:29:36,QGE-2-1-30mid,QG,2-1,30,29-30,yes,
-119.56926,49.838966,2020/05/09 15:19:00,QGE-2-1-30s,QG,2-1,30,29-30,yes,
-119.568192,49.843618,2020/05/09 18:04:00,QGE-3-3-20n,QG,3-3,20,19-20,yes,
-119.56822,49.842671,2020/05/09 17:53:25,QGE-3-3-20s,QG,3-3,20,19-20,yes,
-119.570353,49.842627,2020/05/09 18:59:24,QGE-3-4-56n,QG,3-4,56,55-56,yes,
-119.570335,49.842012,2020/05/09 19:05:14,QGE-3-4-56s,QG,3-4,56,55-56,yes,
-119.570507,49.843817,2020/05/09 18:31:59,QGE-4-6-10n,QG,4-6,10,10-11,yes,
-119.570523,49.842918,2020/05/09 18:21:18,QGE-4-6-10s,QG,4-6,10,10-11,yes,
-119.570626,49.843572,2020/05/09 18:42:09,QGE-4-6-14mid,QG,4-6,14,14-15,yes,
-119.571187,49.843618,2020/05/09 17:19:59,QGE-4-8-16n,QG,4-8,16,15-16,yes,
-119.571154,49.842776,2020/05/09 17:26:48,QGE-4-8-16s,QG,4-8,16,15-16,yes,
-119.574282,49.843471,2020/05/09 16:21:58,QGE-5-4-34n,QG,5-4,34,33-34,yes,
-119.574266,49.840432,2020/05/09 16:07:08,QGE-5-4-34s,QG,5-4,34,33-34,yes,
-119.57251,49.844516,2020/05/09 16:50:48,QGE-6-1-40n,QG,6-1,40,40-41,yes,
-119.572502,49.84371,2020/05/09 16:43:41,QGE-6-1-40s,QG,6-1,40,40-41,yes,
-119.572086,49.84423,2020/05/09 17:02:57,QGE-6-1-54mid,QG,6-1,54,53-54,yes,
-119.531514,49.172112,2020/05/07 17:54:28,WT-B11,WT,B,11,na,no,
-119.53179,49.173116,2020/05/07 18:08:01,WT-B16,WT,B,16,na,no,
-119.531157,49.171251,2020/05/07 17:38:29,WT-B5,WT,B,5,na,no,
-119.532512,49.166578,2020/05/07 18:35:12,WT-C30m,WT,C,30,na,no,
-119.533012,49.163586,2020/05/07 18:53:23,WT-C30s,WT,C,30,na,no,
-119.533026,49.163367,2020/05/07 19:12:18,WT-D29,WT,D,29,na,no,
-119.533423,49.16099,2020/05/07 20:54:20,WT-D29mid,WT,D,29,na,no,
-119.533581,49.160353,2020/05/07 20:41:47,WT-D29S,WT,D,29,na,no,
-119.536031,49.155909,2020/05/07 21:49:56,WT-F15mid,WT,F,15,na,no,
-119.536553,49.15744,2020/05/07 21:38:11,WT-F15nw,WT,F,15,na,no,
-119.536874,49.154365,2020/05/07 22:03:12,WT-F58mid,WT,F,58,na,no,
-119.52976,49.172472,2020/05/07 17:33:01,WT-OIB120,WT,OIB,140,na,no,
-119.531069,49.174979,2020/05/07 17:14:32,WT-OIB150,WT,OIB,150,na,no,
-119.526168,49.173605,2020/05/07 16:50:57,WT-OIB9,WT,OIB,9,na,no,
