Date,1day,2day,3day
15-Sep,15.1124,15.2,
16-Sep,14.8848,14.9986,
17-Sep,14.6582,14.7715,14.8851
18-Sep,14.4326,14.5454,14.6585
19-Sep,14.208,14.3203,14.4329
20-Sep,13.9844,14.0962,14.2083
21-Sep,13.7618,13.8731,13.9847
22-Sep,13.5402,13.651,13.7621
23-Sep,13.3196,13.4299,13.5405
24-Sep,13.1,13.2098,13.3199
25-Sep,12.8814,12.9907,13.1003
26-Sep,12.6638,12.7726,12.8817
27-Sep,12.4472,12.5555,12.6641
28-Sep,12.2316,12.3394,12.4475
29-Sep,12.017,12.1243,12.2319
30-Sep,11.8034,11.9102,12.0173
1-Oct,11.5908,11.6971,11.8037
2-Oct,11.3792,11.485,11.5911
3-Oct,11.1686,11.2739,11.3795
4-Oct,10.959,11.0638,11.1689
5-Oct,10.7504,10.8547,10.9593
6-Oct,10.5428,10.6466,10.7507
7-Oct,10.3362,10.4395,10.5431
8-Oct,10.1306,10.2334,10.3365
9-Oct,9.926,10.0283,10.1309
10-Oct,9.7224,9.8242,9.9263
11-Oct,9.5198,9.6211,9.7227
12-Oct,9.3182,9.419,9.5201
13-Oct,9.1176,9.2179,9.3185
14-Oct,8.918,9.0178,9.1179
15-Oct,8.7194,8.8187,8.9183
16-Oct,8.5218,8.6206,8.7197
17-Oct,8.3252,8.4235,8.5221
18-Oct,8.1296,8.2274,8.3255
19-Oct,7.935,8.0323,8.1299
20-Oct,7.7414,7.8382,7.9353
21-Oct,7.5488,7.6451,7.7417
22-Oct,7.3572,7.453,7.5491
23-Oct,7.1666,7.2619,7.3575
24-Oct,6.977,7.0718,7.1669
25-Oct,6.7884,6.8827,6.9773
26-Oct,6.6008,6.6946,6.7887
27-Oct,6.4142,6.5075,6.6011
28-Oct,6.2286,6.3214,6.4145
29-Oct,6.044,6.1363,6.2289
30-Oct,5.8604,5.9522,6.0443
31-Oct,5.6778,5.7691,5.8607
1-Nov,5.4962,5.587,5.6781
2-Nov,5.3156,5.4059,5.4965
3-Nov,5.136,5.2258,5.3159
4-Nov,4.9574,5.0467,5.1363
5-Nov,4.7798,4.8686,4.9577
6-Nov,4.6032,4.6915,4.7801
7-Nov,4.4276,4.5154,4.6035
8-Nov,4.253,4.3403,4.4279
9-Nov,4.0794,4.1662,4.2533
10-Nov,3.9068,3.9931,4.0797
11-Nov,3.7352,3.821,3.9071
