"","avgTemp","year","day","date","month","tdiff","twoDayAvg"
"1",-5.6,2013,1,2013-01-01,1,0,-5.6
"2",-4,2013,2,2013-01-02,1,0,-4.8
"3",-2.6,2013,3,2013-01-03,1,0,-3.3
"4",-4.1,2013,4,2013-01-04,1,0,-3.35
"5",NA,2013,5,2013-01-05,1,0,NA
"6",-0.3,2013,6,2013-01-06,1,0,-0.3
"7",-0.2,2013,7,2013-01-07,1,0,-0.25
"8",1,2013,8,2013-01-08,1,0,0.4
"9",2.2,2013,9,2013-01-09,1,0,1.6
"10",-0.1,2013,10,2013-01-10,1,0,1.05
"11",-5,2013,11,2013-01-11,1,0,-2.55
"12",-7.5,2013,12,2013-01-12,1,0,-6.25
"13",-6.6,2013,13,2013-01-13,1,0,-7.05
"14",-4.1,2013,14,2013-01-14,1,0,-5.35
"15",-7.9,2013,15,2013-01-15,1,0,-6
"16",-4.5,2013,16,2013-01-16,1,0,-6.2
"17",-3.2,2013,17,2013-01-17,1,0,-3.85
"18",-1.8,2013,18,2013-01-18,1,0,-2.5
"19",-4.7,2013,19,2013-01-19,1,0,-3.25
"20",-3.9,2013,20,2013-01-20,1,0,-4.3
"21",-4.7,2013,21,2013-01-21,1,0,-4.3
"22",-7.2,2013,22,2013-01-22,1,0,-5.95
"23",-3.2,2013,23,2013-01-23,1,0,-5.2
"24",-0.4,2013,24,2013-01-24,1,0,-1.8
"25",0.9,2013,25,2013-01-25,1,0,0.25
"26",1,2013,26,2013-01-26,1,0,0.95
"27",0.5,2013,27,2013-01-27,1,0,0.75
"28",NA,2013,28,2013-01-28,1,0,NA
"29",0.8,2013,29,2013-01-29,1,0,0.8
"30",0.2,2013,30,2013-01-30,1,0,0.5
"31",0.9,2013,31,2013-01-31,1,0,0.55
"32",0.8,2013,1,2013-02-01,2,0,0.85
"33",-2.1,2013,2,2013-02-02,2,0,-0.65
"34",NA,2013,3,2013-02-03,2,0,NA
"35",NA,2013,4,2013-02-04,2,0,NA
"36",NA,2013,5,2013-02-05,2,0,NA
"37",3.5,2013,6,2013-02-06,2,0,3.5
"38",1.1,2013,7,2013-02-07,2,0,2.3
"39",-0.1,2013,8,2013-02-08,2,0,0.5
"40",1.1,2013,9,2013-02-09,2,0,0.5
"41",0.1,2013,10,2013-02-10,2,0,0.6
"42",-1.2,2013,11,2013-02-11,2,0,-0.55
"43",1.9,2013,12,2013-02-12,2,0,0.35
"44",4.1,2013,13,2013-02-13,2,0,3
"45",1.8,2013,14,2013-02-14,2,0,2.95
"46",2.1,2013,15,2013-02-15,2,0,1.95
"47",4.6,2013,16,2013-02-16,2,0,3.35
"48",1.9,2013,17,2013-02-17,2,0,3.25
"49",-2,2013,18,2013-02-18,2,0,-0.05
"50",2.5,2013,19,2013-02-19,2,0,0.25
"51",-0.8,2013,20,2013-02-20,2,0,0.85
"52",1.6,2013,21,2013-02-21,2,0,0.4
"53",3.2,2013,22,2013-02-22,2,0,2.4
"54",4.1,2013,23,2013-02-23,2,0,3.65
"55",0.8,2013,24,2013-02-24,2,0,2.45
"56",3.8,2013,25,2013-02-25,2,0,2.3
"57",3.7,2013,26,2013-02-26,2,0,3.75
"58",5.6,2013,27,2013-02-27,2,0,4.65
"59",NA,2013,28,2013-02-28,2,0,NA
"60",8.8,2013,1,2013-03-01,3,0,8.8
"61",NA,2013,2,2013-03-02,3,0,NA
"62",4.6,2013,3,2013-03-03,3,0,4.6
"63",3,2013,4,2013-03-04,3,0,3.8
"64",2.1,2013,5,2013-03-05,3,0,2.55
"65",2.5,2013,6,2013-03-06,3,0,2.3
"66",3.3,2013,7,2013-03-07,3,0,2.9
"67",4.7,2013,8,2013-03-08,3,0,4
"68",3.6,2013,9,2013-03-09,3,0,4.15
"69",5.5,2013,10,2013-03-10,3,0,4.55
"70",4.1,2013,11,2013-03-11,3,0,4.8
"71",7.8,2013,12,2013-03-12,3,0,5.95
"72",9.2,2013,13,2013-03-13,3,0,8.5
"73",11.5,2013,14,2013-03-14,3,0,10.35
"74",11,2013,15,2013-03-15,3,0,11.25
